"","M","block","BlockMonthlyConsumption_2016","BlockMonthlyConsumption_2017"
"1","Jan","PG_B1",NA,1807082
"2","Jan","PG_B2",NA,1612791
"3","Jan","PG_B3",NA,1404935
"4","Jan","PG_B4",NA,1167799
"5","Jan","PG_B5",NA,1770873
"6","Feb","PG_B1",NA,1611896
"7","Feb","PG_B2",NA,1466149
"8","Feb","PG_B3",NA,1229069
"9","Feb","PG_B4",NA,980884
"10","Feb","PG_B5",NA,1551473
"11","Mar","PG_B1",1907805,1763902
"12","Mar","PG_B2",1730095,1596355
"13","Mar","PG_B3",1210737,1347569
"14","Mar","PG_B4",988660,1054899
"15","Mar","PG_B5",1493490,1694375
"16","Apr","PG_B1",1821964,871360
"17","Apr","PG_B2",1692547,784686
"18","Apr","PG_B3",1252951,662713
"19","Apr","PG_B4",1046122,526602
"20","Apr","PG_B5",1589691,805244
"21","May","PG_B1",1750176,NA
"22","May","PG_B2",1696730,NA
"23","May","PG_B3",1274454,NA
"24","May","PG_B4",1075616,NA
"25","May","PG_B5",1648364,NA
"26","Jun","PG_B1",1662343,NA
"27","Jun","PG_B2",1615611,NA
"28","Jun","PG_B3",1237438,NA
"29","Jun","PG_B4",1015735,NA
"30","Jun","PG_B5",1585756,NA
"31","Jul","PG_B1",1805082,NA
"32","Jul","PG_B2",1603392,NA
"33","Jul","PG_B3",1305047,NA
"34","Jul","PG_B4",1129843,NA
"35","Jul","PG_B5",1767692,NA
"36","Aug","PG_B1",1810187,NA
"37","Aug","PG_B2",1678373,NA
"38","Aug","PG_B3",1284598,NA
"39","Aug","PG_B4",1156031,NA
"40","Aug","PG_B5",1783548,NA
"41","Sep","PG_B1",1779153,NA
"42","Sep","PG_B2",1572704,NA
"43","Sep","PG_B3",1244796,NA
"44","Sep","PG_B4",1107994,NA
"45","Sep","PG_B5",1697981,NA
"46","Oct","PG_B1",1801441,NA
"47","Oct","PG_B2",1597385,NA
"48","Oct","PG_B3",1298205,NA
"49","Oct","PG_B4",1112177,NA
"50","Oct","PG_B5",1757586,NA
"51","Nov","PG_B1",1698301,NA
"52","Nov","PG_B2",1555975,NA
"53","Nov","PG_B3",1263280,NA
"54","Nov","PG_B4",1078571,NA
"55","Nov","PG_B5",1640462,NA
"56","Dec","PG_B1",1707276,NA
"57","Dec","PG_B2",1521006,NA
"58","Dec","PG_B3",1313855,NA
"59","Dec","PG_B4",1113333,NA
"60","Dec","PG_B5",1634021,NA
