"","customer_id","Date","points","AccumulativePoints"
"1",395,2018-06-21,10,10
"2",552,2018-06-21,10,10
"3",464,2018-06-21,10,10
"4",635,2018-06-21,10,10
"5",513,2018-06-21,10,10
"6",499,2018-06-21,10,10
"7",499,2018-06-21,50,60
"8",688,2018-06-21,10,10
"9",356,2018-06-21,10,10
"10",700,2018-06-21,10,10
"11",700,2018-06-21,50,60
"12",688,2018-06-21,25,35
"13",647,2018-06-21,10,10
"14",689,2018-06-21,10,10
"15",378,2018-06-21,10,10
"16",693,2018-06-21,10,10
"17",465,2018-06-21,10,10
"18",621,2018-06-21,10,10
"19",465,2018-06-21,50,60
"20",621,2018-06-21,50,60
"21",388,2018-06-21,10,10
"22",388,2018-06-21,50,60
"23",326,2018-06-21,10,10
"24",326,2018-06-21,25,35
"25",612,2018-06-21,25,25
"26",326,2018-06-21,50,85
"27",326,2018-06-22,10,95
"28",552,2018-06-22,10,20
"29",560,2018-06-22,10,10
"30",560,2018-06-22,50,60
"31",619,2018-06-22,25,25
"32",560,2018-06-22,25,85
"33",619,2018-06-22,10,35
"34",619,2018-06-22,50,85
"35",499,2018-06-22,10,70
"36",549,2018-06-22,25,25
"37",499,2018-06-22,25,95
"38",439,2018-06-22,10,10
"39",439,2018-06-22,25,35
"40",439,2018-06-22,50,85
"41",690,2018-06-22,10,10
"42",483,2018-06-22,10,10
"43",528,2018-06-22,10,10
"44",700,2018-06-22,10,70
"45",550,2018-06-22,10,10
"46",650,2018-06-22,10,10
"47",650,2018-06-22,25,35
"48",675,2018-06-22,25,25
"49",676,2018-06-22,25,25
"50",651,2018-06-22,25,25
"51",650,2018-06-22,50,85
"52",675,2018-06-22,10,35
"53",675,2018-06-22,50,85
"54",623,2018-06-22,10,10
"55",623,2018-06-22,50,60
"56",314,2018-06-22,10,10
"57",314,2018-06-22,50,60
"58",326,2018-06-22,25,120
"59",612,2018-06-22,25,50
"60",464,2018-06-22,10,20
"61",621,2018-06-22,10,70
"62",412,2018-06-22,10,10
"63",412,2018-06-22,50,60
"64",412,2018-06-22,25,85
"65",695,2018-06-22,25,25
"66",546,2018-06-22,25,25
"67",545,2018-06-22,25,25
"68",465,2018-06-22,10,70
"69",621,2018-06-22,25,95
"70",465,2018-06-22,25,95
"71",682,2018-06-22,200,200
"72",681,2018-06-22,200,200
"73",665,2018-06-22,200,200
"74",664,2018-06-22,200,200
"75",635,2018-06-22,200,210
"76",704,2018-06-22,10,10
"77",513,2018-06-22,10,20
"78",674,2018-06-22,10,10
"79",513,2018-06-22,25,45
"80",518,2018-06-22,25,25
"81",564,2018-06-22,25,25
"82",647,2018-06-22,10,20
"83",647,2018-06-22,50,70
"84",400,2018-06-22,10,10
"85",400,2018-06-22,50,60
"86",545,2018-06-22,10,35
"87",545,2018-06-22,50,85
"88",546,2018-06-22,10,35
"89",546,2018-06-22,50,85
"90",399,2018-06-22,200,200
"91",664,2018-06-22,10,210
"92",665,2018-06-22,25,225
"93",681,2018-06-22,25,225
"94",682,2018-06-22,25,225
"95",664,2018-06-22,25,235
"96",580,2018-06-24,25,25
"97",604,2018-06-25,150,150
"98",529,2018-06-25,120,120
"99",521,2018-06-25,30,30
"100",621,2018-06-29,10,105
"101",664,2018-06-22,50,285
"102",665,2018-06-22,10,235
"103",665,2018-06-22,0,235
"104",524,2018-06-22,10,10
"105",513,2018-06-22,50,95
"106",583,2018-06-22,10,10
"107",649,2018-06-22,25,25
"108",642,2018-06-22,25,25
"109",645,2018-06-22,25,25
"110",662,2018-06-22,25,25
"111",583,2018-06-22,25,35
"112",643,2018-06-22,25,25
"113",663,2018-06-22,25,25
"114",648,2018-06-22,25,25
"115",642,2018-06-22,10,35
"116",700,2018-06-23,10,80
"117",439,2018-06-23,10,95
"118",439,2018-06-23,25,120
"119",499,2018-06-23,10,105
"120",549,2018-06-23,25,50
"121",499,2018-06-23,25,130
"122",664,2018-06-23,10,295
"123",665,2018-06-23,25,260
"124",681,2018-06-23,25,250
"125",682,2018-06-23,25,250
"126",664,2018-06-23,25,320
"127",664,2018-06-23,50,370
"128",681,2018-06-23,10,260
"129",681,2018-06-23,50,310
"130",552,2018-06-23,10,30
"131",552,2018-06-23,50,80
"132",513,2018-06-23,10,105
"133",513,2018-06-23,25,130
"134",518,2018-06-23,25,50
"135",564,2018-06-23,25,50
"136",326,2018-06-23,10,130
