"","customer_id","Date","points","AccumulativePoints"
"1",395,2018-06-21,10,10
"2",552,2018-06-21,10,10
"3",635,2018-06-21,10,10
"4",513,2018-06-21,10,10
"5",499,2018-06-21,10,10
"6",499,2018-06-21,50,60
"7",688,2018-06-21,10,10
"8",356,2018-06-21,10,10
"9",688,2018-06-21,25,35
"10",647,2018-06-21,10,10
"11",689,2018-06-21,10,10
"12",378,2018-06-21,10,10
"13",693,2018-06-21,10,10
"14",465,2018-06-21,10,10
"15",621,2018-06-21,10,10
"16",465,2018-06-21,50,60
"17",621,2018-06-21,50,60
"18",388,2018-06-21,10,10
"19",388,2018-06-21,50,60
"20",326,2018-06-21,10,10
"21",326,2018-06-21,25,35
"22",612,2018-06-21,25,25
"23",326,2018-06-21,50,85
"24",326,2018-06-22,10,95
"25",552,2018-06-22,10,20
"26",560,2018-06-22,10,10
"27",560,2018-06-22,50,60
"28",619,2018-06-22,25,25
"29",560,2018-06-22,25,85
"30",619,2018-06-22,10,35
"31",619,2018-06-22,50,85
"32",499,2018-06-22,10,70
"33",549,2018-06-22,25,25
"34",499,2018-06-22,25,95
"35",439,2018-06-22,10,10
"36",439,2018-06-22,25,35
"37",439,2018-06-22,50,85
"38",690,2018-06-22,10,10
"39",483,2018-06-22,10,10
"40",528,2018-06-22,10,10
"41",550,2018-06-22,10,10
"42",650,2018-06-22,10,10
"43",650,2018-06-22,25,35
"44",675,2018-06-22,25,25
"45",676,2018-06-22,25,25
"46",651,2018-06-22,25,25
"47",650,2018-06-22,50,85
"48",675,2018-06-22,10,35
"49",675,2018-06-22,50,85
"50",326,2018-06-22,25,120
"51",612,2018-06-22,25,50
"52",621,2018-06-22,10,70
"53",412,2018-06-22,10,10
"54",412,2018-06-22,50,60
"55",412,2018-06-22,25,85
"56",695,2018-06-22,25,25
"57",546,2018-06-22,25,25
"58",545,2018-06-22,25,25
"59",465,2018-06-22,10,70
"60",621,2018-06-22,25,95
"61",465,2018-06-22,25,95
"62",682,2018-06-22,200,200
"63",681,2018-06-22,200,200
"64",665,2018-06-22,200,200
"65",664,2018-06-22,200,200
"66",635,2018-06-22,200,210
"67",704,2018-06-22,10,10
"68",513,2018-06-22,10,20
"69",674,2018-06-22,10,10
"70",513,2018-06-22,25,45
"71",518,2018-06-22,25,25
"72",564,2018-06-22,25,25
"73",647,2018-06-22,10,20
"74",647,2018-06-22,50,70
"75",400,2018-06-22,10,10
"76",400,2018-06-22,50,60
"77",545,2018-06-22,10,35
"78",545,2018-06-22,50,85
"79",546,2018-06-22,10,35
"80",546,2018-06-22,50,85
"81",399,2018-06-22,200,200
"82",664,2018-06-22,10,210
"83",665,2018-06-22,25,225
"84",681,2018-06-22,25,225
"85",682,2018-06-22,25,225
"86",664,2018-06-22,25,235
"87",580,2018-06-24,25,25
"88",604,2018-06-25,150,150
"89",529,2018-06-25,120,120
"90",521,2018-06-25,30,30
"91",621,2018-06-29,10,105
"92",664,2018-06-22,50,285
"93",665,2018-06-22,10,235
"94",665,2018-06-22,0,235
"95",524,2018-06-22,10,10
"96",513,2018-06-22,50,95
"97",583,2018-06-22,10,10
"98",649,2018-06-22,25,25
"99",642,2018-06-22,25,25
"100",645,2018-06-22,25,25
"101",662,2018-06-22,25,25
"102",583,2018-06-22,25,35
"103",643,2018-06-22,25,25
"104",663,2018-06-22,25,25
"105",648,2018-06-22,25,25
"106",642,2018-06-22,10,35
"107",439,2018-06-23,10,95
"108",439,2018-06-23,25,120
"109",499,2018-06-23,10,105
"110",549,2018-06-23,25,50
"111",499,2018-06-23,25,130
"112",664,2018-06-23,10,295
"113",665,2018-06-23,25,260
"114",681,2018-06-23,25,250
"115",682,2018-06-23,25,250
"116",664,2018-06-23,25,320
"117",664,2018-06-23,50,370
"118",681,2018-06-23,10,260
"119",681,2018-06-23,50,310
"120",552,2018-06-23,10,30
"121",552,2018-06-23,50,80
"122",513,2018-06-23,10,105
"123",513,2018-06-23,25,130
"124",518,2018-06-23,25,50
"125",564,2018-06-23,25,50
"126",326,2018-06-23,10,130
"127",326,2018-06-23,25,155
"128",326,2018-06-23,50,205
"129",612,2018-06-23,25,75
"130",612,2018-06-23,10,85
"131",647,2018-06-23,10,80
"132",518,2018-06-23,10,60
"133",518,2018-06-23,50,110
"134",400,2018-06-23,10,70
"135",650,2018-06-23,10,95
"136",650,2018-06-23,25,120
