"","customer_id","Date","points","AccumulativePoints"
"1",464,2018-06-21,10,10
"2",464,2018-06-22,10,20
"3",725,2018-06-25,300,300
"4",725,2018-06-25,10,310
"5",464,2018-06-26,10,30
"6",725,2018-06-26,10,320
"7",725,2018-06-26,50,370
"8",725,2018-06-27,10,380
"9",728,2018-06-27,50,50
"10",728,2018-06-27,50,100
"11",728,2018-06-27,300,400
"12",728,2018-06-27,10,410
"13",728,2018-06-28,10,420
"14",731,2018-06-28,50,50
"15",731,2018-06-28,50,100
"16",731,2018-06-28,300,400
"17",731,2018-06-28,10,410
"18",732,2018-06-28,50,50
"19",732,2018-06-28,50,100
"20",732,2018-06-28,300,400
"21",732,2018-06-28,10,410
"22",733,2018-06-28,50,50
"23",733,2018-06-28,50,100
"24",725,2018-06-28,10,390
"25",733,2018-06-28,300,400
"26",733,2018-06-28,10,410
"27",725,2018-06-29,10,400
"28",728,2018-06-29,10,430
"29",733,2018-06-29,10,420
"30",725,2018-06-29,50,450
"31",725,2018-06-29,50,500
"32",735,2018-06-29,50,50
"33",735,2018-06-29,50,100
"34",732,2018-06-29,10,420
"35",735,2018-06-29,300,400
"36",735,2018-06-29,10,410
"37",737,2018-06-29,300,300
"38",737,2018-06-29,10,310
"39",738,2018-06-29,300,300
"40",738,2018-06-29,10,310
"41",738,2018-06-29,50,360
"42",738,2018-06-29,10,370
"43",733,2018-06-29,0,420
"44",728,2018-06-30,10,440
"45",737,2018-06-30,10,320
"46",739,2018-06-30,50,50
"47",739,2018-06-30,50,100
"48",739,2018-06-30,300,400
"49",739,2018-06-30,10,410
"50",739,2018-06-30,0,410
"51",739,2018-06-30,25,435
"52",738,2018-06-30,10,380
"53",741,2018-06-30,50,50
"54",741,2018-06-30,50,100
"55",741,2018-06-30,300,400
"56",741,2018-06-30,10,410
"57",741,2018-06-30,50,460
"58",741,2018-06-30,50,510
"59",733,2018-06-30,10,430
"60",742,2018-06-30,50,50
"61",742,2018-06-30,50,100
"62",742,2018-06-30,300,400
"63",742,2018-06-30,10,410
"64",742,2018-06-30,50,460
"65",742,2018-06-30,50,510
"66",744,2018-06-30,50,50
"67",744,2018-06-30,50,100
"68",744,2018-06-30,300,400
"69",744,2018-06-30,10,410
"70",744,2018-06-30,50,460
"71",744,2018-06-30,50,510
"72",745,2018-06-30,50,50
"73",745,2018-06-30,50,100
"74",745,2018-06-30,300,400
"75",745,2018-06-30,10,410
"76",746,2018-06-30,50,50
"77",746,2018-06-30,50,100
"78",746,2018-06-30,300,400
"79",746,2018-06-30,10,410
"80",732,2018-06-30,10,430
"81",747,2018-06-30,50,50
"82",747,2018-06-30,50,100
"83",747,2018-06-30,300,400
"84",747,2018-06-30,10,410
"85",748,2018-06-30,50,50
"86",748,2018-06-30,50,100
"87",748,2018-06-30,300,400
"88",748,2018-06-30,10,410
"89",748,2018-06-30,0,410
"90",728,2018-07-01,10,450
"91",728,2018-07-01,50,500
"92",741,2018-07-01,10,520
"93",749,2018-07-01,50,50
"94",749,2018-07-01,50,100
"95",749,2018-07-01,300,400
"96",749,2018-07-01,10,410
"97",738,2018-07-01,10,390
"98",739,2018-07-01,10,445
"99",739,2018-07-01,25,470
"100",739,2018-07-01,50,520
"101",745,2018-07-01,10,420
"102",750,2018-07-01,50,50
"103",750,2018-07-01,50,100
"104",750,2018-07-01,300,400
"105",750,2018-07-01,10,410
"106",732,2018-07-01,10,440
"107",464,2018-07-01,100,130
"108",728,2018-07-01,100,600
"109",732,2018-07-01,100,540
"110",732,2018-07-01,50,590
"111",745,2018-07-01,100,520
"112",748,2018-07-01,50,460
"113",748,2018-07-01,50,510
"114",741,2018-07-01,50,570
"115",751,2018-07-01,50,50
"116",751,2018-07-01,50,100
"117",751,2018-07-01,300,400
"118",751,2018-07-01,10,410
"119",737,2018-07-01,10,330
"120",725,2018-07-01,10,510
"121",744,2018-07-01,10,520
"122",744,2018-07-01,25,545
"123",752,2018-07-01,50,50
"124",752,2018-07-01,50,100
"125",752,2018-07-01,300,400
"126",752,2018-07-01,10,410
"127",752,2018-07-01,50,460
"128",752,2018-07-01,50,510
"129",748,2018-07-01,10,520
"130",753,2018-07-01,50,50
"131",753,2018-07-01,50,100
"132",753,2018-07-01,300,400
"133",753,2018-07-01,10,410
"134",732,2018-07-02,10,600
"135",756,2018-07-02,50,50
"136",756,2018-07-02,50,100
"137",756,2018-07-02,300,400
"138",756,2018-07-02,10,410
"139",735,2018-07-02,10,420
"140",757,2018-07-02,50,50
"141",757,2018-07-02,50,100
