"","Date","Count","SignUp","PerCent"
"1",2017-06-08,3,3,1
"2",2017-06-09,14,17,3
"3",2017-06-10,89,106,20
"4",2017-06-11,13,119,23
"5",2017-06-12,10,129,25
"6",2017-06-13,13,142,27
"7",2017-06-14,4,146,28
"8",2017-06-15,2,148,28
"9",2017-06-16,1,149,28
"10",2017-06-17,45,194,37
"11",2017-06-18,2,196,37
"12",2017-06-19,3,199,38
"13",2017-06-20,3,202,39
"14",2017-06-21,6,208,40
"15",2017-06-22,5,213,41
"16",2017-06-23,3,216,41
"17",2017-06-24,1,217,41
"18",2017-06-26,1,218,42
"19",2017-06-27,5,223,43
"20",2017-06-28,2,225,43
"21",2017-06-29,2,227,43
"22",2017-06-30,1,228,44
"23",2017-07-02,3,231,44
"24",2017-07-03,4,235,45
"25",2017-07-04,2,237,45
"26",2017-07-05,1,238,45
"27",2017-07-06,2,240,46
"28",2017-07-09,1,241,46
"29",2017-07-10,2,243,46
"30",2017-07-11,1,244,47
"31",2017-07-13,2,246,47
"32",2017-07-14,1,247,47
"33",2017-07-20,1,248,47
"34",2017-07-23,1,249,48
"35",2017-08-03,1,250,48
"36",2017-08-11,1,251,48
"37",2017-08-12,3,254,48
"38",2017-08-16,1,255,49
"39",2017-08-19,1,256,49
"40",2017-08-23,1,257,49
"41",2017-08-25,1,258,49
"42",2017-08-29,1,259,49
"43",2017-09-05,1,260,50
"44",2017-09-06,1,261,50
"45",2017-09-09,1,262,50
"46",2017-09-10,1,263,50
"47",2017-09-15,1,264,50
"48",2017-09-17,2,266,51
"49",2017-09-30,2,268,51
"50",2017-10-07,1,269,51
"51",2017-10-10,1,270,52
"52",2017-10-11,1,271,52
"53",2017-10-12,1,272,52
"54",2017-10-17,1,273,52
"55",2017-10-20,1,274,52
"56",2017-11-13,1,275,52
"57",2017-11-15,1,276,53
"58",2017-12-07,1,277,53
"59",2017-12-09,1,278,53
"60",2017-12-10,1,279,53
"61",2017-12-30,1,280,53
"62",2017-12-31,1,281,54
"63",2018-01-03,1,282,54
"64",2018-01-23,1,283,54
"65",2018-01-24,1,284,54
"66",2018-02-01,2,286,55
"67",2018-02-11,1,287,55
"68",2018-02-12,1,288,55
"69",2018-02-15,1,289,55
"70",2018-03-07,1,290,55
"71",2018-03-16,2,292,56
"72",2018-03-17,2,294,56
"73",2018-04-21,1,295,56
"74",2018-04-23,1,296,56
"75",2018-04-28,1,297,57
"76",2018-06-25,1,298,57
"77",2018-06-26,2,300,57
"78",2018-06-27,1,301,57
"79",2018-06-28,3,304,58
"80",2018-06-29,3,307,59
"81",2018-06-30,9,316,60
"82",2018-07-01,7,323,62
"83",2018-07-02,3,326,62
"84",2018-07-03,25,351,67
"85",2018-07-04,12,363,69
"86",2018-07-05,2,365,70
"87",2018-07-07,1,366,70
"88",2018-07-08,4,370,71
"89",2018-07-09,2,372,71
"90",2018-07-10,2,374,71
"91",2018-07-12,2,376,72
"92",2018-07-14,2,378,72
"93",2018-07-17,1,379,72
"94",2018-07-18,3,382,73
"95",2018-07-19,1,383,73
"96",2018-07-21,2,385,73
"97",2018-07-22,1,386,74
"98",2018-07-23,2,388,74
"99",2018-07-24,1,389,74
"100",2018-07-25,1,390,74
"101",2018-07-26,6,396,76
"102",2018-07-28,1,397,76
"103",2018-07-29,2,399,76
"104",2018-07-31,2,401,77
"105",2018-08-01,1,402,77
"106",2018-08-03,1,403,77
"107",2018-08-05,1,404,77
"108",2018-08-07,1,405,77
"109",2018-08-13,1,406,77
"110",2018-08-14,1,407,78
"111",2018-08-16,1,408,78
"112",2018-08-17,1,409,78
"113",2018-08-29,1,410,78
"114",2018-09-06,1,411,78
"115",2018-10-01,1,412,79
"116",2018-10-12,2,414,79
"117",2018-10-13,2,416,79
"118",2018-10-16,3,419,80
