"","service_point_sn","date_consumption","adjusted_consumption"
"1","3005448487",2017-04-03 01:00:00,12
"2","3005448487",2017-04-03 02:00:00,3
"3","3005448487",2017-04-03 03:00:00,4
"4","3005448487",2017-04-03 04:00:00,3
"5","3005448487",2017-04-03 05:00:00,24
"6","3005448487",2017-04-03 06:00:00,81
"7","3005448487",2017-04-03 07:00:00,41
"8","3005448487",2017-04-03 08:00:00,2
"9","3005448487",2017-04-03 17:00:00,10
"10","3005448487",2017-04-03 18:00:00,7
"11","3005448487",2017-04-03 19:00:00,7
"12","3005448487",2017-04-03 20:00:00,26
"13","3005448487",2017-04-03 09:00:00,7
"14","3005448487",2017-04-03 10:00:00,5
"15","3005448487",2017-04-03 11:00:00,3
"16","3005448487",2017-04-03 12:00:00,3
"17","3005448487",2017-04-03 13:00:00,40
"18","3005448487",2017-04-03 14:00:00,58
"19","3005448487",2017-04-03 15:00:00,28
"20","3005448487",2017-04-03 16:00:00,6
"21","3005448487",2017-04-01 00:00:00,2
"22","3005448487",2017-04-01 01:00:00,2
"23","3005448487",2017-04-01 02:00:00,3
"24","3005448487",2017-04-01 03:00:00,3
"25","3005448487",2017-04-01 04:00:00,3
"26","3005448487",2017-04-01 05:00:00,3
"27","3005448487",2017-04-01 06:00:00,5
"28","3005448487",2017-04-01 07:00:00,3
"29","3005448487",2017-04-01 08:00:00,1
"30","3005448487",2017-04-01 09:00:00,46
"31","3005448487",2017-04-01 10:00:00,148
"32","3005448487",2017-04-01 11:00:00,120
"33","3005448487",2017-04-01 12:00:00,50
"34","3005448487",2017-04-01 13:00:00,68
"35","3005448487",2017-04-01 14:00:00,37
"36","3005448487",2017-04-01 15:00:00,35
"37","3005448487",2017-04-01 16:00:00,22
"38","3005448487",2017-04-01 17:00:00,18
"39","3005448487",2017-04-01 18:00:00,20
"40","3005448487",2017-04-01 19:00:00,29
"41","3005448487",2017-04-01 20:00:00,23
"42","3005448487",2017-04-01 21:00:00,8
"43","3005448487",2017-04-01 22:00:00,7
"44","3005448487",2017-04-01 23:00:00,10
"45","3005448487",2017-04-02 00:00:00,10
"46","3005448487",2017-04-02 01:00:00,17
"47","3005448487",2017-04-02 02:00:00,10
"48","3005448487",2017-04-02 03:00:00,23
"49","3005448487",2017-04-02 04:00:00,14
"50","3005448487",2017-04-02 05:00:00,4
"51","3005448487",2017-04-02 06:00:00,8
"52","3005448487",2017-04-02 07:00:00,5
"53","3005448487",2017-04-02 08:00:00,73
"54","3005448487",2017-04-02 09:00:00,44
"55","3005448487",2017-04-02 10:00:00,3
"56","3005448487",2017-04-02 11:00:00,5
"57","3005448487",2017-04-02 12:00:00,43
"58","3005448487",2017-04-02 13:00:00,61
"59","3005448487",2017-04-02 14:00:00,72
"60","3005448487",2017-04-02 15:00:00,84
"61","3005448487",2017-04-02 16:00:00,54
"62","3005448487",2017-04-02 17:00:00,31
"63","3005448487",2017-04-02 18:00:00,12
"64","3005448487",2017-04-02 19:00:00,3
"65","3005448487",2017-04-02 20:00:00,3
"66","3005448487",2017-04-02 21:00:00,3
"67","3005448487",2017-04-02 22:00:00,2
"68","3005448487",2017-04-02 23:00:00,44
"69","3005448487",2017-04-03 00:00:00,40
"70","3005448487",2017-04-03 21:00:00,32
"71","3005448487",2017-04-03 22:00:00,18
"72","3005448487",2017-04-03 23:00:00,6
"73","3005448487",2017-04-04 00:00:00,2
"74","3005448487",2017-04-04 01:00:00,3
"75","3005448487",2017-04-04 02:00:00,3
"76","3005448487",2017-04-04 03:00:00,2
"77","3005448487",2017-04-04 04:00:00,7
"78","3005448487",2017-04-04 05:00:00,19
"79","3005448487",2017-04-04 06:00:00,64
"80","3005448487",2017-04-04 07:00:00,33
"81","3005448487",2017-04-04 08:00:00,3
"82","3005448487",2017-04-04 09:00:00,3
"83","3005448487",2017-04-04 10:00:00,5
"84","3005448487",2017-04-04 11:00:00,3
"85","3005448487",2017-04-04 12:00:00,3
"86","3005448487",2017-04-04 13:00:00,12
"87","3005448487",2017-04-04 14:00:00,8
"88","3005448487",2017-04-04 15:00:00,3
"89","3005448487",2017-04-04 16:00:00,3
"90","3005448487",2017-04-04 17:00:00,83
"91","3005448487",2017-04-04 18:00:00,51
"92","3005448487",2017-04-04 19:00:00,4
"93","3005448487",2017-04-04 20:00:00,16
"94","3005448487",2017-04-04 21:00:00,16
"95","3005448487",2017-04-04 22:00:00,26
"96","3005448487",2017-04-04 23:00:00,24
"97","3005448487",2017-04-05 00:00:00,8
"98","3005448487",2017-04-21 01:00:00,4
"99","3005448487",2017-04-21 02:00:00,3
"100","3005448487",2017-04-21 03:00:00,3
"101","3005448487",2017-04-21 04:00:00,2
"102","3005448487",2017-04-05 01:00:00,2
"103","3005448487",2017-04-05 02:00:00,3
"104","3005448487",2017-04-05 03:00:00,8
"105","3005448487",2017-04-05 04:00:00,6
"106","3005448487",2017-04-05 05:00:00,26
"107","3005448487",2017-04-05 06:00:00,58
"108","3005448487",2017-04-05 07:00:00,27
"109","3005448487",2017-04-05 08:00:00,2
"110","3005448487",2017-04-05 09:00:00,3
"111","3005448487",2017-04-05 10:00:00,6
"112","3005448487",2017-04-05 11:00:00,5
"113","3005448487",2017-04-05 12:00:00,2
"114","3005448487",2017-04-05 13:00:00,21
"115","3005448487",2017-04-05 14:00:00,67
"116","3005448487",2017-04-05 15:00:00,34
"117","3005448487",2017-04-05 16:00:00,3
"118","3005448487",2017-04-05 17:00:00,84
"119","3005448487",2017-04-05 18:00:00,92
"120","3005448487",2017-04-05 19:00:00,42
"121","3005448487",2017-04-05 20:00:00,22
"122","3005448487",2017-04-05 21:00:00,13
"123","3005448487",2017-04-05 22:00:00,15
"124","3005448487",2017-04-05 23:00:00,8
"125","3005448487",2017-04-06 00:00:00,2
"126","3005448487",2017-04-06 01:00:00,3
"127","3005448487",2017-04-06 02:00:00,2
"128","3005448487",2017-04-06 03:00:00,3
"129","3005448487",2017-04-06 04:00:00,2
"130","3005448487",2017-04-06 05:00:00,27
"131","3005448487",2017-04-06 06:00:00,81
"132","3005448487",2017-04-06 07:00:00,40
"133","3005448487",2017-04-06 08:00:00,4
"134","3005448487",2017-04-06 09:00:00,3
"135","3005448487",2017-04-06 10:00:00,4
"136","3005448487",2017-04-06 11:00:00,12
"137","3005448487",2017-04-06 12:00:00,9
"138","3005448487",2017-04-06 13:00:00,12
"139","3005448487",2017-04-06 14:00:00,8
"140","3005448487",2017-04-06 15:00:00,4
"141","3005448487",2017-04-06 16:00:00,3
"142","3005448487",2017-04-06 17:00:00,32
"143","3005448487",2017-04-06 18:00:00,20
"144","3005448487",2017-04-06 19:00:00,14
"145","3005448487",2017-04-06 20:00:00,49
"146","3005448487",2017-04-06 21:00:00,39
"147","3005448487",2017-04-06 22:00:00,11
"148","3005448487",2017-04-06 23:00:00,4
"149","3005448487",2017-04-07 00:00:00,3
"150","3005448487",2017-04-07 01:00:00,3
"151","3005448487",2017-04-07 02:00:00,14
"152","3005448487",2017-04-07 03:00:00,16
"153","3005448487",2017-04-07 04:00:00,6
"154","3005448487",2017-04-07 05:00:00,55
"155","3005448487",2017-04-07 06:00:00,64
"156","3005448487",2017-04-07 07:00:00,21
"157","3005448487",2017-04-07 08:00:00,3
"158","3005448487",2017-04-07 09:00:00,3
"159","3005448487",2017-04-07 10:00:00,17
"160","3005448487",2017-04-07 11:00:00,28
"161","3005448487",2017-04-07 12:00:00,13
"162","3005448487",2017-04-07 13:00:00,4
"163","3005448487",2017-04-07 14:00:00,3
"164","3005448487",2017-04-07 15:00:00,3
"165","3005448487",2017-04-07 16:00:00,3
"166","3005448487",2017-04-07 17:00:00,3
"167","3005448487",2017-04-07 18:00:00,14
"168","3005448487",2017-04-07 19:00:00,92
"169","3005448487",2017-04-07 20:00:00,69
"170","3005448487",2017-04-07 21:00:00,13
"171","3005448487",2017-04-07 22:00:00,12
"172","3005448487",2017-04-07 23:00:00,21
"173","3005448487",2017-04-08 00:00:00,23
"174","3005448487",2017-04-08 01:00:00,10
"175","3005448487",2017-04-08 02:00:00,3
"176","3005448487",2017-04-08 03:00:00,2
"177","3005448487",2017-04-08 04:00:00,3
"178","3005448487",2017-04-21 05:00:00,29
"179","3005448487",2017-04-21 06:00:00,103
"180","3005448487",2017-04-21 07:00:00,51
"181","3005448487",2017-04-21 08:00:00,3
"182","3005448487",2017-04-08 05:00:00,6
"183","3005448487",2017-04-08 06:00:00,69
"184","3005448487",2017-04-08 07:00:00,66
"185","3005448487",2017-04-08 08:00:00,20
"186","3005448487",2017-04-08 09:00:00,5
"187","3005448487",2017-04-08 10:00:00,3
"188","3005448487",2017-04-08 11:00:00,3
"189","3005448487",2017-04-08 12:00:00,3
"190","3005448487",2017-04-08 13:00:00,3
"191","3005448487",2017-04-08 14:00:00,4
"192","3005448487",2017-04-08 15:00:00,3
"193","3005448487",2017-04-08 16:00:00,3
"194","3005448487",2017-04-08 17:00:00,4
"195","3005448487",2017-04-08 18:00:00,3
"196","3005448487",2017-04-08 19:00:00,4
"197","3005448487",2017-04-08 20:00:00,3
"198","3005448487",2017-04-08 21:00:00,3
"199","3005448487",2017-04-08 22:00:00,25
"200","3005448487",2017-04-08 23:00:00,18
"201","3005448487",2017-04-09 00:00:00,4
"202","3005448487",2017-04-09 01:00:00,76
"203","3005448487",2017-04-09 02:00:00,70
"204","3005448487",2017-04-09 03:00:00,18
"205","3005448487",2017-04-09 04:00:00,3
"206","3005448487",2017-04-09 05:00:00,4
"207","3005448487",2017-04-09 06:00:00,3
"208","3005448487",2017-04-09 07:00:00,36
"209","3005448487",2017-04-09 08:00:00,92
"210","3005448487",2017-04-09 09:00:00,43
"211","3005448487",2017-04-09 10:00:00,3
"212","3005448487",2017-04-09 11:00:00,3
"213","3005448487",2017-04-09 12:00:00,14
"214","3005448487",2017-04-09 13:00:00,11
"215","3005448487",2017-04-09 14:00:00,4
"216","3005448487",2017-04-09 15:00:00,4
"217","3005448487",2017-04-09 16:00:00,3
"218","3005448487",2017-04-09 17:00:00,3
"219","3005448487",2017-04-09 18:00:00,108
"220","3005448487",2017-04-09 19:00:00,110
"221","3005448487",2017-04-09 20:00:00,48
"222","3005448487",2017-04-09 21:00:00,19
"223","3005448487",2017-04-09 22:00:00,5
"224","3005448487",2017-04-09 23:00:00,4
"225","3005448487",2017-04-10 00:00:00,33
"226","3005448487",2017-04-10 01:00:00,20
"227","3005448487",2017-04-10 02:00:00,3
"228","3005448487",2017-04-10 03:00:00,2
"229","3005448487",2017-04-10 04:00:00,3
"230","3005448487",2017-04-10 05:00:00,26
"231","3005448487",2017-04-10 06:00:00,102
"232","3005448487",2017-04-10 07:00:00,52
"233","3005448487",2017-04-10 08:00:00,3
"234","3005448487",2017-04-10 09:00:00,3
"235","3005448487",2017-04-10 10:00:00,3
"236","3005448487",2017-04-10 11:00:00,3
"237","3005448487",2017-04-10 12:00:00,3
"238","3005448487",2017-04-10 13:00:00,19
"239","3005448487",2017-04-10 14:00:00,12
"240","3005448487",2017-04-10 15:00:00,3
"241","3005448487",2017-04-10 16:00:00,3
"242","3005448487",2017-04-10 17:00:00,3
"243","3005448487",2017-04-10 18:00:00,3
"244","3005448487",2017-04-10 19:00:00,2
"245","3005448487",2017-04-10 20:00:00,21
"246","3005448487",2017-04-10 21:00:00,62
"247","3005448487",2017-04-10 22:00:00,31
"248","3005448487",2017-04-10 23:00:00,2
"249","3005448487",2017-04-11 00:00:00,3
"250","3005448487",2017-04-11 01:00:00,3
"251","3005448487",2017-04-11 02:00:00,2
"252","3005448487",2017-04-11 03:00:00,3
"253","3005448487",2017-04-11 04:00:00,3
"254","3005448487",2017-04-11 05:00:00,23
"255","3005448487",2017-04-11 06:00:00,101
"256","3005448487",2017-04-11 07:00:00,52
"257","3005448487",2017-04-11 08:00:00,3
"258","3005448487",2017-04-11 09:00:00,3
"259","3005448487",2017-04-11 10:00:00,3
"260","3005448487",2017-04-11 11:00:00,3
"261","3005448487",2017-04-11 12:00:00,3
"262","3005448487",2017-04-11 13:00:00,33
"263","3005448487",2017-04-11 14:00:00,44
"264","3005448487",2017-04-11 15:00:00,16
"265","3005448487",2017-04-11 16:00:00,3
"266","3005448487",2017-04-11 17:00:00,43
"267","3005448487",2017-04-11 18:00:00,31
"268","3005448487",2017-04-11 19:00:00,49
"269","3005448487",2017-04-11 20:00:00,43
"270","3005448487",2017-04-11 21:00:00,48
"271","3005448487",2017-04-11 22:00:00,29
"272","3005448487",2017-04-11 23:00:00,37
"273","3005448487",2017-04-12 00:00:00,21
"274","3005448487",2017-04-21 09:00:00,3
"275","3005448487",2017-04-21 10:00:00,3
"276","3005448487",2017-04-21 11:00:00,2
"277","3005448487",2017-04-21 12:00:00,3
"278","3005448487",2017-04-12 01:00:00,4
"279","3005448487",2017-04-12 02:00:00,3
"280","3005448487",2017-04-12 03:00:00,4
"281","3005448487",2017-04-12 04:00:00,3
