"Year","Month","AverageLPCD"
"2016","Mar",142
"2016","Apr",139
"2016","May",135
"2016","Jun",133
"2016","Jul",138
"2016","Aug",140
"2016","Sep",139
"2016","Oct",137
"2016","Nov",136
"2016","Dec",132
"2017","Jan",141
"2017","Feb",137
"2017","Mar",135
"2017","Apr",136
"2017","May",136
"2017","Jun",133
"2017","Jul",134
"2017","Aug",131
"2017","Sep",130
"2017","Oct",130
"2017","Nov",127
"2017","Dec",125
"2018","Jan",129
"2018","Feb",132
"2018","Mar",129
"2018","Apr",131
"2018","May",134
"2018","Jun",133
"2018","Jul",134
"2018","Aug",132
"2018","Sep",131
"2018","Oct",134
