"week.end","WeeklyLPCD"
2018-01-07,133.71
2018-01-14,127.38
2018-01-21,130.28
2018-01-28,130.83
2018-02-04,131.55
2018-02-11,134.18
2018-02-18,136.35
2018-02-25,131.29
2018-03-04,130.98
2018-03-11,128.99
2018-03-18,129.57
2018-03-25,129.02
2018-04-01,127.1
2018-04-08,130.35
2018-04-15,130.33
2018-04-22,130.05
2018-04-29,130.77
2018-05-06,133.34
2018-05-13,132.72
2018-05-20,132.47
2018-05-27,135.24
2018-06-03,132.09
2018-06-10,132.86
2018-06-17,132.72
2018-06-24,131.33
2018-07-01,129.72
2018-07-08,136.33
