"week.end","PunggolWeeklyLPCD"
2018-01-07,133.71
2018-01-14,127.38
2018-01-21,130.28
2018-01-28,130.83
2018-02-04,131.55
2018-02-11,134.18
2018-02-18,136.35
2018-02-25,131.29
2018-03-04,130.98
2018-03-11,128.99
2018-03-18,129.57
2018-03-25,129.02
2018-04-01,127.1
2018-04-08,130.35
2018-04-15,130.33
2018-04-22,130.05
2018-04-29,130.77
2018-05-06,133.34
2018-05-13,132.72
2018-05-20,132.47
2018-05-27,135.24
2018-06-03,132.09
2018-06-10,132.86
2018-06-17,132.72
2018-06-24,131.33
2018-07-01,129.72
2018-07-08,136.33
2018-07-15,130.75
2018-07-22,129.87
2018-07-29,132.84
2018-08-05,116.71
2018-08-12,123.93
2018-08-19,133.45
2018-08-26,133.29
2018-09-02,129.47
2018-09-09,126.58
2018-09-16,130.21
2018-09-23,132.16
2018-09-30,133.84
2018-10-07,135.22
2018-10-14,94.92
2018-10-21,133.55
2018-10-28,133.66
