"","date","DailyIndexReadingRate","HourlyIndexReadingRate"
"1","2018-04-01",99,95
"2","2018-04-02",99,96
"3","2018-04-03",99,93
"4","2018-04-04",99,91
"5","2018-04-05",98,87
"6","2018-04-06",98,87
"7","2018-04-07",98,91
"8","2018-04-08",98,87
"9","2018-04-09",95,82
"10","2018-04-10",96,82
"11","2018-04-11",96,83
"12","2018-04-12",96,84
"13","2018-04-13",95,82
"14","2018-04-14",96,82
"15","2018-04-15",96,84
"16","2018-04-16",95,82
"17","2018-04-17",95,82
"18","2018-04-18",95,84
"19","2018-04-19",97,88
"20","2018-04-20",98,91
"21","2018-04-21",98,91
"22","2018-04-22",97,89
"23","2018-04-23",97,87
"24","2018-04-24",96,86
"25","2018-04-25",97,86
"26","2018-04-26",97,88
"27","2018-04-27",97,88
"28","2018-04-28",96,85
"29","2018-04-29",96,87
"30","2018-04-30",96,86
"31","2018-05-01",97,88
"32","2018-05-02",97,89
"33","2018-05-03",97,87
"34","2018-05-04",96,87
"35","2018-05-05",96,86
"36","2018-05-06",96,87
"37","2018-05-07",96,87
"38","2018-05-08",97,88
"39","2018-05-09",97,83
"40","2018-05-10",97,86
"41","2018-05-11",97,87
"42","2018-05-12",96,87
"43","2018-05-13",96,84
"44","2018-05-14",92,82
"45","2018-05-15",94,84
"46","2018-05-16",96,85
"47","2018-05-17",94,85
"48","2018-05-18",94,82
"49","2018-05-19",95,84
"50","2018-05-20",93,82
"51","2018-05-21",92,78
"52","2018-05-22",94,80
"53","2018-05-23",94,80
"54","2018-05-24",94,81
"55","2018-05-25",94,81
"56","2018-05-26",93,82
"57","2018-05-27",93,82
"58","2018-05-28",92,82
"59","2018-05-29",94,85
"60","2018-05-30",97,86
"61","2018-05-31",96,87
"62","2018-06-01",96,85
"63","2018-06-02",93,81
"64","2018-06-03",92,79
"65","2018-06-04",92,77
"66","2018-06-05",94,79
"67","2018-06-06",92,80
"68","2018-06-07",93,81
"69","2018-06-08",93,83
"70","2018-06-09",92,84
"71","2018-06-10",92,84
"72","2018-06-11",93,83
"73","2018-06-12",95,86
"74","2018-06-13",94,84
"75","2018-06-14",97,85
"76","2018-06-15",92,85
"77","2018-06-16",97,89
"78","2018-06-17",98,94
"79","2018-06-18",98,94
"80","2018-06-19",99,94
"81","2018-06-20",99,94
"82","2018-06-21",98,94
"83","2018-06-22",98,95
"84","2018-06-23",98,93
"85","2018-06-24",98,93
"86","2018-06-25",99,94
"87","2018-06-26",99,94
"88","2018-06-27",99,94
"89","2018-06-28",99,94
"90","2018-06-29",98,95
"91","2018-06-30",98,93
"92","2018-07-01",98,94
"93","2018-07-02",99,95
"94","2018-07-03",99,96
"95","2018-07-04",99,95
"96","2018-07-05",99,95
"97","2018-07-06",98,94
"98","2018-07-07",98,95
"99","2018-07-08",99,94
"100","2018-07-09",99,95
"101","2018-07-10",99,96
"102","2018-07-11",99,96
"103","2018-07-12",99,95
"104","2018-07-13",99,95
"105","2018-07-14",99,94
"106","2018-07-15",98,94
"107","2018-07-16",99,94
"108","2018-07-17",99,95
"109","2018-07-18",99,96
"110","2018-07-19",99,95
"111","2018-07-20",98,95
"112","2018-07-21",98,94
"113","2018-07-22",99,94
"114","2018-07-23",99,88
"115","2018-07-24",99,88
"116","2018-07-25",99,95
"117","2018-07-26",99,95
"118","2018-07-27",99,95
"119","2018-07-28",99,95
"120","2018-07-29",99,95
"121","2018-07-30",99,94
"122","2018-07-31",99,95
"123","2018-08-01",99,94
"124","2018-08-02",99,95
"125","2018-08-03",99,95
"126","2018-08-04",99,95
"127","2018-08-05",98,94
"128","2018-08-06",99,95
"129","2018-08-07",99,96
"130","2018-08-08",99,95
"131","2018-08-09",99,94
"132","2018-08-10",99,95
"133","2018-08-11",98,95
"134","2018-08-12",98,95
"135","2018-08-13",99,93
"136","2018-08-14",99,95
"137","2018-08-15",99,95
"138","2018-08-16",99,94
"139","2018-08-17",98,94
"140","2018-08-18",98,94
"141","2018-08-19",98,95
"142","2018-08-20",99,95
"143","2018-08-21",99,95
"144","2018-08-22",99,96
"145","2018-08-23",99,94
"146","2018-08-24",99,95
"147","2018-08-25",99,96
"148","2018-08-26",99,95
"149","2018-08-27",99,95
"150","2018-08-28",99,96
"151","2018-08-29",99,96
"152","2018-08-30",99,96
"153","2018-08-31",99,96
"154","2018-09-01",99,96
"155","2018-09-02",98,96
"156","2018-09-03",99,95
"157","2018-09-04",99,97
"158","2018-09-05",99,96
"159","2018-09-06",99,96
"160","2018-09-07",98,95
"161","2018-09-08",98,96
"162","2018-09-09",99,96
"163","2018-09-10",99,96
"164","2018-09-11",99,96
"165","2018-09-12",99,95
