"","date","TotalDailyConsumption","TotalHH","DailyLPCD"
"1",2016-03-01,120311,873.4,137.750171742615
"2",2016-03-02,148888,1154.04,129.014592215175
"3",2016-03-03,184742,1424.71,129.669897733574
"4",2016-03-04,210549,1461.05,144.108004517299
"5",2016-03-05,212398,1461.05,145.373532733308
"6",2016-03-06,212404,1461.05,145.377639368947
"7",2016-03-07,212493,1465.05,145.041466161564
"8",2016-03-08,215097,1468.89,146.435063210996
"9",2016-03-09,206616,1476.73,139.914540911338
"10",2016-03-10,210476,1476.73,142.5284242888
"11",2016-03-11,211964,1528.72,138.654560678214
"12",2016-03-12,225123,1528.72,147.262415615678
"13",2016-03-13,231832,1528.72,151.651054476948
"14",2016-03-14,218813,1528.72,143.134779423308
"15",2016-03-15,217008,1531.72,141.676024338652
"16",2016-03-16,208959,1531.72,136.421147468206
"17",2016-03-17,209280,1531.72,136.630715796621
"18",2016-03-18,205094,1531.72,133.897840336354
"19",2016-03-19,228316,1531.72,149.058574674222
"20",2016-03-20,237424,1531.72,155.004831170188
"21",2016-03-21,224384,1531.72,146.491525866346
"22",2016-03-22,207570,1531.72,135.514323766746
"23",2016-03-23,216443,1531.72,141.307157966208
"24",2016-03-24,208349,1533.72,135.845525910857
"25",2016-03-25,221751,1533.72,144.583757139504
"26",2016-03-26,219690,1533.72,143.239965573899
"27",2016-03-27,237221,1537.18,154.322200392927
"28",2016-03-28,216938,1537.18,141.127259006753
"29",2016-03-29,214539,1537.18,139.566608985285
"30",2016-03-30,214481,1537.18,139.528877555003
"31",2016-03-31,212092,1537.18,137.974732952549
"32",2016-04-01,208866,1537.18,135.876084778621
"33",2016-04-02,232009,1537.18,150.93157600281
"34",2016-04-03,240422,1537.18,156.404585019321
"35",2016-04-04,222865,1537.18,144.983020856373
"36",2016-04-05,219498,1537.18,142.792646274347
"37",2016-04-06,215541,1537.18,140.218451970491
"38",2016-04-07,215198,1537.18,139.99531609831
"39",2016-04-08,207253,1537.18,134.826760691656
"40",2016-04-09,230342,1537.18,149.84712265317
"41",2016-04-10,244268,1537.18,158.90656917212
"42",2016-04-11,224208,1537.18,145.856698629959
"43",2016-04-12,216482,1537.18,140.830611899712
"44",2016-04-13,218693,1537.18,142.268960043716
"45",2016-04-14,210134,1537.18,136.700971909601
"46",2016-04-15,209897,1540.64,136.240133970298
"47",2016-04-16,232752,1540.64,151.074877972791
"48",2016-04-17,248313,1540.64,161.175225880154
"49",2016-04-18,220701,1540.64,143.252804029494
"50",2016-04-19,220597,1540.64,143.185299615744
"51",2016-04-20,208176,1540.64,135.123065738914
"52",2016-04-21,212831,1540.64,138.144537335133
"53",2016-04-22,202775,1540.64,131.617379790217
"54",2016-04-23,222346,1540.64,144.320542112369
"55",2016-04-24,233446,1540.64,151.525340118392
"56",2016-04-25,210621,1540.64,136.710068542943
"57",2016-04-26,207886,1540.64,134.934832277495
"58",2016-04-27,208273,1540.64,135.186026586354
"59",2016-04-28,214177,1542.8,138.823567539539
"60",2016-04-29,205970,1549.8,132.901019486385
"61",2016-04-30,219542,1549.8,141.658278487547
"62",2016-05-01,228011,1549.8,147.122854561879
"63",2016-05-02,231076,1549.8,149.100529100529
"64",2016-05-03,212467,1551.8,136.916484083
"65",2016-05-04,218011,1553.96,140.293829957013
"66",2016-05-05,210876,1553.96,135.702334680429
"67",2016-05-06,205925,1553.96,132.516280985354
"68",2016-05-07,225045,1553.96,144.820329995624
"69",2016-05-08,233166,1553.96,150.046333238951
"70",2016-05-09,216103,1553.96,139.065999124817
"71",2016-05-10,213386,1553.96,137.317562871631
"72",2016-05-11,208456,1553.96,134.145023037916
"73",2016-05-12,209785,1553.96,135.000257406883
"74",2016-05-13,212415,1553.96,136.692707663003
"75",2016-05-14,225190,1553.96,144.913639990733
"76",2016-05-15,234887,1553.96,151.153826353317
"77",2016-05-16,212568,1553.96,136.791165795773
"78",2016-05-17,213544,1553.96,137.41923859044
"79",2016-05-18,208723,1553.96,134.316842132359
"80",2016-05-19,210386,1553.96,135.387011248681
"81",2016-05-20,200598,1553.96,129.088264820201
"82",2016-05-21,221298,1553.96,142.409071018559
"83",2016-05-22,223118,1553.96,143.580272336482
"84",2016-05-23,216474,1553.96,139.304744008855
"85",2016-05-24,207299,1553.96,133.400473628665
