"","date","TotalDailyConsumption","TotalHH","DailyLPCD"
"1",2016-02-24,9349,86,108.709302325581
"2",2016-02-25,39370,321,122.647975077882
"3",2016-02-26,68230,378,180.502645502645
"4",2016-02-27,72621,378,192.119047619048
"5",2016-02-28,72610,378,192.089947089947
"6",2016-02-29,72593,378,192.044973544974
"7",2016-03-01,83487,553,150.971066907776
"8",2016-03-02,101449,732,138.591530054645
"9",2016-03-03,119956,858,139.808857808858
"10",2016-03-04,130936,870,150.501149425287
"11",2016-03-05,132044,870,151.774712643678
"12",2016-03-06,132042,870,151.772413793103
"13",2016-03-07,132242,877,150.78905359179
"14",2016-03-08,134325,877,153.164196123147
"15",2016-03-09,130641,881,148.287173666288
"16",2016-03-10,130422,881,148.038592508513
"17",2016-03-11,133110,914,145.634573304158
"18",2016-03-12,139163,914,152.257111597374
"19",2016-03-13,142870,914,156.312910284464
"20",2016-03-14,136398,914,149.231947483589
"21",2016-03-15,134709,920,146.422826086957
"22",2016-03-16,127451,920,138.533695652174
"23",2016-03-17,131315,920,142.733695652174
"24",2016-03-18,124726,920,135.571739130435
"25",2016-03-19,137760,920,149.739130434783
"26",2016-03-20,143029,920,155.466304347826
"27",2016-03-21,136689,920,148.575
"28",2016-03-22,126761,920,137.783695652174
"29",2016-03-23,135206,920,146.963043478261
"30",2016-03-24,130461,920,141.805434782609
"31",2016-03-25,137321,920,149.261956521739
"32",2016-03-26,138719,920,150.78152173913
"33",2016-03-27,137606,920,149.571739130435
"34",2016-03-28,134458,920,146.15
"35",2016-03-29,129131,920,140.359782608696
"36",2016-03-30,130471,920,141.816304347826
"37",2016-03-31,130849,920,142.227173913043
"38",2016-04-01,131726,920,143.180434782609
"39",2016-04-02,141940,920,154.282608695652
"40",2016-04-03,143884,920,156.395652173913
"41",2016-04-04,134319,920,145.998913043478
"42",2016-04-05,133479,920,145.085869565217
"43",2016-04-06,130312,920,141.64347826087
"44",2016-04-07,129622,920,140.89347826087
"45",2016-04-08,128968,920,140.182608695652
"46",2016-04-09,141466,920,153.767391304348
