New Year's Day;01/01/2013
Chinese New Year;10/02/2013
Chinese New Year;11/02/2013
Chinese New Year;12/02/2013
Good Friday ;29/03/2013
Labour Day;01/05/2013
Vesak Day;24/05/2013
Hari Raya Puasa;08/08/2013
National Day;09/08/2013
Hari Raya Haji;15/10/2013
Deepavali;03/11/2013
Deepavali;04/11/2013
Christmas Day;25/12/2013
New Year's Day;01/01/2014
Chinese New Year;31/01/2014
Chinese New Year;01/02/2014
Good Friday ;18/04/2014
Labour Day;01/05/2014
Vesak Day;13/05/2014
Hari Raya Puasa;28/07/2014
National Day;09/08/2014
Hari Raya Haji;05/10/2014
Hari Raya Haji;06/10/2014
Deepavali;23/10/2014
Christmas Day;25/12/2014
