New Year's Day;01/01/2013
Chinese New Year;10/02/2013
Chinese New Year;11/02/2013
Chinese New Year;12/02/2013
Good Friday;29/03/2013
Labour Day;01/05/2013
Vesak Day;24/05/2013
Hari Raya Puasa;08/08/2013
National Day;09/08/2013
Hari Raya Haji;15/10/2013
Deepavali;03/11/2013
Deepavali;04/11/2013
Christmas Day;25/12/2013
New Year's Day;01/01/2014
Chinese New Year;31/01/2014
Chinese New Year;01/02/2014
Good Friday;18/04/2014
Labour Day;01/05/2014
Vesak Day;13/05/2014
Hari Raya Puasa;28/07/2014
National Day;09/08/2014
Hari Raya Haji;05/10/2014
Hari Raya Haji;06/10/2014
Deepavali;23/10/2014
Christmas Day;25/12/2014
New Year's Day;01/01/2015
Chinese New Year;19/02/2015
Chinese New Year;20/02/2015
Good Friday;03/04/2015
Labour Day;01/05/2015
Vesak Day;01/06/2015
Hari Raya Puasa;17/07/2015
National Day;07/08/2015
National Day;09/08/2015
Polling Day;11/09/2015
Hari Raya Haji;24/09/2015
Deepavali;11/11/2015
Christmas Day;25/12/2015
New Year's Day;01/01/2016
Chinese New Year;08/02/2016
Chinese New Year;09/02/2016
Good Friday;25/03/2016
Labour Day;01/05/2016
Vesak Day;21/05/2016
Hari Raya Puasa;06/07/2016
National Day;09/08/2016
Hari Raya Haji;12/09/2016
Deepavali;29/10/2016
Christmas Day;25/12/2016
New Year's Day;01/01/2017
Chinese New Year;28/01/2017
Chinese New Year;29/01/2017
Good Friday;14/04/2017
Labour Day;01/05/2017
Vesak Day;10/05/2017
Hari Raya Puasa;25/06/2017
National Day;09/08/2017
Hari Raya Haji;01/09/2017
Deepavali;18/10/2017
Christmas Day;25/12/2017
New Year's Day;01/01/2018
Chinese New Year;16/02/2018
Chinese New Year;17/02/2018
Good Friday;30/03/2018
Labour Day;01/05/2018
Vesak Day;29/05/2018
Hari Raya Puasa;15/06/2018
National Day;09/08/2018
Hari Raya Haji;22/08/2018
Deepavali;06/11/2018
Christmas Day;25/12/2018
