"","Date","YH_B1","YH_B2","YH_B3","YH_B4","YH_B5","YH_B6","YH_B7"
"1",2018-04-01,96.9,97.13,97,96.57,97.53,98.82,98.84
"2",2018-04-02,96.09,97.65,99.17,95.6,96.79,96.83,98.61
"3",2018-04-03,89.75,97.62,98.67,90.93,97.57,91.26,96.76
"4",2018-04-04,83.97,97.81,99.17,85.32,97.35,87.64,96.3
"5",2018-04-05,67.86,97.72,98,64.4,95.46,70.97,98.61
"6",2018-04-06,70.03,94.69,95,72.04,89.53,80.8,96.53
"7",2018-04-07,74.4,96.67,95.83,79.68,92.26,83.33,96.99
"8",2018-04-08,55.95,96.7,97.5,64.77,93.47,67.62,99.31
"9",2018-04-09,46.94,93.09,88.83,48.24,81.19,52.67,86.81
"10",2018-04-10,52.13,92.65,90.33,55.23,80.6,57.52,93.75
"11",2018-04-11,46.81,95.96,94.33,56.57,84.7,52.49,94.21
"12",2018-04-12,48.38,94.6,93.83,54.77,84,59.92,95.14
"13",2018-04-13,40.99,94.01,94.83,54.17,83,49.05,93.52
"14",2018-04-14,41.41,92.9,90.5,50.14,83.22,56.39,90.28
"15",2018-04-15,43.49,94.81,90.83,53.33,83.41,58.92,87.04
"16",2018-04-16,45.79,94.72,94.83,49.21,85.4,52.9,90.28
"17",2018-04-17,39.12,93.46,92.17,49.95,82.23,49.82,93.06
"18",2018-04-18,52.51,91.85,91.83,59.4,79.57,59.06,89.58
"19",2018-04-19,62.12,95.49,96.83,66.48,93.66,73.41,97.69
"20",2018-04-20,70.11,95.74,98,76.39,95.06,78.99,97.45
"21",2018-04-21,69.01,97.72,99.33,71.67,97.12,83.56,99.31
"22",2018-04-22,63.69,97.04,98.5,71.3,95.94,73.37,99.54
"23",2018-04-23,64.8,96.36,99,70.6,95.69,80.66,99.77
"24",2018-04-24,64.46,97.31,99.17,71.62,96.9,78.58,97.45
"25",2018-04-25,69.22,96.39,97.17,70.88,95.69,77.31,98.84
"26",2018-04-26,73.81,97.47,97,71.67,96.53,78.4,99.54
"27",2018-04-27,66.41,97.41,99,72.82,96.13,80.34,100
"28",2018-04-28,60.12,97.56,98,66.25,97.12,84.01,98.84
"29",2018-04-29,67.01,97.47,99.33,68.47,96.35,88,98.61
"30",2018-04-30,64.2,97.44,98.67,69.21,96.02,87.95,97.92
"31",2018-05-01,71.34,97.5,99.67,80.42,96.05,86.96,99.77
"32",2018-05-02,72.79,97.16,98.33,73.19,96.53,88.59,99.77
"33",2018-05-03,66.62,97.22,98,71.53,95.65,80.98,98.15
"34",2018-05-04,66.79,97.96,97.67,69.91,96.72,85.19,98.61
"35",2018-05-05,63.1,97.28,99.17,68.38,97.68,80.53,98.61
"36",2018-05-06,66.67,97.53,99.5,71.06,95.83,85.05,99.77
"37",2018-05-07,69.6,97.31,99.33,68.43,95.98,82.52,98.84
"38",2018-05-08,75.68,97.01,98.17,74.72,96.02,86.23,98.84
"39",2018-05-09,69.18,96.33,97.5,71.71,96.76,79.08,98.84
"40",2018-05-10,69.43,97.53,98.33,67.08,97.09,80.53,99.54
"41",2018-05-11,67.18,96.94,99,68.61,97.09,83.83,98.84
"42",2018-05-12,66.71,97.78,97.5,73.75,97.27,81.79,100
"43",2018-05-13,61.05,97.01,97.67,68.61,96.68,83.11,97.92
"44",2018-05-14,61.1,97.01,99.17,69.35,96.98,85.24,99.77
"45",2018-05-15,69.52,97.38,99.83,77.36,96.94,81.11,99.54
"46",2018-05-16,66.96,96.51,98.83,77.31,96.09,83.65,98.38
"47",2018-05-17,65.05,96.54,98.33,76.2,96.42,77.76,98.84
"48",2018-05-18,60.12,96.73,99.5,73.24,96.28,68.52,99.07
"49",2018-05-19,65.39,96.23,99.5,73.06,96.02,72.06,98.15
"50",2018-05-20,62.33,97.62,98.33,69.12,96.5,74.55,99.77
"51",2018-05-21,49.66,97.53,97.67,52.73,95.24,59.65,98.84
"52",2018-05-22,55.06,96.08,95.17,56.85,91.48,59.87,94.44
"53",2018-05-23,50.77,95.46,95.17,53.47,93.47,53.8,96.06
"54",2018-05-24,51.06,95.37,96.17,53.66,90.15,53.89,95.83
"55",2018-05-25,53.44,96.6,97.83,55.32,92.66,51.45,99.07
"56",2018-05-26,44.73,96.67,98.33,57.5,93.51,62.36,99.07
"57",2018-05-27,60.25,96.91,99,59.21,93.58,55.8,96.06
"58",2018-05-28,62.29,96.42,99.33,53.84,92.15,57.25,98.84
"59",2018-05-29,74.7,97.47,97.5,64.81,93.62,67.62,96.53
"60",2018-05-30,68.58,97.25,97.17,59.26,94.25,57.11,96.99
"61",2018-05-31,62.37,95.8,97.17,58.01,92.81,54.71,95.37
"62",2018-06-01,60.29,96.11,96.17,53.01,94.32,63.59,96.3
"63",2018-06-02,60.8,96.02,98.5,58.61,94.47,66.3,91.9
"64",2018-06-03,55.95,96.27,98.5,56.99,95.06,54.53,96.99
"65",2018-06-04,55.74,95.74,95.33,48.98,93.55,57.38,97.45
"66",2018-06-05,64.88,95.8,96.83,60.09,93.22,68.57,97.45
"67",2018-06-06,62.24,96.27,98.17,56.25,96.2,66.94,95.83
"68",2018-06-07,58.63,96.54,98.5,60.46,94.43,60.05,95.83
"69",2018-06-08,53.83,96.36,97.67,60.46,95.02,62.5,95.37
"70",2018-06-09,59.91,96.98,97.5,60.05,95.46,62.86,99.54
"71",2018-06-10,61.39,96.23,98.17,56.25,94.51,69.47,96.76
"72",2018-06-11,59.69,96.82,99.17,55,93.29,63.54,99.07
"73",2018-06-12,74.83,96.54,98.83,64.07,93.36,67.8,98.15
"74",2018-06-13,70.11,96.11,97,57.18,93.62,68.16,98.61
"75",2018-06-14,62.63,95.93,98,52.13,94.43,57.56,95.14
"76",2018-06-15,61.01,96.02,98.5,33.61,94.06,44.52,98.84
"77",2018-06-16,80.06,96.73,99.33,58.29,94.43,61.46,96.3
"78",2018-06-17,87.37,96.14,99.17,83.47,94.06,83.88,97.92
"79",2018-06-18,86.65,96.3,97.83,87.31,95.21,89.18,97.45
"80",2018-06-19,92.22,94.63,99.83,84.54,94.65,92.66,95.37
"81",2018-06-20,87.46,96.76,95.83,87.73,95.72,93.98,96.99
"82",2018-06-21,86.14,96.2,99.83,89.77,94.58,95.06,96.3
"83",2018-06-22,86.78,96.79,97.33,86.34,95.21,96.65,98.38
"84",2018-06-23,86.82,96.82,97.67,86.53,94.06,90.04,96.99
"85",2018-06-24,84.74,96.85,99.67,86.2,93.55,93.25,99.77
"86",2018-06-25,86.52,97.41,97.83,90.28,93.44,95.15,96.76
"87",2018-06-26,93.24,97.56,97.67,89.07,93.1,91.3,97.22
"88",2018-06-27,93.45,97.16,97.83,87.73,95.58,89.67,96.99
"89",2018-06-28,89.84,96.54,98,86.71,92.7,91.35,92.82
"90",2018-06-29,88.82,97.16,99,85.6,97.27,94.93,97.45
"91",2018-06-30,89.33,97.87,99.5,87.64,96.76,92.57,98.84
"92",2018-07-01,89.67,97.62,99.83,86.85,97.01,95.52,96.99
"93",2018-07-02,92.3,97.53,99,86.57,96.31,94.2,98.61
"94",2018-07-03,98.17,97.44,99.33,89.44,97.23,96.6,100
"95",2018-07-04,96.6,97.59,99.17,87.36,97.46,95.11,98.38
"96",2018-07-05,91.5,98.7,99,87.5,97.42,92.98,99.07
"97",2018-07-06,89.37,98.36,99.67,81.67,98.08,92.44,100
"98",2018-07-07,88.73,98.33,98.67,87.31,97.68,91.89,99.31
