"Year","Month","AverageLPCD"
"2016","Mar",142
"2016","Apr",138
"2016","May",134
"2016","Jun",132
"2016","Jul",137
"2016","Aug",139
"2016","Sep",138
"2016","Oct",136
"2016","Nov",135
"2016","Dec",131
"2017","Jan",140
"2017","Feb",136
"2017","Mar",134
"2017","Apr",135
"2017","May",135
"2017","Jun",132
"2017","Jul",133
"2017","Aug",130
"2017","Sep",129
"2017","Oct",129
"2017","Nov",126
"2017","Dec",124
"2018","Jan",128
"2018","Feb",131
"2018","Mar",128
"2018","Apr",130
"2018","May",133
"2018","Jun",132
"2018","Jul",129
