"","MonthYear","value","leak"
"1","Mar'16",19,"O"
"33","Mar'16",-6,"C"
"2","Apr'16",7,"O"
"34","Apr'16",-11,"C"
"3","May'16",10,"O"
"35","May'16",-11,"C"
"4","Jun'16",7,"O"
"36","Jun'16",-6,"C"
"5","Jul'16",6,"O"
"37","Jul'16",-9,"C"
"6","Aug'16",3,"O"
"38","Aug'16",-1,"C"
"7","Sep'16",5,"O"
"39","Sep'16",-6,"C"
"8","Oct'16",6,"O"
"40","Oct'16",-6,"C"
"9","Nov'16",3,"O"
"41","Nov'16",-4,"C"
"10","Dec'16",8,"O"
"42","Dec'16",-5,"C"
"11","Jan'17",5,"O"
"43","Jan'17",-8,"C"
"12","Feb'17",10,"O"
"44","Feb'17",-10,"C"
"13","Mar'17",7,"O"
"45","Mar'17",-9,"C"
"14","Apr'17",6,"O"
"46","Apr'17",-5,"C"
"15","May'17",8,"O"
"47","May'17",-8,"C"
"16","Jun'17",6,"O"
"48","Jun'17",-7,"C"
"17","Jul'17",4,"O"
"49","Jul'17",-6,"C"
"18","Aug'17",3,"O"
"50","Aug'17",-3,"C"
"19","Sep'17",8,"O"
"51","Sep'17",-7,"C"
"20","Oct'17",4,"O"
"52","Oct'17",-3,"C"
"21","Nov'17",9,"O"
"53","Nov'17",-7,"C"
"22","Dec'17",5,"O"
"54","Dec'17",-9,"C"
"23","Jan'18",10,"O"
"55","Jan'18",-8,"C"
"24","Feb'18",2,"O"
"56","Feb'18",-5,"C"
"25","Mar'18",4,"O"
"57","Mar'18",-3,"C"
"26","Apr'18",10,"O"
"58","Apr'18",-8,"C"
"27","May'18",9,"O"
"59","May'18",-9,"C"
"28","Jun'18",34,"O"
"60","Jun'18",-21,"C"
"29","Jul'18",32,"O"
"61","Jul'18",-32,"C"
"30","Aug'18",20,"O"
"62","Aug'18",-20,"C"
"31","Sep'18",30,"O"
"63","Sep'18",-27,"C"
"32","Oct'18",26,"O"
"64","Oct'18",-26,"C"
