"Date","Block","LeakVolume","ConsumptionVolume","LeakPerConsumptionRate"
2016-03-20,"PG_B1",43176,422536,10.22
2016-03-20,"PG_B2",18840,394752,4.77
2016-03-20,"PG_B3",0,292726,0
2016-03-20,"PG_B4",48,238211,0.02
2016-03-20,"PG_B5",2760,366913,0.75
2016-03-27,"PG_B1",38112,427496,8.92
2016-03-27,"PG_B2",19848,400913,4.95
2016-03-27,"PG_B3",0,287643,0
2016-03-27,"PG_B4",0,243220,0
2016-03-27,"PG_B5",4056,363821,1.11
2016-04-03,"PG_B1",38160,429652,8.88
2016-04-03,"PG_B2",20448,406954,5.02
2016-04-03,"PG_B3",0,291564,0
2016-04-03,"PG_B4",24,242462,0.01
2016-04-03,"PG_B5",4248,372713,1.14
2016-04-10,"PG_B1",39480,439531,8.98
2016-04-10,"PG_B2",21696,397424,5.46
2016-04-10,"PG_B3",0,304039,0
2016-04-10,"PG_B4",24,242841,0.01
2016-04-10,"PG_B5",1944,367501,0.53
2016-04-17,"PG_B1",41424,438527,9.45
2016-04-17,"PG_B2",22392,396570,5.65
2016-04-17,"PG_B3",0,293468,0
2016-04-17,"PG_B4",0,250124,0
2016-04-17,"PG_B5",1920,371556,0.52
2016-04-24,"PG_B1",33768,413960,8.16
2016-04-24,"PG_B2",16224,394133,4.12
2016-04-24,"PG_B3",96,288491,0.03
2016-04-24,"PG_B4",0,243548,0
2016-04-24,"PG_B5",1104,373401,0.3
2016-05-01,"PG_B1",15480,402414,3.85
2016-05-01,"PG_B2",6720,378802,1.77
2016-05-01,"PG_B3",120,285058,0.04
2016-05-01,"PG_B4",0,238119,0
2016-05-01,"PG_B5",744,366660,0.2
2016-05-08,"PG_B1",10032,397449,2.52
2016-05-08,"PG_B2",5928,397407,1.49
2016-05-08,"PG_B3",288,280827,0.1
2016-05-08,"PG_B4",24,245492,0.01
2016-05-08,"PG_B5",816,377783,0.22
2016-05-15,"PG_B1",13032,397431,3.28
2016-05-15,"PG_B2",4296,382639,1.12
2016-05-15,"PG_B3",312,286836,0.11
2016-05-15,"PG_B4",48,244819,0.02
2016-05-15,"PG_B5",552,381020,0.14
2016-05-22,"PG_B1",5544,399239,1.39
2016-05-22,"PG_B2",4824,379867,1.27
2016-05-22,"PG_B3",96,283913,0.03
2016-05-22,"PG_B4",48,237119,0.02
2016-05-22,"PG_B5",1560,368376,0.42
2016-05-29,"PG_B1",1728,390656,0.44
2016-05-29,"PG_B2",3576,375172,0.95
2016-05-29,"PG_B3",144,294523,0.05
2016-05-29,"PG_B4",0,241685,0
2016-05-29,"PG_B5",2520,365678,0.69
2016-06-05,"PG_B1",1872,368417,0.51
