id,service_point_sn,meter_sn,meter_type,site,start_date,end_date,duration,min5flow_ave,severity,status,notification_status,potential_savings
1,3000077665B,EH184059,BYPASS,Tuas,6/8/2017,12/8/2017,7,16,Critical,Close,new,359
2,3000119712B,EP180480,BYPASS,Tuas,5/5/2017,12/5/2017,8,12,Critical,Close,new,269
3,3000121015B,AP280989,BYPASS,Tuas,3/2/2016,22/3/2016,49,12,Critical,Close,new,269
4,3000121015B,AP280989,BYPASS,Tuas,26/3/2016,22/6/2016,89,36,Critical,Close,new,807
5,3000121015B,AP280989,BYPASS,Tuas,26/6/2016,29/6/2016,4,28,Severe,Close,new,628
6,3000121015B,AP280989,BYPASS,Tuas,13/7/2016,7/1/2017,179,16,Critical,Close,new,359
7,3000138898B,EP180635,BYPASS,Tuas,4/2/2016,22/2/2016,19,24,Critical,Close,new,538
8,3000138898B,EP180635,BYPASS,Tuas,24/3/2016,20/4/2016,28,36,Critical,Close,new,807
9,3000138898B,EP180635,BYPASS,Tuas,26/4/2016,21/8/2016,118,56,Critical,Close,new,1256
10,3000138898B,EP180635,BYPASS,Tuas,24/8/2016,31/8/2016,8,20,Critical,Close,new,449
11,3000138898B,EP180635,BYPASS,Tuas,5/9/2016,30/10/2016,56,20,Critical,Close,new,449
12,3000138898B,EP180635,BYPASS,Tuas,15/11/2016,15/1/2017,62,32,Critical,Close,new,718
13,3000138898B,EP180635,BYPASS,Tuas,29/1/2017,6/2/2017,9,28,Critical,Close,new,628
14,3000138898B,EP180635,BYPASS,Tuas,13/2/2017,27/2/2017,15,32,Critical,Close,new,718
15,3000138898B,EP180635,BYPASS,Tuas,2/3/2017,10/3/2017,9,36,Critical,Close,new,807
16,3000138898B,EP180635,BYPASS,Tuas,13/3/2017,13/5/2017,62,36,Critical,Close,new,807
17,3000138898B,EP180635,BYPASS,Tuas,2/6/2017,6/6/2017,5,32,Critical,Close,new,718
18,3000138898B,EP180635,BYPASS,Tuas,26/7/2017,30/9/2017,67,16,Critical,Close,new,359
19,3000138898B,EP180635,BYPASS,Tuas,6/10/2017,20/11/2017,46,20,Critical,Close,new,449
20,3000138898B,EP180635,BYPASS,Tuas,24/11/2017,NA,6,90,Critical,Open,new,2018
21,3000140559B,AJ180239,BYPASS,Tuas,4/2/2016,NA,665,148,Critical,Open,new,3319
22,3000141206B,AP280286,BYPASS,Tuas,23/10/2016,1/11/2016,10,20,Critical,Close,new,449
23,3000141206B,AP280286,BYPASS,Tuas,25/2/2017,18/3/2017,22,12,Critical,Close,new,269
24,3000141206B,AP280286,BYPASS,Tuas,21/3/2017,31/3/2017,11,12,Critical,Close,new,269
25,3000141206B,AP280286,BYPASS,Tuas,3/4/2017,4/8/2017,124,24,Critical,Close,new,538
26,3000144350B,EP180406,BYPASS,Tuas,4/10/2016,4/12/2016,62,12,Critical,Close,new,269
27,3000144350B,EP180406,BYPASS,Tuas,16/12/2016,9/1/2017,25,12,Critical,Close,new,269
28,3000144350B,EP180406,BYPASS,Tuas,18/1/2017,12/2/2017,26,12,Critical,Close,new,269
29,3000144350B,EP180406,BYPASS,Tuas,25/2/2017,25/3/2017,29,24,Critical,Close,new,538
