"Date","TotalLeakVolume15PerDay"
2016-03-18,9840
2016-03-19,9240
2016-03-20,9768
2016-03-21,10056
2016-03-22,10248
2016-03-23,10944
2016-03-24,10584
2016-03-25,9840
2016-03-26,9864
2016-03-27,9936
2016-03-28,11040
2016-03-29,10704
2016-03-30,11184
2016-03-31,10848
2016-04-01,10800
2016-04-02,10440
2016-04-03,9408
2016-04-04,10752
2016-04-05,10392
2016-04-06,10440
2016-04-07,10824
2016-04-08,10632
2016-04-09,10704
2016-04-10,10248
2016-04-11,10512
2016-04-12,12000
2016-04-13,11040
2016-04-14,10320
2016-04-15,10224
2016-04-16,10968
2016-04-17,11424
2016-04-18,21048
2016-04-19,11280
2016-04-20,6744
2016-04-21,6432
2016-04-22,4728
2016-04-23,4512
2016-04-24,4584
2016-04-25,4728
2016-04-26,4728
2016-04-27,3840
2016-04-28,3864
2016-04-29,3912
2016-04-30,3816
2016-05-01,3072
2016-05-02,3000
2016-05-03,2616
2016-05-04,2328
2016-05-05,2232
2016-05-06,2232
2016-05-07,2520
2016-05-08,7320
2016-05-09,7152
2016-05-10,4920
2016-05-11,2616
2016-05-12,2688
2016-05-13,3936
2016-05-14,2328
2016-05-15,2472
2016-05-16,2592
2016-05-17,2712
2016-05-18,4080
2016-05-19,1296
2016-05-20,1560
2016-05-21,2232
2016-05-22,1848
2016-05-23,1440
2016-05-24,1464
2016-05-25,2040
2016-05-26,1608
2016-05-27,1560
2016-05-28,1752
2016-05-29,1656
2016-05-30,1176
2016-05-31,1296
2016-06-01,1824
2016-06-02,1368
2016-06-03,1728
2016-06-04,1896
2016-06-05,1632
2016-06-06,1440
2016-06-07,1224
2016-06-08,1128
2016-06-09,1248
2016-06-10,1632
2016-06-11,1608
2016-06-12,1560
2016-06-13,1488
2016-06-14,1416
2016-06-15,1104
2016-06-16,1896
2016-06-17,1368
2016-06-18,1272
2016-06-19,1632
2016-06-20,1392
2016-06-21,912
2016-06-22,912
2016-06-23,936
2016-06-24,960
2016-06-25,1656
2016-06-26,1488
2016-06-27,1080
2016-06-28,1104
2016-06-29,1056
2016-06-30,1512
2016-07-01,1560
2016-07-02,792
2016-07-03,1392
2016-07-04,984
2016-07-05,1176
2016-07-06,1080
2016-07-07,1080
2016-07-08,936
2016-07-09,1128
2016-07-10,1248
2016-07-11,1032
2016-07-12,1008
2016-07-13,1272
2016-07-14,1320
2016-07-15,1656
2016-07-16,1560
2016-07-17,1368
2016-07-18,960
2016-07-19,1464
2016-07-20,1200
2016-07-21,1296
2016-07-22,1248
2016-07-23,1584
2016-07-24,1008
2016-07-25,1104
2016-07-26,1128
2016-07-27,1200
2016-07-28,1152
2016-07-29,1080
2016-07-30,936
2016-07-31,1080
2016-08-01,1152
2016-08-02,1416
2016-08-03,1320
2016-08-04,1032
2016-08-05,192
2016-08-07,264
2016-08-08,1200
2016-08-09,1440
2016-08-10,1680
2016-08-11,1464
2016-08-12,1320
2016-08-13,1392
2016-08-14,1320
2016-08-15,1176
2016-08-16,1296
2016-08-17,1320
2016-08-18,1320
2016-08-19,1344
2016-08-20,1368
2016-08-21,1392
2016-08-22,1752
2016-08-23,1560
2016-08-24,1608
2016-08-25,1536
2016-08-26,1776
2016-08-27,1560
2016-08-28,1440
2016-08-29,1560
2016-08-30,1464
2016-08-31,1536
2016-09-01,1896
2016-09-02,2160
2016-09-03,2112
2016-09-04,2016
2016-09-05,2232
2016-09-06,2376
2016-09-07,2616
2016-09-08,2328
2016-09-09,2544
2016-09-10,2760
2016-09-11,2448
2016-09-12,2520
2016-09-13,17136
2016-09-14,2232
2016-09-15,2760
2016-09-16,2856
2016-09-17,3312
2016-09-18,2760
2016-09-19,2760
2016-09-20,3264
2016-09-21,3408
2016-09-22,1200
2016-09-23,1464
2016-09-24,1440
2016-09-25,1536
2016-09-26,1368
2016-09-27,1488
2016-09-28,1632
2016-09-29,1704
2016-09-30,1752
2016-10-01,1488
2016-10-02,1656
2016-10-03,1680
2016-10-04,1536
2016-10-05,1416
2016-10-06,1272
2016-10-07,2328
2016-10-08,1320
2016-10-09,1536
2016-10-10,1392
2016-10-11,1224
2016-10-12,1656
2016-10-13,1560
2016-10-14,1680
2016-10-15,1536
2016-10-16,1944
2016-10-17,2040
2016-10-18,1920
2016-10-19,1728
2016-10-20,1464
2016-10-21,1608
2016-10-22,1752
2016-10-23,1584
2016-10-24,1776
2016-10-25,2208
2016-10-26,2232
2016-10-27,1992
2016-10-28,2160
2016-10-29,1464
2016-10-30,1776
2016-10-31,1944
2016-11-01,1944
2016-11-02,2184
2016-11-03,1848
2016-11-04,2088
2016-11-05,1872
2016-11-06,1488
2016-11-07,960
2016-11-08,1440
2016-11-09,1704
2016-11-10,1704
2016-11-11,2640
2016-11-12,1824
2016-11-13,1920
2016-11-14,1992
