"","Date","Punggol","Yuhua","TotalLeakVolumePerDay"
"1",2018-04-01,192,93,285
"2",2018-04-02,336,82,418
"3",2018-04-03,408,105,513
"4",2018-04-04,216,220,436
"5",2018-04-05,264,822,1086
"6",2018-04-06,168,374,542
"7",2018-04-07,72,281,353
"8",2018-04-08,144,791,935
"9",2018-04-09,96,1529,1625
"10",2018-04-10,168,790,958
"11",2018-04-11,96,1620,1716
"12",2018-04-12,120,950,1070
"13",2018-04-13,288,1185,1473
"14",2018-04-14,384,809,1193
"15",2018-04-15,168,1430,1598
"16",2018-04-16,72,1000,1072
"17",2018-04-17,120,885,1005
"18",2018-04-18,120,1287,1407
"19",2018-04-19,48,310,358
"20",2018-04-20,72,511,583
"21",2018-04-21,96,359,455
"22",2018-04-22,312,812,1124
"23",2018-04-23,72,666,738
"24",2018-04-24,24,436,460
"25",2018-04-25,24,452,476
"26",2018-04-26,24,1017,1041
"27",2018-04-27,24,626,650
"28",2018-04-28,72,501,573
"29",2018-04-29,72,278,350
"30",2018-04-30,72,704,776
"31",2018-05-01,96,550,646
"32",2018-05-02,48,619,667
"33",2018-05-03,72,867,939
"34",2018-05-04,24,762,786
"35",2018-05-05,24,656,680
"36",2018-05-06,72,530,602
"37",2018-05-07,96,524,620
"38",2018-05-08,120,457,577
"39",2018-05-09,168,973,1141
"40",2018-05-10,144,845,989
"41",2018-05-11,240,960,1200
"42",2018-05-12,264,527,791
"43",2018-05-13,312,476,788
"44",2018-05-14,168,627,795
"45",2018-05-15,144,429,573
"46",2018-05-16,168,989,1157
"47",2018-05-17,96,591,687
"48",2018-05-18,216,959,1175
"49",2018-05-19,216,410,626
"50",2018-05-20,192,597,789
"51",2018-05-21,168,1772,1940
"52",2018-05-22,144,709,853
"53",2018-05-23,264,992,1256
"54",2018-05-24,264,1452,1716
"55",2018-05-25,264,606,870
"56",2018-05-26,312,1143,1455
"57",2018-05-27,336,597,933
"58",2018-05-28,240,870,1110
"59",2018-05-29,240,317,557
"60",2018-05-30,192,950,1142
"61",2018-05-31,216,1233,1449
"62",2018-06-01,216,584,800
"63",2018-06-02,240,443,683
"64",2018-06-03,264,786,1050
"65",2018-06-04,192,443,635
"66",2018-06-05,288,961,1249
"67",2018-06-06,120,476,596
"68",2018-06-07,288,711,999
"69",2018-06-08,192,518,710
"70",2018-06-09,120,116,236
"71",2018-06-10,120,429,549
"72",2018-06-11,240,372,612
"73",2018-06-12,552,747,1299
"74",2018-06-13,744,1113,1857
"75",2018-06-14,1008,1277,2285
"76",2018-06-15,792,1806,2598
"77",2018-06-16,984,301,1285
"78",2018-06-17,960,322,1282
"79",2018-06-18,1008,378,1386
"80",2018-06-19,1008,238,1246
"81",2018-06-20,1008,491,1499
"82",2018-06-21,936,467,1403
"83",2018-06-22,960,419,1379
"84",2018-06-23,936,519,1455
"85",2018-06-24,816,583,1399
"86",2018-06-25,888,687,1575
"87",2018-06-26,840,381,1221
"88",2018-06-27,936,470,1406
"89",2018-06-28,912,347,1259
"90",2018-06-29,768,495,1263
"91",2018-06-30,696,596,1292
"92",2018-07-01,696,482,1178
"93",2018-07-02,720,506,1226
"94",2018-07-03,624,352,976
"95",2018-07-04,600,263,863
"96",2018-07-05,720,491,1211
"97",2018-07-06,13584,387,13971
"98",2018-07-07,20256,489,20745
"99",2018-07-08,19608,498,20106
"100",2018-07-09,192,636,828
"101",2018-07-10,336,366,702
"102",2018-07-11,240,459,699
"103",2018-07-12,96,417,513
"104",2018-07-13,48,672,720
