"","Date","block","LeakVolume"
"1",2017-11-03,"PG_B1",216
"2",2017-11-03,"PG_B2",696
"3",2017-11-03,"PG_B3",0
"4",2017-11-03,"PG_B4",0
"5",2017-11-03,"PG_B5",0
"6",2017-11-04,"PG_B1",216
"7",2017-11-04,"PG_B2",696
"8",2017-11-04,"PG_B3",0
"9",2017-11-04,"PG_B4",0
"10",2017-11-04,"PG_B5",0
"11",2017-11-05,"PG_B1",312
"12",2017-11-05,"PG_B2",864
"13",2017-11-05,"PG_B3",0
"14",2017-11-05,"PG_B4",0
"15",2017-11-05,"PG_B5",0
"16",2017-11-06,"PG_B1",336
"17",2017-11-06,"PG_B2",744
"18",2017-11-06,"PG_B3",0
"19",2017-11-06,"PG_B4",0
"20",2017-11-06,"PG_B5",48
"21",2017-11-07,"PG_B1",528
"22",2017-11-07,"PG_B2",840
"23",2017-11-07,"PG_B3",0
"24",2017-11-07,"PG_B4",0
"25",2017-11-07,"PG_B5",48
"26",2017-11-08,"PG_B1",720
"27",2017-11-08,"PG_B2",696
"28",2017-11-08,"PG_B3",0
"29",2017-11-08,"PG_B4",0
"30",2017-11-08,"PG_B5",2448
"31",2017-11-09,"PG_B1",552
"32",2017-11-09,"PG_B2",672
"33",2017-11-09,"PG_B3",48
"34",2017-11-09,"PG_B4",0
"35",2017-11-09,"PG_B5",120
"36",2017-11-10,"PG_B1",504
"37",2017-11-10,"PG_B2",696
"38",2017-11-10,"PG_B3",0
"39",2017-11-10,"PG_B4",0
"40",2017-11-10,"PG_B5",24
"41",2017-11-11,"PG_B1",672
"42",2017-11-11,"PG_B2",744
"43",2017-11-11,"PG_B3",0
"44",2017-11-11,"PG_B4",0
"45",2017-11-11,"PG_B5",0
"46",2017-11-12,"PG_B1",696
"47",2017-11-12,"PG_B2",672
"48",2017-11-12,"PG_B3",0
"49",2017-11-12,"PG_B4",0
"50",2017-11-12,"PG_B5",24
"51",2017-11-13,"PG_B1",744
"52",2017-11-13,"PG_B2",744
"53",2017-11-13,"PG_B3",192
"54",2017-11-13,"PG_B4",0
"55",2017-11-13,"PG_B5",0
"56",2017-11-14,"PG_B1",672
"57",2017-11-14,"PG_B2",576
"58",2017-11-14,"PG_B3",408
"59",2017-11-14,"PG_B4",0
"60",2017-11-14,"PG_B5",120
"61",2017-11-15,"PG_B1",816
"62",2017-11-15,"PG_B2",504
"63",2017-11-15,"PG_B3",408
"64",2017-11-15,"PG_B4",0
"65",2017-11-15,"PG_B5",24
"66",2017-11-16,"PG_B1",624
"67",2017-11-16,"PG_B2",552
"68",2017-11-16,"PG_B3",0
"69",2017-11-16,"PG_B4",24
"70",2017-11-16,"PG_B5",0
"71",2017-11-17,"PG_B1",192
"72",2017-11-17,"PG_B2",528
"73",2017-11-17,"PG_B3",0
"74",2017-11-17,"PG_B4",0
"75",2017-11-17,"PG_B5",264
"76",2017-11-18,"PG_B1",192
"77",2017-11-18,"PG_B2",600
"78",2017-11-18,"PG_B3",0
"79",2017-11-18,"PG_B4",0
"80",2017-11-18,"PG_B5",192
"81",2017-11-19,"PG_B1",216
"82",2017-11-19,"PG_B2",600
"83",2017-11-19,"PG_B3",0
"84",2017-11-19,"PG_B4",0
"85",2017-11-19,"PG_B5",192
"86",2017-11-20,"PG_B1",312
"87",2017-11-20,"PG_B2",528
"88",2017-11-20,"PG_B3",0
"89",2017-11-20,"PG_B4",432
"90",2017-11-20,"PG_B5",192
"91",2017-11-22,"PG_B1",96
"92",2017-11-22,"PG_B2",48
"93",2017-11-22,"PG_B3",0
"94",2017-11-22,"PG_B4",0
"95",2017-11-22,"PG_B5",168
"96",2017-11-23,"PG_B1",24
"97",2017-11-23,"PG_B2",2376
"98",2017-11-23,"PG_B3",0
"99",2017-11-23,"PG_B4",0
"100",2017-11-23,"PG_B5",192
"101",2017-11-24,"PG_B1",48
"102",2017-11-24,"PG_B2",2376
"103",2017-11-24,"PG_B3",0
"104",2017-11-24,"PG_B4",0
"105",2017-11-24,"PG_B5",192
"106",2017-11-25,"PG_B1",48
"107",2017-11-25,"PG_B2",2376
"108",2017-11-25,"PG_B3",0
"109",2017-11-25,"PG_B4",0
"110",2017-11-25,"PG_B5",144
"111",2017-11-26,"PG_B1",120
"112",2017-11-26,"PG_B2",72
"113",2017-11-26,"PG_B3",0
"114",2017-11-26,"PG_B4",0
"115",2017-11-26,"PG_B5",168
"116",2017-11-27,"PG_B1",216
"117",2017-11-27,"PG_B2",48
"118",2017-11-27,"PG_B3",0
"119",2017-11-27,"PG_B4",0
"120",2017-11-27,"PG_B5",144
"121",2017-11-28,"PG_B1",192
"122",2017-11-28,"PG_B2",72
"123",2017-11-28,"PG_B3",0
"124",2017-11-28,"PG_B4",0
"125",2017-11-28,"PG_B5",168
"126",2017-11-29,"PG_B1",120
"127",2017-11-29,"PG_B2",72
"128",2017-11-29,"PG_B3",0
"129",2017-11-29,"PG_B4",0
"130",2017-11-29,"PG_B5",264
"131",2017-11-30,"PG_B1",72
"132",2017-11-30,"PG_B2",96
"133",2017-11-30,"PG_B3",24
"134",2017-11-30,"PG_B4",0
"135",2017-11-30,"PG_B5",144
"136",2017-12-01,"PG_B1",96
"137",2017-12-01,"PG_B2",120
"138",2017-12-01,"PG_B3",0
"139",2017-12-01,"PG_B4",0
"140",2017-12-01,"PG_B5",240
"141",2017-12-02,"PG_B1",48
"142",2017-12-02,"PG_B2",192
"143",2017-12-02,"PG_B3",120
"144",2017-12-02,"PG_B4",0
"145",2017-12-02,"PG_B5",168
"146",2017-12-03,"PG_B1",240
"147",2017-12-03,"PG_B2",192
"148",2017-12-03,"PG_B3",0
"149",2017-12-03,"PG_B4",0
"150",2017-12-03,"PG_B5",120
"151",2017-12-04,"PG_B1",240
"152",2017-12-04,"PG_B2",4128
"153",2017-12-04,"PG_B3",0
"154",2017-12-04,"PG_B4",0
"155",2017-12-04,"PG_B5",240
"156",2017-12-05,"PG_B1",168
"157",2017-12-05,"PG_B2",48
"158",2017-12-05,"PG_B3",0
"159",2017-12-05,"PG_B4",0
"160",2017-12-05,"PG_B5",120
"161",2017-12-06,"PG_B1",168
"162",2017-12-06,"PG_B2",72
"163",2017-12-06,"PG_B3",0
"164",2017-12-06,"PG_B4",0
"165",2017-12-06,"PG_B5",120
"166",2017-12-07,"PG_B1",120
"167",2017-12-07,"PG_B2",72
"168",2017-12-07,"PG_B3",0
"169",2017-12-07,"PG_B4",0
"170",2017-12-07,"PG_B5",24
"171",2017-12-08,"PG_B1",120
"172",2017-12-08,"PG_B2",48
"173",2017-12-08,"PG_B3",0
"174",2017-12-08,"PG_B4",0
"175",2017-12-08,"PG_B5",0
"176",2017-12-09,"PG_B1",120
"177",2017-12-09,"PG_B2",48
"178",2017-12-09,"PG_B3",0
"179",2017-12-09,"PG_B4",0
"180",2017-12-09,"PG_B5",0
"181",2017-12-10,"PG_B1",120
"182",2017-12-10,"PG_B2",96
"183",2017-12-10,"PG_B3",0
"184",2017-12-10,"PG_B4",0
"185",2017-12-10,"PG_B5",24
"186",2017-12-11,"PG_B1",120
"187",2017-12-11,"PG_B2",120
"188",2017-12-11,"PG_B3",0
"189",2017-12-11,"PG_B4",0
"190",2017-12-11,"PG_B5",24
"191",2017-12-12,"PG_B1",96
"192",2017-12-12,"PG_B2",120
"193",2017-12-12,"PG_B3",168
"194",2017-12-12,"PG_B4",0
"195",2017-12-12,"PG_B5",0
"196",2017-12-13,"PG_B1",120
"197",2017-12-13,"PG_B2",96
"198",2017-12-13,"PG_B3",168
"199",2017-12-13,"PG_B4",0
"200",2017-12-13,"PG_B5",0
"201",2017-12-14,"PG_B1",96
"202",2017-12-14,"PG_B2",96
"203",2017-12-14,"PG_B3",0
"204",2017-12-14,"PG_B4",0
"205",2017-12-14,"PG_B5",48
"206",2017-12-15,"PG_B1",48
"207",2017-12-15,"PG_B2",96
"208",2017-12-15,"PG_B3",24
"209",2017-12-15,"PG_B4",0
"210",2017-12-15,"PG_B5",0
"211",2017-12-16,"PG_B1",24
"212",2017-12-16,"PG_B2",96
"213",2017-12-16,"PG_B3",0
"214",2017-12-16,"PG_B4",0
"215",2017-12-16,"PG_B5",120
"216",2017-12-17,"PG_B1",24
"217",2017-12-17,"PG_B2",0
"218",2017-12-17,"PG_B3",0
"219",2017-12-17,"PG_B4",0
"220",2017-12-17,"PG_B5",120
"221",2017-12-18,"PG_B1",120
"222",2017-12-18,"PG_B2",96
"223",2017-12-18,"PG_B3",0
"224",2017-12-18,"PG_B4",0
"225",2017-12-18,"PG_B5",24
"226",2017-12-19,"PG_B1",48
