"Date","LeakVolumePerDay_Online","LeakVolumePerDay_Offline","LeakVolumePerDay_Total"
2016-03-18,5304,3168,8472
2016-03-19,4920,2784,7704
2016-03-20,5568,2736,8304
2016-03-21,5616,3072,8688
2016-03-22,5544,3168,8712
2016-03-23,5616,3912,9528
2016-03-24,5808,3768,9576
2016-03-25,5472,3096,8568
2016-03-26,5448,3024,8472
2016-03-27,5232,3240,8472
2016-03-28,5760,3312,9072
2016-03-29,5664,3480,9144
2016-03-30,5808,3576,9384
2016-03-31,5832,3360,9192
2016-04-01,6264,3336,9600
2016-04-02,5160,3456,8616
2016-04-03,4776,3096,7872
2016-04-04,5736,3552,9288
2016-04-05,5712,3456,9168
2016-04-06,5496,3240,8736
2016-04-07,5784,3552,9336
2016-04-08,5496,3384,8880
2016-04-09,5304,3624,8928
2016-04-10,5592,3216,8808
2016-04-11,5952,3216,9168
2016-04-12,5736,4800,10536
2016-04-13,5832,3552,9384
2016-04-14,5592,3168,8760
2016-04-15,5352,3168,8520
2016-04-16,6048,3192,9240
2016-04-17,6888,3240,10128
2016-04-18,13296,5016,18312
2016-04-19,5712,4032,9744
2016-04-20,3432,2400,5832
2016-04-21,2952,2352,5304
2016-04-22,2088,2232,4320
2016-04-23,1776,2112,3888
2016-04-24,1680,2112,3792
2016-04-25,1728,2280,4008
2016-04-26,1920,2088,4008
2016-04-27,1752,1488,3240
2016-04-28,1752,1416,3168
2016-04-29,1752,1200,2952
2016-04-30,1752,1392,3144
2016-05-01,960,1584,2544
2016-05-02,480,1632,2112
2016-05-03,432,1464,1896
2016-05-04,408,1296,1704
2016-05-05,216,1368,1584
2016-05-06,384,1368,1752
2016-05-07,480,1464,1944
2016-05-08,1704,4392,6096
2016-05-09,1704,4560,6264
2016-05-10,624,2472,3096
2016-05-11,504,1368,1872
2016-05-12,504,1416,1920
2016-05-13,168,1464,1632
2016-05-14,216,1584,1800
2016-05-15,216,1440,1656
2016-05-16,384,1584,1968
2016-05-17,240,1680,1920
2016-05-18,624,2616,3240
2016-05-19,120,672,792
2016-05-20,120,984,1104
2016-05-21,792,960,1752
2016-05-22,336,960,1296
2016-05-23,48,840,888
2016-05-24,360,888,1248
2016-05-25,528,912,1440
2016-05-26,288,912,1200
2016-05-27,96,912,1008
2016-05-28,96,1104,1200
2016-05-29,120,864,984
2016-05-30,168,552,720
2016-05-31,216,528,744
2016-06-01,72,576,648
2016-06-02,240,504,744
2016-06-03,192,1104,1296
2016-06-04,216,1032,1248
2016-06-05,192,960,1152
2016-06-06,168,648,816
2016-06-07,192,480,672
2016-06-08,192,408,600
2016-06-09,48,696,744
2016-06-10,144,912,1056
2016-06-11,96,960,1056
2016-06-12,72,1056,1128
2016-06-13,120,888,1008
2016-06-14,120,624,744
2016-06-15,72,552,624
2016-06-16,144,984,1128
2016-06-17,144,648,792
2016-06-18,144,480,624
2016-06-19,192,912,1104
2016-06-20,288,672,960
2016-06-21,240,264,504
2016-06-22,240,312,552
2016-06-23,144,360,504
2016-06-24,72,384,456
2016-06-25,264,768,1032
2016-06-26,168,816,984
2016-06-27,216,456,672
2016-06-28,168,456,624
2016-06-29,144,408,552
2016-06-30,312,744,1056
2016-07-01,288,768,1056
2016-07-02,168,312,480
2016-07-03,120,408,528
2016-07-04,144,336,480
2016-07-05,288,312,600
2016-07-06,288,312,600
2016-07-07,288,288,576
2016-07-08,288,288,576
2016-07-09,264,360,624
2016-07-10,336,528,864
2016-07-11,192,360,552
2016-07-12,312,312,624
2016-07-13,360,456,816
2016-07-14,480,312,792
2016-07-15,480,672,1152
2016-07-16,432,552,984
2016-07-17,240,552,792
2016-07-18,144,432,576
2016-07-19,360,552,912
2016-07-20,240,456,696
2016-07-21,288,504,792
2016-07-22,240,504,744
2016-07-23,168,744,912
2016-07-24,168,480,648
2016-07-25,216,360,576
2016-07-26,144,528,672
2016-07-27,144,576,720
2016-07-28,168,576,744
2016-07-29,96,576,672
2016-07-30,48,600,648
2016-07-31,168,552,720
2016-08-01,192,624,816
2016-08-02,120,768,888
2016-08-03,264,624,888
2016-08-04,144,480,624
2016-08-05,96,96,192
2016-08-07,0,216,216
2016-08-08,192,672,864
2016-08-09,216,768,984
2016-08-10,240,960,1200
2016-08-11,336,720,1056
2016-08-12,72,720,792
2016-08-13,264,600,864
2016-08-14,312,624,936
2016-08-15,288,600,888
2016-08-16,408,648,1056
2016-08-17,312,648,960
2016-08-18,240,648,888
2016-08-19,384,648,1032
2016-08-20,432,672,1104
2016-08-21,408,672,1080
2016-08-22,744,720,1464
2016-08-23,528,768,1296
2016-08-24,456,696,1152
2016-08-25,216,792,1008
2016-08-26,480,696,1176
2016-08-27,600,744,1344
2016-08-28,168,792,960
2016-08-29,264,792,1056
2016-08-30,192,672,864
2016-08-31,288,840,1128
2016-09-01,888,744,1632
2016-09-02,984,744,1728
2016-09-03,936,744,1680
2016-09-04,720,696,1416
2016-09-05,864,912,1776
2016-09-06,888,1008,1896
2016-09-07,1104,936,2040
2016-09-08,888,1080,1968
2016-09-09,768,1176,1944
2016-09-10,1392,1104,2496
2016-09-11,1440,696,2136
2016-09-12,1248,648,1896
2016-09-13,1008,15672,16680
2016-09-14,696,816,1512
2016-09-15,960,1416,2376
2016-09-16,1032,1560,2592
2016-09-17,960,1824,2784
2016-09-18,888,1344,2232
2016-09-19,1032,1368,2400
2016-09-20,1152,1560,2712
2016-09-21,1320,1680,3000
2016-09-22,480,480,960
2016-09-23,528,504,1032
2016-09-24,600,456,1056
2016-09-25,408,576,984
2016-09-26,312,624,936
2016-09-27,312,576,888
2016-09-28,624,600,1224
2016-09-29,504,672,1176
2016-09-30,360,696,1056
2016-10-01,480,504,984
2016-10-02,384,864,1248
2016-10-03,408,816,1224
2016-10-04,312,720,1032
2016-10-05,240,624,864
2016-10-06,312,504,816
2016-10-07,288,1416,1704
2016-10-08,360,552,912
2016-10-09,528,480,1008
2016-10-10,312,552,864
