"","service_point_sn","start_date","end_date","duration","min5flow_ave","status"
"1","3100250338","2018-04-01",NA,5,1,"Open"
"2","3004521518","2018-03-22",NA,15,1.5,"Open"
"3","3004521715","2017-03-08","2017-03-14",7,140,"Close"
"4","3004521473","2016-03-08","2016-05-13",67,10.33,"Close"
"5","3100250306","2017-03-27","2017-03-30",4,1,"Close"
"6","3005448483","2016-06-10","2016-07-02",23,2,"Close"
"7","3004479266","2016-03-14","2016-05-02",50,30.67,"Close"
"8","3004521172","2016-03-15","2016-04-21",38,9,"Close"
"9","3004520911","2017-12-19","2017-12-31",13,10.33,"Close"
"10","3004520911","2018-01-06","2018-02-19",45,10.67,"Close"
"11","3004479690","2016-12-12","2016-12-17",6,7,"Close"
"12","3004479690","2017-02-11","2017-02-14",4,1,"Close"
"13","3004478970","2016-04-07","2016-04-10",4,4,"Close"
"14","3004478970","2016-05-13","2016-05-20",8,5.33,"Close"
"15","3004521783","2016-05-05","2016-05-08",4,1.33,"Close"
"16","3004521783","2016-06-02","2016-06-07",6,3,"Close"
"17","3004521783","2016-06-29","2016-07-11",13,1.67,"Close"
"18","3004521783","2016-07-19","2016-07-30",12,1.33,"Close"
"19","3004521783","2016-09-10","2016-09-13",4,7,"Close"
"20","3004521783","2016-09-28","2016-10-04",7,3.33,"Close"
"21","3004521783","2016-10-07","2016-11-19",44,4.67,"Close"
"22","3004478696","2016-05-08","2016-05-11",4,88,"Close"
"23","3004521285","2016-10-15","2016-10-18",4,2,"Close"
"24","3004521285","2016-12-12","2017-01-26",46,2,"Close"
"25","3004521979","2017-02-04","2017-02-27",24,3.33,"Close"
"26","3004521979","2017-10-14","2018-01-25",104,7.67,"Close"
"27","3004521979","2018-02-05","2018-02-23",19,30.33,"Close"
"28","3004478892","2016-03-14","2016-05-20",68,41.33,"Close"
"29","3004479207","2016-03-21","2016-03-25",5,12,"Close"
"30","3004479207","2016-03-29","2016-04-17",20,12,"Close"
"31","3004479207","2016-05-08","2016-05-13",6,12,"Close"
