"","service_point_sn","meter_sn","MinCons_60","start_date","end_date","status"
"1","3004478638","WS500001A",9,2017-10-31,2017-12-12,"Close"
"2","3004478892","WS500002A",38,2016-04-29,2016-06-05,"Close"
"3","3004478892","WS500002A",1,2017-08-10,2017-10-28,"Close"
"4","3004478658","WS500007A",7,2017-01-19,2017-02-12,"Close"
"5","3004478658","WS500007A",1,2017-08-18,2017-12-25,"Close"
"6","3004478658","WS500007A",8,2018-01-24,NA,"Open"
"7","3004479870","WS500011A",1,2016-11-24,2016-11-28,"Close"
"8","3004479870","WS500011A",4,2017-08-18,2017-09-08,"Close"
"9","3004479584","WS500016A",1,2017-05-16,2018-01-08,"Close"
"10","3004480168","WS500018A",1,2016-04-11,2016-07-05,"Close"
"11","3004478970","WS500026A",2,2017-05-13,2017-05-24,"Close"
"12","3004478970","WS500026A",2,2017-06-02,2017-06-20,"Close"
"13","3004479266","WS500027A",57,2016-04-19,2016-08-11,"Close"
"14","3004478742","WS500031A",4,2016-04-05,2016-11-02,"Close"
"15","3004478742","WS500031A",2,2017-03-17,2017-03-27,"Close"
"16","3004478742","WS500031A",9,2017-07-30,2017-09-30,"Close"
"17","3004478742","WS500031A",1,2017-11-04,2017-12-28,"Close"
"18","3004478742","WS500031A",12,2018-01-10,2018-02-10,"Close"
"19","3004479278","WS500033A",2,2017-05-05,2017-06-06,"Close"
"20","3004479661","WS500034A",32,2016-03-18,2016-05-05,"Close"
"21","3004479661","WS500034A",1,2017-01-02,2017-03-02,"Close"
"22","3004479661","WS500034A",2,2017-06-25,2017-07-15,"Close"
"23","3004479661","WS500034A",1,2017-12-16,2018-03-06,"Close"
"24","3004479927","WS500035A",1,2016-11-06,2016-11-21,"Close"
"25","3004479927","WS500035A",1,2016-12-11,2016-12-19,"Close"
"26","3004479927","WS500035A",4,2017-01-02,2017-01-08,"Close"
"27","3004479927","WS500035A",2,2017-02-10,2017-02-16,"Close"
"28","3004479927","WS500035A",3,2017-03-06,2017-03-24,"Close"
"29","3004478755","WS500037A",9,2016-03-18,2016-05-01,"Close"
"30","3004478755","WS500037A",5,2016-08-11,2016-10-07,"Close"
"31","3004478755","WS500037A",5,2016-10-24,2016-11-15,"Close"
"32","3004478755","WS500037A",3,2016-11-25,2016-12-01,"Close"
"33","3004478755","WS500037A",1,2017-01-31,2017-02-04,"Close"
"34","3004478755","WS500037A",6,2017-04-14,2017-05-02,"Close"
"35","3004478755","WS500037A",2,2017-05-06,2017-05-25,"Close"
"36","3004479690","WS500040A",7,2016-12-15,2016-12-20,"Close"
"37","3004479690","WS500040A",1,2017-02-13,2017-02-17,"Close"
"38","3004480243","WS500042A",2,2017-03-03,2017-06-02,"Close"
"39","3004479020","WS500044A",1,2016-12-29,2017-06-22,"Close"
"40","3004479721","WS500046A",6,2016-03-22,2017-02-20,"Close"
"41","3004479975","WS500047A",3,2016-08-28,2016-10-16,"Close"
"42","3004479975","WS500047A",2,2016-11-02,2016-12-14,"Close"
"43","3004478784","WS500049A",21,2016-03-17,2016-04-26,"Close"
"44","3004478784","WS500049A",2,2017-04-19,2017-04-27,"Close"
"45","3004478784","WS500049A",1,2017-07-04,2017-08-18,"Close"
"46","3004478784","WS500049A",1,2017-09-18,2017-09-24,"Close"
"47","3004478784","WS500049A",1,2017-10-16,2017-10-31,"Close"
"48","3004478784","WS500049A",1,2017-11-12,2017-12-11,"Close"
"49","3004479342","WS500051A",3,2016-04-01,2016-04-08,"Close"
"50","3004479342","WS500051A",2,2016-10-05,2017-03-09,"Close"
"51","3004479342","WS500051A",1,2017-05-10,2017-11-29,"Close"
"52","3004478810","WS500061A",9,2016-03-18,2016-05-30,"Close"
"53","3004478810","WS500061A",5,2016-06-03,2016-12-11,"Close"
"54","3004479091","WS500068A",37,2016-03-27,2016-05-02,"Close"
"55","3004480369","WS500078A",2,2017-06-07,2017-07-29,"Close"
"56","3004479481","WS500081A",50,2016-03-23,2016-06-04,"Close"
"57","3004480381","WS500084A",2,2016-06-04,2016-07-18,"Close"
"58","3004480381","WS500084A",1,2017-09-08,NA,"Open"
"59","3004520967","WS500091A",1,2017-01-25,2017-04-22,"Close"
"60","3004520967","WS500091A",1,2017-09-02,2017-09-08,"Close"
"61","3004520967","WS500091A",1,2017-11-05,2017-11-15,"Close"
"62","3004520967","WS500091A",1,2018-01-24,2018-02-04,"Close"
"63","3004521518","WS500093A",1,2016-12-01,2017-01-06,"Close"
"64","3004521803","WS500094A",6,2016-03-22,2017-07-23,"Close"
"65","3004521803","WS500094A",1,2017-09-02,NA,"Open"
"66","3004521247","WS500096A",1,2017-11-05,2018-01-23,"Close"
"67","3004521824","WS500098A",1,2016-03-21,2017-02-04,"Close"
"68","3004521017","WS500099A",56,2016-03-23,2016-04-23,"Close"
"69","3004521564","WS500101A",17,2016-03-19,2016-04-30,"Close"
"70","3004522137","WS500103A",1,2018-02-25,NA,"Open"
"71","3004521276","WS500106A",2,2016-04-26,2016-06-18,"Close"
"72","3004521276","WS500106A",1,2016-07-29,2017-04-16,"Close"
"73","3004521276","WS500106A",5,2017-06-02,2017-06-06,"Close"
"74","3004521276","WS500106A",2,2017-09-15,2017-10-15,"Close"
"75","3004521276","WS500106A",1,2017-11-26,2017-12-08,"Close"
"76","3004522151","WS500109A",1,2017-12-15,2018-01-11,"Close"
"77","3004520724","WS500110A",28,2016-03-20,2016-04-30,"Close"
"78","3004521048","WS500111A",4,2017-02-12,2017-03-24,"Close"
"79","3004521048","WS500111A",5,2017-10-21,2017-11-14,"Close"
"80","3004521048","WS500111A",4,2017-12-03,2017-12-07,"Close"
"81","3004521285","WS500112A",1,2016-09-22,2016-10-03,"Close"
"82","3004521285","WS500112A",1,2016-10-12,2016-10-24,"Close"
"83","3004521285","WS500112A",1,2016-11-02,2017-01-28,"Close"
"84","3004521613","WS500113A",12,2016-03-18,2017-06-23,"Close"
"85","3004521061","WS500117A",1,2016-04-10,2016-05-30,"Close"
"86","3004521061","WS500117A",3,2016-08-27,2016-09-18,"Close"
"87","3004521061","WS500117A",2,2017-04-27,2017-05-06,"Close"
"88","3004521931","WS500120A",2,2016-10-03,2017-02-02,"Close"
"89","3004521931","WS500120A",2,2017-12-12,2017-12-16,"Close"
"90","3004521085","WS500123A",2,2016-04-02,2016-04-16,"Close"
"91","3004521085","WS500123A",2,2016-04-27,2016-05-17,"Close"
"92","3004521085","WS500123A",4,2017-01-07,2017-01-11,"Close"
"93","3004521085","WS500123A",2,2017-09-27,2017-11-04,"Close"
"94","3004521085","WS500123A",8,2017-12-23,NA,"Open"
"95","3004521979","WS500132A",1,2017-02-07,2017-03-04,"Close"
"96","3004521979","WS500132A",1,2017-03-10,2017-03-18,"Close"
"97","3004521979","WS500132A",1,2017-10-05,2018-01-29,"Close"
"98","3004521979","WS500132A",43,2018-02-09,2018-02-26,"Close"
"99","3004521109","WS500135A",2,2016-04-12,2016-06-27,"Close"
"100","3004521109","WS500135A",2,2016-11-19,2017-02-26,"Close"
"101","3004521109","WS500135A",3,2017-09-18,2017-11-29,"Close"
"102","3004522216","WS500139A",1,2016-06-23,2016-07-04,"Close"
"103","3004522216","WS500139A",6,2016-07-12,2016-07-22,"Close"
"104","3004522014","WS500144A",44,2017-02-08,2017-02-12,"Close"
"105","3004522229","WS500145A",2,2016-03-18,2016-05-20,"Close"
"106","3004522229","WS500145A",1,2016-06-19,2016-06-29,"Close"
"107","3004522229","WS500145A",7,2016-07-14,2016-07-24,"Close"
"108","3004521137","WS500147A",1,2017-04-26,2017-05-01,"Close"
"109","3004521137","WS500147A",3,2017-08-17,2017-08-28,"Close"
"110","3004521715","WS500149A",140,2017-03-10,2017-03-17,"Close"
"111","3004522256","WS500157A",2,2016-04-07,2016-05-02,"Close"
"112","3004522256","WS500157A",3,2016-09-02,2016-10-09,"Close"
"113","3004522256","WS500157A",3,2016-11-03,2016-11-15,"Close"
"114","3004522256","WS500157A",5,2016-12-02,2016-12-28,"Close"
"115","3004522256","WS500157A",6,2017-01-25,2017-02-28,"Close"
"116","3004522256","WS500157A",1,2017-05-23,2017-06-04,"Close"
"117","3004522256","WS500157A",2,2017-06-15,2017-06-19,"Close"
"118","3004522256","WS500157A",1,2017-09-11,2017-09-20,"Close"
"119","3004522256","WS500157A",6,2017-10-05,2017-10-20,"Close"
"120","3004522256","WS500157A",3,2017-10-26,NA,"Open"
"121","3004521172","WS500159A",11,2016-03-18,2016-04-23,"Close"
"122","3004522058","WS500162A",1,2016-06-04,2016-06-12,"Close"
"123","3004522058","WS500162A",2,2016-07-05,2016-07-12,"Close"
"124","3004522058","WS500162A",1,2017-12-31,2018-01-14,"Close"
"125","3004522058","WS500162A",1,2018-01-19,2018-01-28,"Close"
"126","3004520911","WS500164A",1,2016-03-18,2016-11-02,"Close"
"127","3004520911","WS500164A",1,2017-01-10,2017-02-28,"Close"
"128","3004520911","WS500164A",1,2017-03-26,2017-04-06,"Close"
"129","3004520911","WS500164A",1,2017-05-23,2017-10-13,"Close"
"130","3004520911","WS500164A",2,2017-10-21,2017-10-28,"Close"
"131","3004520911","WS500164A",17,2017-12-25,2018-02-18,"Close"
"132","3004521189","WS500165A",6,2016-03-18,2016-04-04,"Close"
"133","3004521189","WS500165A",2,2016-05-09,2016-05-21,"Close"
"134","3004521189","WS500165A",1,2016-06-01,2016-09-27,"Close"
"135","3004521189","WS500165A",2,2016-11-02,2017-03-02,"Close"
"136","3004521473","WS500166A",12,2016-03-18,2016-05-18,"Close"
"137","3004522092","WS500168A",4,2016-07-10,2016-07-29,"Close"
"138","3004522092","WS500168A",1,2016-11-15,2016-11-28,"Close"
"139","3004522092","WS500168A",3,2017-02-13,2017-02-17,"Close"
"140","3004522092","WS500168A",3,2017-02-27,2017-03-10,"Close"
"141","3004522092","WS500168A",3,2017-03-26,2017-04-11,"Close"
"142","3004522092","WS500168A",1,2017-09-11,2017-11-14,"Close"
"143","3004522092","WS500168A",3,2017-12-18,2017-12-23,"Close"
"144","3004522092","WS500168A",4,2018-01-20,2018-02-02,"Close"
"145","3004522092","WS500168A",2,2018-02-20,2018-02-27,"Close"
"146","3004521205","WS500171A",3,2017-10-01,2017-12-02,"Close"
"147","3004521205","WS500171A",6,2018-01-29,2018-03-01,"Close"
"148","3004521490","WS500172A",1,2016-10-03,2016-10-09,"Close"
"149","3004521490","WS500172A",18,2018-01-04,2018-01-11,"Close"
"150","3004522297","WS500175A",1,2016-05-04,2016-06-14,"Close"
"151","3004521507","WS500178A",8,2016-03-20,2016-05-01,"Close"
"152","3004521507","WS500178A",2,2016-06-06,2016-06-12,"Close"
"153","3004521507","WS500178A",2,2016-06-17,2016-06-27,"Close"
"154","3004521507","WS500178A",1,2016-08-11,2016-10-31,"Close"
"155","3004521783","WS500179A",1,2016-06-06,2016-06-10,"Close"
"156","3004521783","WS500179A",5,2016-06-30,2016-07-17,"Close"
"157","3004521783","WS500179A",7,2016-07-22,2016-08-16,"Close"
"158","3004521783","WS500179A",8,2016-10-09,2016-11-22,"Close"
"159","3004521783","WS500179A",2,2017-09-21,2017-10-04,"Close"
"160","3004521783","WS500179A",1,2018-01-29,2018-02-08,"Close"
"161","3004521783","WS500179A",4,2018-03-09,2018-03-15,"Close"
"162","3100250190","WS500187A",1,2017-02-11,2017-03-10,"Close"
"163","3100249958","WS500199A",109,2016-12-05,2016-12-09,"Close"
"164","3100250082","WS500209A",1,2018-02-25,NA,"Open"
"165","3100249914","WS500230A",3,2016-06-26,2017-07-27,"Close"
"166","3100249978","WS500239A",2,2018-01-14,2018-01-25,"Close"
"167","3100249926","WS500254A",5,2017-09-02,2017-12-22,"Close"
"168","3100249926","WS500254A",6,2018-01-12,NA,"Open"
"169","3100250106","WS500257A",10,2016-10-24,2016-11-22,"Close"
"170","3100250106","WS500257A",10,2016-12-20,2017-01-25,"Close"
"171","3100250106","WS500257A",2,2017-02-16,2017-02-20,"Close"
"172","3100250106","WS500257A",6,2017-04-13,2017-05-28,"Close"
"173","3100250106","WS500257A",4,2017-07-03,2017-12-10,"Close"
"174","3100249934","WS500270A",10,2017-12-08,2018-02-18,"Close"
"175","3100250054","WS500272A",1,2016-10-09,2016-10-14,"Close"
"176","3100250054","WS500272A",1,2016-10-31,2016-12-16,"Close"
"177","3100250054","WS500272A",1,2017-05-30,2017-07-08,"Close"
"178","3100249998","WS500279A",1,2017-09-27,NA,"Open"
"179","3100250178","WS500282A",3,2016-11-25,2016-12-01,"Close"
"180","3100250178","WS500282A",3,2017-01-20,2017-03-14,"Close"
"181","3100250178","WS500282A",3,2017-03-18,NA,"Open"
"182","3100250362","WS500293A",1,2017-08-19,2017-10-05,"Close"
"183","3100250306","WS500300A",3,2016-04-10,2016-12-11,"Close"
"184","3100250306","WS500300A",1,2017-02-06,2017-07-03,"Close"
"185","3100250306","WS500300A",4,2017-07-11,2017-12-10,"Close"
"186","3100250306","WS500300A",2,2018-02-13,NA,"Open"
"187","3005448479","WS500309A",22,2016-09-03,2016-09-25,"Close"
"188","3005448487","WS500321A",2,2017-02-09,2017-02-25,"Close"
"189","3005448487","WS500321A",2,2017-03-06,2017-03-10,"Close"
"190","3005448487","WS500321A",2,2017-04-05,2017-04-27,"Close"
"191","3005448487","WS500321A",2,2017-06-13,2017-07-29,"Close"
"192","3005448551","WS500322A",1,2016-12-27,2016-12-31,"Close"
"193","3005448551","WS500322A",2,2017-01-06,2017-02-02,"Close"
"194","3005448551","WS500322A",1,2017-02-06,2017-02-10,"Close"
"195","3005448551","WS500322A",1,2017-02-23,2017-02-27,"Close"
"196","3005448491","WS500327A",2,2017-10-16,2017-11-02,"Close"
"197","3005448643","WS500365A",14,2017-01-23,2017-01-28,"Close"
"198","3005448519","WS500369A",2,2016-04-06,2016-04-16,"Close"
"199","3005448647","WS500371A",7,2018-01-01,2018-01-09,"Close"
"200","3005448467","WS500386A",1,2017-05-05,2017-05-13,"Close"
"201","3100159679","WS500400A",4,2016-05-21,2016-08-13,"Close"
"202","3100159955","WS500412A",2,2016-04-25,2016-07-26,"Close"
"203","3100159955","WS500412A",4,2017-11-17,NA,"Open"
"204","3100159487","WS500413A",1,2016-10-13,2016-11-15,"Close"
"205","3100159823","WS500418A",1,2017-05-12,2017-06-15,"Close"
"206","3100159959","WS500420A",10,2017-03-16,2017-04-30,"Close"
"207","3100159491","WS500421A",1,2016-10-10,2016-11-27,"Close"
"208","3100159491","WS500421A",2,2016-12-14,2017-01-22,"Close"
"209","3100159491","WS500421A",2,2017-01-26,2017-08-12,"Close"
"210","3100159491","WS500421A",1,2018-02-19,NA,"Open"
"211","3100159495","WS500429A",5,2016-04-29,2016-08-27,"Close"
