"service_point_sn","meter_sn","MinCons_60","start_date","end_date","status"
"3004478638","WS500001A",2,2017-10-21,2017-11-19,"Close"
"3004478892","WS500002A",1,2017-08-01,2017-08-26,"Close"
"3004478892","WS500002A",3,2017-08-29,2017-09-17,"Close"
"3004478658","WS500007A",18,2017-01-16,2017-01-20,"Close"
"3004478658","WS500007A",6,2017-01-26,2017-02-01,"Close"
"3004478658","WS500007A",16,2017-08-12,2017-12-15,"Close"
"3004478658","WS500007A",8,2018-01-14,NA,"Open"
"3004479571","WS500010A",1,2017-09-21,2017-09-24,"Close"
"3004479870","WS500011A",3,2017-01-07,2017-01-10,"Close"
"3004479870","WS500011A",1,2017-02-06,2017-02-11,"Close"
"3004479870","WS500011A",1,2017-02-19,2017-03-13,"Close"
"3004479870","WS500011A",1,2017-04-04,2017-04-20,"Close"
"3004479870","WS500011A",2,2017-06-06,2017-06-13,"Close"
"3004479870","WS500011A",2,2017-06-22,2017-09-05,"Close"
"3004479870","WS500011A",1,2017-09-13,2017-09-18,"Close"
"3004479870","WS500011A",1,2017-09-30,2017-10-04,"Close"
"3004479870","WS500011A",1,2017-12-26,2018-01-12,"Close"
"3004479870","WS500011A",1,2018-02-21,2018-02-26,"Close"
"3004479870","WS500011A",2,2018-05-06,2018-05-12,"Close"
"3004480136","WS500012A",1,2017-02-10,2017-02-13,"Close"
"3004480136","WS500012A",1,2017-03-19,2017-03-24,"Close"
"3004480136","WS500012A",3,2017-10-24,2017-10-27,"Close"
"3004478679","WS500013A",1,2017-04-30,2017-05-04,"Close"
"3004478679","WS500013A",2,2018-01-27,2018-02-01,"Close"
"3004479584","WS500016A",1,2017-04-18,2017-08-31,"Close"
"3004479584","WS500016A",1,2017-09-08,2018-01-04,"Close"
"3004479584","WS500016A",1,2018-01-09,2018-01-25,"Close"
"3004479584","WS500016A",1,2018-03-19,NA,"Open"
"3004479606","WS500022A",1,2018-04-03,2018-04-07,"Close"
"3004479606","WS500022A",3,2018-05-05,2018-05-13,"Close"
"3004478970","WS500026A",1,2017-05-10,2017-05-21,"Close"
"3004478970","WS500026A",1,2017-05-30,2017-06-17,"Close"
"3004478742","WS500031A",7,2017-03-13,2017-03-24,"Close"
"3004478742","WS500031A",3,2017-04-18,2017-04-26,"Close"
"3004478742","WS500031A",7,2017-07-27,2017-08-05,"Close"
"3004478742","WS500031A",4,2017-08-13,2017-08-23,"Close"
"3004478742","WS500031A",13,2017-09-02,2017-09-17,"Close"
"3004478742","WS500031A",5,2017-09-20,2017-09-27,"Close"
"3004478742","WS500031A",1,2017-11-01,2017-12-25,"Close"
"3004478742","WS500031A",13,2018-01-07,2018-02-07,"Close"
"3004478988","WS500032A",2,2017-03-03,2017-03-09,"Close"
"3004479278","WS500033A",2,2017-04-30,2017-06-03,"Close"
"3004479278","WS500033A",11,2017-06-21,2017-06-28,"Close"
"3004479661","WS500034A",2,2017-01-16,2017-02-27,"Close"
"3004479661","WS500034A",1,2017-06-22,2017-07-12,"Close"
"3004479661","WS500034A",2,2017-12-11,2018-03-03,"Close"
"3004479927","WS500035A",4,2017-01-01,2017-01-05,"Close"
"3004479927","WS500035A",2,2017-02-07,2017-02-13,"Close"
"3004479927","WS500035A",3,2017-02-17,2017-02-22,"Close"
"3004479927","WS500035A",3,2017-03-03,2017-03-14,"Close"
"3004479927","WS500035A",1,2017-03-25,2017-03-28,"Close"
"3004479927","WS500035A",2,2017-04-02,2017-04-10,"Close"
"3004479927","WS500035A",1,2017-06-16,2017-07-01,"Close"
"3004478755","WS500037A",3,2017-01-28,2017-02-01,"Close"
"3004478755","WS500037A",6,2017-04-11,2017-04-19,"Close"
"3004478755","WS500037A",1,2017-05-03,2017-05-11,"Close"
"3004478755","WS500037A",1,2017-05-15,2017-05-19,"Close"
"3004478755","WS500037A",1,2017-08-05,2017-08-09,"Close"
"3004479303","WS500039A",4,2017-10-21,2017-10-25,"Close"
"3004479690","WS500040A",2,2017-02-10,2017-02-14,"Close"
"3004480243","WS500042A",1,2017-02-14,2017-02-21,"Close"
"3004480243","WS500042A",1,2017-02-28,2017-05-27,"Close"
"3004479020","WS500044A",3,2017-01-08,2017-06-12,"Close"
"3004479721","WS500046A",9,2017-01-01,2017-02-17,"Close"
"3004480290","WS500048A",11,2017-11-19,2017-11-22,"Close"
"3004478784","WS500049A",1,2017-04-16,2017-04-20,"Close"
"3004478784","WS500049A",1,2017-07-01,2017-07-18,"Close"
"3004478784","WS500049A",1,2017-07-22,2017-07-30,"Close"
"3004478784","WS500049A",1,2017-08-06,2017-08-15,"Close"
"3004478784","WS500049A",1,2017-08-23,2017-09-07,"Close"
"3004478784","WS500049A",2,2017-09-15,2017-09-21,"Close"
"3004478784","WS500049A",1,2017-10-13,2017-10-17,"Close"
"3004478784","WS500049A",1,2017-10-25,2017-10-28,"Close"
"3004478784","WS500049A",1,2017-11-08,2017-12-06,"Close"
"3004479342","WS500051A",3,2017-01-01,2017-02-27,"Close"
"3004479342","WS500051A",1,2017-03-24,2017-03-27,"Close"
"3004479342","WS500051A",1,2017-04-07,2017-04-10,"Close"
"3004479342","WS500051A",2,2017-04-17,2017-04-21,"Close"
"3004479342","WS500051A",2,2017-04-29,2017-11-26,"Close"
"3004478795","WS500055A",7,2017-05-11,2017-05-14,"Close"
"3004478795","WS500055A",1,2018-01-31,2018-02-03,"Close"
"3004478795","WS500055A",1,2018-02-09,2018-02-12,"Close"
"3004478795","WS500055A",1,2018-02-15,2018-02-18,"Close"
"3004478795","WS500055A",3,2018-04-07,2018-04-17,"Close"
"3004478795","WS500055A",3,2018-05-05,2018-05-17,"Close"
"3004479059","WS500056A",1,2017-10-08,2017-10-11,"Close"
"3004479059","WS500056A",1,2018-01-15,2018-01-23,"Close"
"3004480369","WS500078A",2,2017-05-27,2017-07-26,"Close"
"3004480369","WS500078A",3,2017-07-31,2017-08-06,"Close"
"3004480369","WS500078A",2,2017-08-29,2017-09-07,"Close"
"3004479816","WS500082A",2,2017-07-28,2017-08-05,"Close"
"3004480078","WS500083A",3,2017-12-29,2018-01-04,"Close"
"3004480381","WS500084A",2,2017-04-21,2017-04-24,"Close"
"3004480381","WS500084A",2,2017-05-14,2017-05-24,"Close"
"3004480381","WS500084A",2,2017-06-03,2017-06-06,"Close"
"3004480381","WS500084A",4,2017-07-13,2017-07-17,"Close"
"3004480381","WS500084A",2,2017-08-05,2017-08-24,"Close"
"3004480381","WS500084A",1,2017-09-03,2018-05-01,"Close"
"3004480381","WS500084A",4,2018-05-05,NA,"Open"
"3004520967","WS500091A",1,2017-01-13,2017-01-16,"Close"
"3004520967","WS500091A",1,2017-01-22,2017-03-01,"Close"
"3004520967","WS500091A",1,2017-03-06,2017-03-18,"Close"
"3004520967","WS500091A",1,2017-03-26,2017-04-19,"Close"
"3004520967","WS500091A",1,2017-07-11,2017-07-23,"Close"
"3004520967","WS500091A",1,2017-08-23,2017-08-26,"Close"
"3004520967","WS500091A",3,2017-08-30,2017-09-03,"Close"
"3004520967","WS500091A",1,2017-11-02,2017-11-07,"Close"
"3004520967","WS500091A",1,2017-11-19,2017-11-26,"Close"
"3004520967","WS500091A",1,2017-12-05,2017-12-13,"Close"
"3004520967","WS500091A",1,2018-01-13,2018-01-16,"Close"
"3004520967","WS500091A",1,2018-01-21,2018-02-01,"Close"
"3004521232","WS500092A",1,2017-04-12,2017-04-16,"Close"
"3004521518","WS500093A",3,2018-03-21,2018-04-20,"Close"
"3004521518","WS500093A",2,2018-05-29,NA,"Open"
"3004521803","WS500094A",8,2017-01-01,2017-07-20,"Close"
"3004521803","WS500094A",1,2017-08-29,NA,"Open"
"3004521247","WS500096A",4,2017-08-23,2017-08-27,"Close"
"3004521247","WS500096A",1,2017-11-02,2018-01-20,"Close"
"3004521824","WS500098A",3,2017-01-01,2017-02-01,"Close"
"3004522137","WS500103A",1,2018-02-12,NA,"Open"
"3004521276","WS500106A",4,2017-01-01,2017-04-13,"Close"
"3004521276","WS500106A",5,2017-05-30,2017-06-03,"Close"
