"service_point_sn","meter_sn","MinCons","start_date","end_date","status"
"3000854154","DN270867",74,2018-06-30,2018-07-15,"Close"
"3000854154","DN270867",66,2018-07-22,2018-10-14,"Close"
"3000724467","DN271164",27,2018-06-06,2018-08-01,"Close"
"3000724467","DN271164",269,2018-08-06,2018-08-09,"Close"
"3000724467","DN271164",22,2018-08-23,2018-08-28,"Close"
"3000724467","DN271164",25,2018-09-12,2018-10-14,"Close"
"3000727226","VR500387",2,2018-09-30,2018-10-03,"Close"
"3003369523","VR500450",1,2018-06-17,2018-06-24,"Close"
"3003369523","VR500450",1,2018-07-30,2018-08-02,"Close"
"3000979395","VR500472",2,2018-06-03,2018-06-07,"Close"
"3000979395","VR500472",3,2018-06-16,2018-07-15,"Close"
"3000979395","VR500472",4,2018-07-30,2018-09-06,"Close"
"3001055600","VR500475",1,2018-05-12,2018-05-17,"Close"
"3001055600","VR500475",1,2018-09-10,2018-09-18,"Close"
"3001055600","VR500475",1,2018-10-18,NA,"Open"
"3000977099","VR500486",3,2018-08-24,2018-10-24,"Close"
"3003365350","VR500518",1,2018-09-20,2018-09-25,"Close"
"3001048273","VR500603",3,2018-04-11,2018-07-05,"Close"
"3001048273","VR500603",2,2018-07-12,2018-07-22,"Close"
"3001048273","VR500603",1,2018-08-01,2018-08-06,"Close"
"3001048273","VR500603",2,2018-08-09,2018-08-16,"Close"
"3001048273","VR500603",3,2018-08-21,2018-09-14,"Close"
"3001049844","VR500604",1,2018-04-02,2018-04-14,"Close"
"3001049844","VR500604",3,2018-05-10,2018-05-25,"Close"
"3001049844","VR500604",1,2018-10-01,2018-10-04,"Close"
"3001051666","VR500605",3,2018-04-01,NA,"Open"
"3001053298","VR500606",1,2018-05-11,2018-05-17,"Close"
"3001053298","VR500606",1,2018-05-28,2018-08-06,"Close"
"3003483046","VR500619",92,2018-04-22,2018-05-15,"Close"
"3003484740","VR500621",5,2018-04-23,2018-09-04,"Close"
"3003487432","VR500624",5,2018-04-01,2018-06-11,"Close"
"3003488051","VR500625",2,2018-07-04,2018-07-09,"Close"
"3003488051","VR500625",1,2018-07-20,NA,"Open"
