"","service_point_sn","meter_sn","MinCons_60","date","OpenClose","start_date","end_date"
"1","3004478638","WS500001A",3,2016-06-08,"Open",2016-06-08,1970-01-01
"2","3004478638","WS500001A",0,2016-10-06,"Close",1970-01-01,2016-10-06
"3","3004478638","WS500001A",8,2017-10-30,"Open",2017-10-30,1970-01-01
"4","3004478638","WS500001A",0,2017-11-26,"Close",1970-01-01,2017-11-26
"5","3004478658","WS500007A",18,2017-01-18,"Open",2017-01-18,1970-01-01
"6","3004478658","WS500007A",0,2017-01-22,"Close",1970-01-01,2017-01-22
"7","3004478658","WS500007A",3,2017-08-17,"Open",2017-08-17,1970-01-01
"8","3004478658","WS500007A",0,2017-12-24,"Close",1970-01-01,2017-12-24
"9","3004478658","WS500007A",6,2018-01-23,"Open",2018-01-23,1970-01-01
"10","3004478742","WS500031A",2,2016-03-27,"Open",2016-03-27,1970-01-01
"11","3004478742","WS500031A",0,2016-10-09,"Close",1970-01-01,2016-10-09
"12","3004478742","WS500031A",2,2016-10-14,"Open",2016-10-14,1970-01-01
"13","3004478742","WS500031A",0,2016-11-01,"Close",1970-01-01,2016-11-01
"14","3004478742","WS500031A",4,2017-03-16,"Open",2017-03-16,1970-01-01
"15","3004478742","WS500031A",0,2017-03-26,"Close",1970-01-01,2017-03-26
"16","3004478742","WS500031A",2,2017-04-22,"Open",2017-04-22,1970-01-01
"17","3004478742","WS500031A",0,2017-04-28,"Close",1970-01-01,2017-04-28
"18","3004478742","WS500031A",7,2017-07-29,"Open",2017-07-29,1970-01-01
"19","3004478742","WS500031A",0,2017-08-07,"Close",1970-01-01,2017-08-07
"20","3004478742","WS500031A",4,2017-08-15,"Open",2017-08-15,1970-01-01
"21","3004478742","WS500031A",0,2017-09-29,"Close",1970-01-01,2017-09-29
"22","3004478742","WS500031A",1,2017-11-03,"Open",2017-11-03,1970-01-01
"23","3004478742","WS500031A",0,2017-12-27,"Close",1970-01-01,2017-12-27
"24","3004478742","WS500031A",13,2018-01-09,"Open",2018-01-09,1970-01-01
"25","3004478742","WS500031A",0,2018-02-09,"Close",1970-01-01,2018-02-09
"26","3004478755","WS500037A",9,2016-03-17,"Open",2016-03-17,1970-01-01
"27","3004478755","WS500037A",0,2016-04-30,"Close",1970-01-01,2016-04-30
"28","3004478755","WS500037A",1,2016-05-11,"Open",2016-05-11,1970-01-01
"29","3004478755","WS500037A",0,2016-05-20,"Close",1970-01-01,2016-05-20
"30","3004478755","WS500037A",5,2016-08-10,"Open",2016-08-10,1970-01-01
"31","3004478755","WS500037A",0,2016-10-06,"Close",1970-01-01,2016-10-06
"32","3004478755","WS500037A",5,2016-10-23,"Open",2016-10-23,1970-01-01
"33","3004478755","WS500037A",0,2016-11-14,"Close",1970-01-01,2016-11-14
"34","3004478755","WS500037A",3,2016-11-24,"Open",2016-11-24,1970-01-01
"35","3004478755","WS500037A",0,2016-11-30,"Close",1970-01-01,2016-11-30
"36","3004478755","WS500037A",3,2017-01-30,"Open",2017-01-30,1970-01-01
"37","3004478755","WS500037A",0,2017-02-03,"Close",1970-01-01,2017-02-03
"38","3004478755","WS500037A",6,2017-04-13,"Open",2017-04-13,1970-01-01
"39","3004478755","WS500037A",0,2017-04-21,"Close",1970-01-01,2017-04-21
"40","3004478755","WS500037A",1,2017-05-05,"Open",2017-05-05,1970-01-01
"41","3004478755","WS500037A",0,2017-05-24,"Close",1970-01-01,2017-05-24
"42","3004478784","WS500049A",142,2016-03-16,"Open",2016-03-16,1970-01-01
"43","3004478784","WS500049A",0,2016-04-25,"Close",1970-01-01,2016-04-25
"44","3004478784","WS500049A",1,2017-04-18,"Open",2017-04-18,1970-01-01
"45","3004478784","WS500049A",0,2017-04-22,"Close",1970-01-01,2017-04-22
"46","3004478784","WS500049A",1,2017-07-03,"Open",2017-07-03,1970-01-01
"47","3004478784","WS500049A",0,2017-08-01,"Close",1970-01-01,2017-08-01
"48","3004478784","WS500049A",1,2017-08-08,"Open",2017-08-08,1970-01-01
"49","3004478784","WS500049A",0,2017-08-17,"Close",1970-01-01,2017-08-17
"50","3004478784","WS500049A",1,2017-09-02,"Open",2017-09-02,1970-01-01
"51","3004478784","WS500049A",0,2017-09-09,"Close",1970-01-01,2017-09-09
"52","3004478784","WS500049A",2,2017-09-17,"Open",2017-09-17,1970-01-01
"53","3004478784","WS500049A",0,2017-09-23,"Close",1970-01-01,2017-09-23
"54","3004478784","WS500049A",1,2017-10-15,"Open",2017-10-15,1970-01-01
"55","3004478784","WS500049A",0,2017-10-30,"Close",1970-01-01,2017-10-30
"56","3004478784","WS500049A",1,2017-11-11,"Open",2017-11-11,1970-01-01
"57","3004478784","WS500049A",0,2017-12-10,"Close",1970-01-01,2017-12-10
"58","3004478795","WS500055A",7,2017-05-13,"Open",2017-05-13,1970-01-01
"59","3004478795","WS500055A",0,2017-05-16,"Close",1970-01-01,2017-05-16
"60","3004478795","WS500055A",1,2018-02-02,"Open",2018-02-02,1970-01-01
"61","3004478795","WS500055A",0,2018-02-05,"Close",1970-01-01,2018-02-05
"62","3004478795","WS500055A",1,2018-02-11,"Open",2018-02-11,1970-01-01
"63","3004478795","WS500055A",0,2018-02-14,"Close",1970-01-01,2018-02-14
"64","3004478795","WS500055A",1,2018-02-17,"Open",2018-02-17,1970-01-01
"65","3004478795","WS500055A",0,2018-02-20,"Close",1970-01-01,2018-02-20
"66","3004478810","WS500061A",9,2016-03-17,"Open",2016-03-17,1970-01-01
"67","3004478810","WS500061A",0,2016-05-29,"Close",1970-01-01,2016-05-29
"68","3004478810","WS500061A",3,2016-06-02,"Open",2016-06-02,1970-01-01
"69","3004478810","WS500061A",0,2016-07-05,"Close",1970-01-01,2016-07-05
"70","3004478810","WS500061A",1,2016-07-08,"Open",2016-07-08,1970-01-01
"71","3004478810","WS500061A",0,2016-12-10,"Close",1970-01-01,2016-12-10
"72","3004478872","WS500085A",1,2016-10-12,"Open",2016-10-12,1970-01-01
"73","3004478872","WS500085A",0,2016-10-15,"Close",1970-01-01,2016-10-15
"74","3004478892","WS500002A",40,2016-04-14,"Open",2016-04-14,1970-01-01
"75","3004478892","WS500002A",0,2016-05-29,"Close",1970-01-01,2016-05-29
"76","3004478892","WS500002A",1,2017-08-09,"Open",2017-08-09,1970-01-01
"77","3004478892","WS500002A",0,2017-09-30,"Close",1970-01-01,2017-09-30
"78","3004478970","WS500026A",2,2016-03-30,"Open",2016-03-30,1970-01-01
"79","3004478970","WS500026A",0,2016-04-11,"Close",1970-01-01,2016-04-11
"80","3004478970","WS500026A",4,2016-05-15,"Open",2016-05-15,1970-01-01
"81","3004478970","WS500026A",0,2016-05-22,"Close",1970-01-01,2016-05-22
"82","3004478970","WS500026A",1,2017-05-12,"Open",2017-05-12,1970-01-01
"83","3004478970","WS500026A",0,2017-05-23,"Close",1970-01-01,2017-05-23
"84","3004478970","WS500026A",1,2017-06-01,"Open",2017-06-01,1970-01-01
"85","3004478970","WS500026A",0,2017-06-19,"Close",1970-01-01,2017-06-19
"86","3004478988","WS500032A",2,2017-03-05,"Open",2017-03-05,1970-01-01
"87","3004478988","WS500032A",0,2017-03-11,"Close",1970-01-01,2017-03-11
"88","3004479020","WS500044A",1,2016-12-28,"Open",2016-12-28,1970-01-01
"89","3004479020","WS500044A",0,2017-06-14,"Close",1970-01-01,2017-06-14
"90","3004479059","WS500056A",1,2017-10-10,"Open",2017-10-10,1970-01-01
"91","3004479059","WS500056A",0,2017-10-15,"Close",1970-01-01,2017-10-15
"92","3004479059","WS500056A",1,2018-01-17,"Open",2018-01-17,1970-01-01
"93","3004479059","WS500056A",0,2018-01-27,"Close",1970-01-01,2018-01-27
"94","3004479091","WS500068A",28,2016-03-19,"Open",2016-03-19,1970-01-01
"95","3004479091","WS500068A",0,2016-04-23,"Close",1970-01-01,2016-04-23
"96","3004479266","WS500027A",52,2016-03-26,"Open",2016-03-26,1970-01-01
"97","3004479266","WS500027A",0,2016-06-07,"Close",1970-01-01,2016-06-07
"98","3004479278","WS500033A",2,2017-05-04,"Open",2017-05-04,1970-01-01
"99","3004479278","WS500033A",0,2017-06-05,"Close",1970-01-01,2017-06-05
"100","3004479303","WS500039A",4,2017-10-23,"Open",2017-10-23,1970-01-01
"101","3004479303","WS500039A",0,2017-10-27,"Close",1970-01-01,2017-10-27
"102","3004479342","WS500051A",2,2016-03-31,"Open",2016-03-31,1970-01-01
"103","3004479342","WS500051A",0,2016-04-07,"Close",1970-01-01,2016-04-07
"104","3004479342","WS500051A",2,2016-10-04,"Open",2016-10-04,1970-01-01
"105","3004479342","WS500051A",0,2017-03-01,"Close",1970-01-01,2017-03-01
"106","3004479342","WS500051A",1,2017-03-26,"Open",2017-03-26,1970-01-01
"107","3004479342","WS500051A",0,2017-03-29,"Close",1970-01-01,2017-03-29
"108","3004479342","WS500051A",1,2017-04-09,"Open",2017-04-09,1970-01-01
"109","3004479342","WS500051A",0,2017-04-12,"Close",1970-01-01,2017-04-12
"110","3004479342","WS500051A",2,2017-05-09,"Open",2017-05-09,1970-01-01
"111","3004479342","WS500051A",0,2017-11-28,"Close",1970-01-01,2017-11-28
"112","3004479481","WS500081A",52,2016-03-18,"Open",2016-03-18,1970-01-01
"113","3004479481","WS500081A",0,2016-05-30,"Close",1970-01-01,2016-05-30
"114","3004479584","WS500016A",1,2017-05-03,"Open",2017-05-03,1970-01-01
"115","3004479584","WS500016A",0,2018-01-07,"Close",1970-01-01,2018-01-07
"116","3004479606","WS500022A",1,2016-12-11,"Open",2016-12-11,1970-01-01
"117","3004479606","WS500022A",0,2016-12-19,"Close",1970-01-01,2016-12-19
"118","3004479661","WS500034A",36,2016-03-17,"Open",2016-03-17,1970-01-01
"119","3004479661","WS500034A",0,2016-05-04,"Close",1970-01-01,2016-05-04
"120","3004479661","WS500034A",1,2017-01-01,"Open",2017-01-01,1970-01-01
"121","3004479661","WS500034A",0,2017-01-05,"Close",1970-01-01,2017-01-05
"122","3004479661","WS500034A",2,2017-01-18,"Open",2017-01-18,1970-01-01
"123","3004479661","WS500034A",0,2017-03-01,"Close",1970-01-01,2017-03-01
"124","3004479661","WS500034A",1,2017-06-24,"Open",2017-06-24,1970-01-01
"125","3004479661","WS500034A",0,2017-07-14,"Close",1970-01-01,2017-07-14
"126","3004479661","WS500034A",1,2017-12-15,"Open",2017-12-15,1970-01-01
"127","3004479661","WS500034A",0,2018-03-05,"Close",1970-01-01,2018-03-05
"128","3004479690","WS500040A",7,2016-12-14,"Open",2016-12-14,1970-01-01
"129","3004479690","WS500040A",0,2016-12-19,"Close",1970-01-01,2016-12-19
"130","3004479690","WS500040A",2,2017-02-12,"Open",2017-02-12,1970-01-01
"131","3004479690","WS500040A",0,2017-02-16,"Close",1970-01-01,2017-02-16
"132","3004479721","WS500046A",6,2016-03-21,"Open",2016-03-21,1970-01-01
"133","3004479721","WS500046A",0,2016-03-28,"Close",1970-01-01,2016-03-28
"134","3004479721","WS500046A",1,2016-04-01,"Open",2016-04-01,1970-01-01
"135","3004479721","WS500046A",0,2017-02-19,"Close",1970-01-01,2017-02-19
"136","3004479870","WS500011A",4,2016-11-23,"Open",2016-11-23,1970-01-01
"137","3004479870","WS500011A",0,2016-11-27,"Close",1970-01-01,2016-11-27
"138","3004479870","WS500011A",1,2016-12-23,"Open",2016-12-23,1970-01-01
"139","3004479870","WS500011A",0,2017-01-05,"Close",1970-01-01,2017-01-05
"140","3004479870","WS500011A",2,2017-03-04,"Open",2017-03-04,1970-01-01
"141","3004479870","WS500011A",0,2017-04-22,"Close",1970-01-01,2017-04-22
