"","service_point_sn","meter_sn","MinCons_60","date","OpenClose"
"1","3004478638","WS500001A",3,2016-06-08,"Open"
"2","3004478638","WS500001A",0,2016-10-06,"Close"
"3","3004478638","WS500001A",8,2017-10-30,"Open"
"4","3004478638","WS500001A",0,2017-11-26,"Close"
"5","3004478658","WS500007A",18,2017-01-18,"Open"
"6","3004478658","WS500007A",0,2017-01-22,"Close"
"7","3004478658","WS500007A",3,2017-08-17,"Open"
"8","3004478658","WS500007A",0,2017-12-24,"Close"
"9","3004478658","WS500007A",6,2018-01-23,"Open"
"10","3004478742","WS500031A",2,2016-03-27,"Open"
"11","3004478742","WS500031A",0,2016-10-09,"Close"
"12","3004478742","WS500031A",2,2016-10-14,"Open"
"13","3004478742","WS500031A",0,2016-11-01,"Close"
"14","3004478742","WS500031A",4,2017-03-16,"Open"
"15","3004478742","WS500031A",0,2017-03-26,"Close"
"16","3004478742","WS500031A",2,2017-04-22,"Open"
"17","3004478742","WS500031A",0,2017-04-28,"Close"
"18","3004478742","WS500031A",7,2017-07-29,"Open"
"19","3004478742","WS500031A",0,2017-08-07,"Close"
"20","3004478742","WS500031A",4,2017-08-15,"Open"
"21","3004478742","WS500031A",0,2017-09-29,"Close"
"22","3004478742","WS500031A",1,2017-11-03,"Open"
"23","3004478742","WS500031A",0,2017-12-27,"Close"
"24","3004478742","WS500031A",13,2018-01-09,"Open"
"25","3004478742","WS500031A",0,2018-02-09,"Close"
"26","3004478755","WS500037A",9,2016-03-17,"Open"
"27","3004478755","WS500037A",0,2016-04-30,"Close"
"28","3004478755","WS500037A",1,2016-05-11,"Open"
"29","3004478755","WS500037A",0,2016-05-20,"Close"
"30","3004478755","WS500037A",5,2016-08-10,"Open"
"31","3004478755","WS500037A",0,2016-10-06,"Close"
"32","3004478755","WS500037A",5,2016-10-23,"Open"
"33","3004478755","WS500037A",0,2016-11-14,"Close"
"34","3004478755","WS500037A",3,2016-11-24,"Open"
"35","3004478755","WS500037A",0,2016-11-30,"Close"
"36","3004478755","WS500037A",3,2017-01-30,"Open"
"37","3004478755","WS500037A",0,2017-02-03,"Close"
"38","3004478755","WS500037A",6,2017-04-13,"Open"
"39","3004478755","WS500037A",0,2017-04-21,"Close"
"40","3004478755","WS500037A",1,2017-05-05,"Open"
"41","3004478755","WS500037A",0,2017-05-24,"Close"
"42","3004478784","WS500049A",142,2016-03-16,"Open"
"43","3004478784","WS500049A",0,2016-04-25,"Close"
"44","3004478784","WS500049A",1,2017-04-18,"Open"
"45","3004478784","WS500049A",0,2017-04-22,"Close"
"46","3004478784","WS500049A",1,2017-07-03,"Open"
