"","service_point_sn","id.x","min_5_flow","date","MinCons_60"
"1","3004479927",38,0,2016-08-03,1
"2","3004479927",38,0,2016-09-15,2
"3","3004479927",38,0,2016-10-27,1
"4","3004479927",38,0,2016-10-31,1
"5","3004479927",38,0,2016-11-01,1
"6","3004479927",38,0,2016-11-03,1
"7","3004479927",38,0,2016-11-04,1
"8","3004479927",38,0,2016-11-05,1
"9","3004479927",38,0,2016-11-06,1
"10","3004479927",38,0,2016-11-15,1
"11","3004479927",38,0,2016-11-17,1
"12","3004479927",38,0,2016-11-25,1
"13","3004479927",38,0,2016-11-27,1
"14","3004479927",38,0,2016-12-02,1
"15","3004479927",38,0,2016-12-04,1
"16","3004479927",38,0,2016-12-08,1
"17","3004479927",38,0,2016-12-09,1
"18","3004479927",38,0,2016-12-10,1
"19","3004479927",38,0,2016-12-11,1
"20","3004479927",38,0,2016-12-30,2
"21","3004479927",38,2,2016-12-31,3
"22","3004479927",38,2,2017-01-01,4
"23","3004479927",38,4,2017-01-02,4
"24","3004479927",38,4,2017-01-03,4
"25","3004479927",38,1,2017-01-04,1
"26","3004479927",38,0,2017-02-07,1
"27","3004479927",38,1,2017-02-08,2
"28","3004479927",38,1,2017-02-09,2
"29","3004479927",38,1,2017-02-10,2
"30","3004479927",38,1,2017-02-12,3
"31","3004479927",38,0,2017-02-17,2
"32","3004479927",38,1,2017-02-18,2
"33","3004479927",38,2,2017-02-20,2
"34","3004479927",38,2,2017-02-21,1
"35","3004479927",38,0,2017-02-27,2
"36","3004479927",38,2,2017-03-04,2
"37","3004479927",38,0,2017-03-03,2
"38","3004479927",38,2,2017-03-05,3
"39","3004479927",38,1,2017-03-06,3
"40","3004479927",38,2,2017-03-07,3
"41","3004479927",38,2,2017-03-08,3
"42","3004479927",38,2,2017-03-10,3
"43","3004479927",38,0,2017-03-13,3
"44","3004479927",38,0,2017-03-20,3
"45","3004479927",38,0,2017-03-25,3
"46","3004479927",38,1,2017-03-26,2
"47","3004479927",38,1,2017-03-27,1
"48","3004479927",38,1,2017-04-03,2
"49","3004479927",38,1,2017-04-04,2
"50","3004479927",38,1,2017-04-05,2
"51","3004479927",38,0,2017-04-07,1
"52","3004479927",38,0,2017-04-08,3
"53","3004479927",38,2,2017-04-09,1
"54","3004479927",38,0,2017-05-30,2
"55","3004479927",38,0,2017-06-18,1
"56","3004479927",38,0,2017-06-19,1
"57","3004479927",38,0,2017-06-20,1
"58","3004479927",38,0,2017-06-23,2
"59","3004479927",38,1,2017-06-28,2
"60","3004479927",38,0,2017-07-05,1
"61","3004480222",39,0,2016-11-17,1
"62","3004478755",40,7,2016-03-11,8
"63","3004478755",40,8,2016-03-13,8
"64","3004478755",40,8,2016-03-15,8
"65","3004478755",40,8,2016-03-16,9
"66","3004478755",40,8,2016-03-17,9
"67","3004478755",40,8,2016-03-18,9
"68","3004478755",40,8,2016-03-19,9
"69","3004478755",40,8,2016-03-20,9
"70","3004478755",40,8,2016-03-21,9
"71","3004478755",40,8,2016-03-22,9
"72","3004478755",40,8,2016-03-23,8
"73","3004478755",40,8,2016-03-24,9
"74","3004478755",40,8,2016-03-25,8
"75","3004478755",40,8,2016-03-26,9
"76","3004478755",40,8,2016-03-27,9
"77","3004478755",40,8,2016-03-28,9
"78","3004478755",40,8,2016-03-29,9
"79","3004478755",40,8,2016-03-30,9
"80","3004478755",40,8,2016-03-31,9
"81","3004478755",40,8,2016-04-01,9
"82","3004478755",40,8,2016-04-02,9
"83","3004478755",40,10,2016-04-03,9
"84","3004478755",40,10,2016-04-05,10
"85","3004478755",40,10,2016-04-07,9
"86","3004478755",40,10,2016-04-08,9
"87","3004478755",40,10,2016-04-09,10
"88","3004478755",40,10,2016-04-10,10
"89","3004478755",40,10,2016-04-11,10
"90","3004478755",40,10,2016-04-12,10
"91","3004478755",40,10,2016-04-14,10
"92","3004478755",40,10,2016-04-15,9
"93","3004478755",40,8,2016-04-16,10
"94","3004478755",40,10,2016-04-17,10
"95","3004478755",40,10,2016-04-18,10
"96","3004478755",40,10,2016-04-18,10
"97","3004478755",40,10,2016-04-19,10
"98","3004478755",40,10,2016-04-20,10
"99","3004478755",40,10,2016-04-21,10
"100","3004478755",40,10,2016-04-22,10
"101","3004478755",40,10,2016-04-24,10
"102","3004478755",40,10,2016-04-25,10
"103","3004478755",40,0,2016-04-26,4
"104","3004478755",40,0,2016-04-27,2
"105","3004478755",40,0,2016-05-09,6
"106","3004478755",40,11,2016-05-10,10
"107","3004478755",40,0,2016-05-11,1
"108","3004478755",40,0,2016-05-23,11
"109","3004478755",40,0,2016-05-28,1
"110","3004478755",40,6,2016-07-10,7
"111","3004478755",40,5,2016-07-23,6
"112","3004478755",40,6,2016-07-29,6
"113","3004478755",40,6,2016-07-30,7
"114","3004478755",40,5,2016-08-08,5
"115","3004478755",40,5,2016-08-09,5
"116","3004478755",40,5,2016-08-10,5
"117","3004478755",40,5,2016-08-11,5
"118","3004478755",40,5,2016-08-12,5
"119","3004478755",40,5,2016-08-13,5
"120","3004478755",40,5,2016-08-15,5
"121","3004478755",40,5,2016-08-16,5
"122","3004478755",40,5,2016-08-17,5
"123","3004478755",40,5,2016-08-18,5
"124","3004478755",40,5,2016-08-19,5
"125","3004478755",40,5,2016-08-20,5
"126","3004478755",40,5,2016-08-21,5
"127","3004478755",40,5,2016-08-24,5
"128","3004478755",40,5,2016-08-25,5
"129","3004478755",40,5,2016-08-26,5
"130","3004478755",40,5,2016-08-29,5
"131","3004478755",40,5,2016-08-30,5
"132","3004478755",40,5,2016-09-02,5
"133","3004478755",40,5,2016-09-03,5
"134","3004478755",40,5,2016-09-04,5
"135","3004478755",40,5,2016-09-05,5
"136","3004478755",40,5,2016-09-06,5
"137","3004478755",40,5,2016-09-09,5
"138","3004478755",40,5,2016-09-08,5
"139","3004478755",40,2,2016-09-13,3
"140","3004478755",40,2,2016-09-14,3
"141","3004478755",40,2,2016-09-15,3
"142","3004478755",40,2,2016-09-16,3
"143","3004478755",40,2,2016-09-17,3
"144","3004478755",40,2,2016-09-18,3
"145","3004478755",40,0,2016-09-28,2
"146","3004478755",40,1,2016-09-27,2
"147","3004478755",40,2,2016-09-21,2
"148","3004478755",40,0,2016-10-01,1
"149","3004478755",40,0,2016-10-02,1
"150","3004478755",40,5,2016-10-17,7
"151","3004478755",40,5,2016-10-21,4
"152","3004478755",40,5,2016-10-22,4
"153","3004478755",40,5,2016-10-23,5
"154","3004478755",40,5,2016-10-24,5
