"Date","Block","IndirectMasterMeters","IndirectSubMeters","IndirectNetConsumption","IndirectNetConsumptionRate","DirectMasterMeters","DirectSubMeters","DirectNetConsumption","DirectNetConsumptionRate","TotalMasterMeters","TotalNetConsumption","TotalNetConsumptionRate"
"2017-10-31","PG_B1",1351134,1268287,82847,6.1,379108,367617,11491,3,1730242,94338,5.5
"2017-10-31","PG_B2",1328667,1285151,43516,3.3,308434,299133,9301,3,1637101,52817,3.2
"2017-10-31","PG_B3",1043942,1023608,20334,1.9,303629,241679,61950,20.4,1347571,82284,6.1
"2017-10-31","PG_B4",840847,810698,30149,3.6,265319,261752,3567,1.3,1106166,33716,3
"2017-10-31","PG_B5",1140769,1130731,10038,0.9,429396,419495,9901,2.3,1570165,19939,1.3
"2017-09-30","PG_B1",1237512,1220685,16827,1.4,391757,369495,22262,5.7,1629269,39089,2.4
"2017-09-30","PG_B2",1229545,1199441,30104,2.4,302490,295235,7255,2.4,1532035,37359,2.4
"2017-09-30","PG_B3",1034849,1022215,12634,1.2,269454,252069,17385,6.5,1304303,30019,2.3
"2017-09-30","PG_B4",814745,783852,30893,3.8,258284,257337,947,0.4,1073029,31840,3
"2017-09-30","PG_B5",1128873,1119177,9696,0.9,408495,400736,7759,1.9,1537368,17455,1.1
"2017-08-31","PG_B1",1290805,1253911,36894,2.9,425093,413901,11192,2.6,1715898,48086,2.8
"2017-08-31","PG_B2",1285348,1226980,58368,4.5,302650,294866,7784,2.6,1587998,66152,4.2
"2017-08-31","PG_B3",1095560,1079378,16182,1.5,295792,276990,18802,6.4,1391352,34984,2.5
"2017-08-31","PG_B4",841645,813436,28209,3.4,265648,261029,4619,1.7,1107293,32828,3
"2017-08-31","PG_B5",1161712,1150494,11218,1,427794,414915,12879,3,1589506,24097,1.5
"2017-07-31","PG_B1",1277797,1263554,14243,1.1,431803,415551,16252,3.8,1709600,30495,1.8
"2017-07-31","PG_B2",1308442,1270612,37830,2.9,314179,305499,8680,2.8,1622621,46510,2.9
"2017-07-31","PG_B3",1081748,1063990,17758,1.6,317472,286224,31248,9.8,1399220,49006,3.5
"2017-07-31","PG_B4",893647,850926,42721,4.8,267501,263767,3734,1.4,1161148,46455,4
"2017-07-31","PG_B5",1203842,1205593,-1751,-0.1,438696,428146,10550,2.4,1642538,8799,0.5
"2017-06-30","PG_B1",1288859,1269764,19095,1.5,415736,402626,13110,3.2,1704595,32205,1.9
"2017-06-30","PG_B2",1236741,1225896,10845,0.9,307577,296607,10970,3.6,1544318,21815,1.4
"2017-06-30","PG_B3",1034338,1008584,25754,2.5,322958,296382,26576,8.2,1357296,52330,3.9
"2017-06-30","PG_B4",856841,815487,41354,4.8,252770,249125,3645,1.4,1109611,44999,4.1
"2017-06-30","PG_B5",1107170,1106823,347,0,440799,427926,12873,2.9,1547969,13220,0.9
"2017-05-31","PG_B1",1364119,1338754,25365,1.9,443172,432140,11032,2.5,1807291,36397,2
"2017-05-31","PG_B2",1297085,1267301,29784,2.3,335207,325311,9896,3,1632292,39680,2.4
"2017-05-31","PG_B3",1068117,1066746,1371,0.1,312881,292449,20432,6.5,1380998,21803,1.6
"2017-05-31","PG_B4",897545,828002,69543,7.7,258217,254687,3530,1.4,1155762,73073,6.3
"2017-05-31","PG_B5",1236580,1188916,47664,3.9,466469,451304,15165,3.3,1703049,62829,3.7
"2017-04-30","PG_B1",1344066,1313192,30874,2.3,496773,440667,56106,11.3,1840839,86980,4.7
"2017-04-30","PG_B2",1276391,1250588,25803,2,315812,306522,9290,2.9,1592203,35093,2.2
"2017-04-30","PG_B3",1031460,1026757,4703,0.5,317304,293293,24011,7.6,1348764,28714,2.1
"2017-04-30","PG_B4",861740,806215,55525,6.4,241509,237854,3655,1.5,1103249,59180,5.4
"2017-04-30","PG_B5",1189010,1169794,19216,1.6,430423,421178,9245,2.1,1619433,28461,1.8
"2017-03-31","PG_B1",1368040,1336879,31161,2.3,437592,427583,10009,2.3,1805632,41170,2.3
"2017-03-31","PG_B2",1303584,1273397,30187,2.3,346910,322432,24478,7.1,1650494,54665,3.3
"2017-03-31","PG_B3",1035296,1041913,-6617,-0.6,331568,304938,26630,8,1366864,20013,1.5
"2017-03-31","PG_B4",852242,794425,57817,6.8,263962,260241,3721,1.4,1116204,61538,5.5
"2017-03-31","PG_B5",1237982,1221659,16323,1.3,480086,472027,8059,1.7,1718068,24382,1.4
"2017-02-28","PG_B1",1268829,1229193,39636,3.1,392441,382595,9846,2.5,1661270,49482,3
"2017-02-28","PG_B2",1221405,1131105,90300,7.4,332544,323594,8950,2.7,1553949,99250,6.4
"2017-02-28","PG_B3",970333,966208,4125,0.4,280281,262790,17491,6.2,1250614,21616,1.7
"2017-02-28","PG_B4",827219,740071,87148,10.5,244775,240932,3843,1.6,1071994,90991,8.5
"2017-02-28","PG_B5",1149608,1136129,13479,1.2,423594,415621,7973,1.9,1573202,21452,1.4
"2017-01-31","PG_B1",1395283,1367750,27533,2,530919,438720,92199,17.4,1926202,119732,6.2
"2017-01-31","PG_B2",1327988,1253714,74274,5.6,369906,359380,10526,2.8,1697894,84800,5
"2017-01-31","PG_B3",1112564,1112156,408,0,312224,292961,19263,6.2,1424788,19671,1.4
"2017-01-31","PG_B4",947635,882018,65617,6.9,292419,286094,6325,2.2,1240054,71942,5.8
"2017-01-31","PG_B5",1332175,1313693,18482,1.4,464422,456430,7992,1.7,1796597,26474,1.5
"2016-12-31","PG_B1",1327410,1295730,31680,2.4,429540,412147,17393,4,1756950,49073,2.8
"2016-12-31","PG_B2",1231009,1180020,50989,4.1,351504,340876,10628,3,1582513,61617,3.9
"2016-12-31","PG_B3",1045608,1044908,700,0.1,287264,268845,18419,6.4,1332872,19119,1.4
"2016-12-31","PG_B4",873119,851487,21632,2.5,267863,261597,6266,2.3,1140982,27898,2.4
"2016-12-31","PG_B5",1212009,1201725,10284,0.8,440090,432499,7591,1.7,1652099,17875,1.1
"2016-11-30","PG_B1",1322134,1288103,34031,2.6,456401,409655,46746,10.2,1778535,80777,4.5
"2016-11-30","PG_B2",1283252,1224893,58359,4.5,343113,331105,12008,3.5,1626365,70367,4.3
"2016-11-30","PG_B3",1024559,997604,26955,2.6,284936,265948,18988,6.7,1309495,45943,3.5
"2016-11-30","PG_B4",863408,821884,41524,4.8,266018,256475,9543,3.6,1129426,51067,4.5
"2016-11-30","PG_B5",1263018,1222039,40979,3.2,430589,418685,11904,2.8,1693607,52883,3.1
"2016-10-31","PG_B1",1428435,1374237,54198,3.8,467295,427626,39669,8.5,1895730,93867,5
"2016-10-31","PG_B2",1347867,1261873,85994,6.4,348806,335975,12831,3.7,1696673,98825,5.8
"2016-10-31","PG_B3",1047051,1031394,15657,1.5,287321,266845,20476,7.1,1334372,36133,2.7
"2016-10-31","PG_B4",882021,847565,34456,3.9,275464,264870,10594,3.8,1157485,45050,3.9
"2016-10-31","PG_B5",1344702,1309404,35298,2.6,460787,448755,12032,2.6,1805489,47330,2.6
