"site","block","service_point_sn","pub_cust_id","meter_sn","meter_type","supply","floor","month.end","MonthlyConsumption","NetConsumption"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2017-05-31",18870,5005
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2017-06-30",38391,13110
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2017-07-31",41448,16252
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2017-08-31",43194,11192
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2017-09-30",41873,22262
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2017-10-31",41579,11491
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","#03","2017-05-31",21308,5005
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","#03","2017-06-30",30686,13110
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","#03","2017-07-31",27860,16252
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","#03","2017-08-31",29975,11192
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","#03","2017-09-30",33905,22262
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","#03","2017-10-31",31470,11491
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2017-05-31",11620,5005
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2017-06-30",24850,13110
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2017-07-31",27129,16252
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2017-08-31",26989,11192
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2017-09-30",22593,22262
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2017-10-31",25225,11491
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2017-05-31",15465,14364
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2017-06-30",26328,19095
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2017-07-31",25221,14243
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2017-08-31",26064,36894
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2017-09-30",25225,16827
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2017-10-31",24926,82847
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2017-05-31",14130,14364
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2017-06-30",24237,19095
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2017-07-31",24150,14243
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2017-08-31",25395,36894
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2017-09-30",23772,16827
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","#06","2017-10-31",26156,82847
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2017-05-31",11144,14364
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2017-06-30",17828,19095
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2017-07-31",25071,14243
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2017-08-31",26662,36894
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2017-09-30",29980,16827
"Punggol","PG_B1","3004478742","008901630601","WS500031A","SUB","Indirect","#07","2017-10-31",25665,82847
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2017-05-31",9836,14364
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2017-06-30",17641,19095
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2017-07-31",16107,14243
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2017-08-31",13746,36894
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2017-09-30",11838,16827
"Punggol","PG_B1","3004478755","008935782048","WS500037A","SUB","Indirect","#08","2017-10-31",12561,82847
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2017-05-31",4970,14364
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2017-06-30",14192,19095
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2017-07-31",14136,14243
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2017-08-31",12978,36894
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2017-09-30",12385,16827
"Punggol","PG_B1","3004478769","008917905930","WS500043A","SUB","Indirect","#09","2017-10-31",13355,82847
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2017-05-31",12549,14364
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2017-06-30",24673,19095
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2017-07-31",26705,14243
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2017-08-31",25714,36894
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2017-09-30",22559,16827
"Punggol","PG_B1","3004478784","008901656853","WS500049A","SUB","Indirect","#10","2017-10-31",23888,82847
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2017-05-31",11012,14364
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2017-06-30",10548,19095
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2017-07-31",20258,14243
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2017-08-31",19497,36894
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2017-09-30",18187,16827
"Punggol","PG_B1","3004478795","008930598985","WS500055A","SUB","Indirect","#11","2017-10-31",18871,82847
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","#12","2017-05-31",6542,14364
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","#12","2017-06-30",11637,19095
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","#12","2017-07-31",11808,14243
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","#12","2017-08-31",10504,36894
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","#12","2017-09-30",9558,16827
"Punggol","PG_B1","3004478810","008901786965","WS500061A","SUB","Indirect","#12","2017-10-31",11085,82847
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2017-05-31",6043,14364
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2017-06-30",13162,19095
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2017-07-31",10990,14243
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2017-08-31",11026,36894
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2017-09-30",9661,16827
"Punggol","PG_B1","3004478821","008934349534","WS500067A","SUB","Indirect","#13","2017-10-31",12217,82847
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2017-05-31",6204,14364
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2017-06-30",7215,19095
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2017-07-31",7629,14243
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2017-08-31",8097,36894
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2017-09-30",8350,16827
"Punggol","PG_B1","3004478833","008925919444","WS500073A","SUB","Indirect","#14","2017-10-31",10918,82847
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2017-05-31",13790,14364
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2017-06-30",28694,19095
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2017-07-31",26366,14243
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2017-08-31",27582,36894
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2017-09-30",25767,16827
"Punggol","PG_B1","3004478847","008919034143","WS500079A","SUB","Indirect","#15","2017-10-31",20026,82847
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","#16","2017-05-31",6573,14364
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","#16","2017-06-30",8645,19095
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","#16","2017-07-31",3659,14243
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","#16","2017-08-31",96,36894
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","#16","2017-09-30",22,16827
"Punggol","PG_B1","3004478872","008934195416","WS500085A","SUB","Indirect","#16","2017-10-31",0,82847
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","#02","2017-05-31",10522,5005
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","#02","2017-06-30",15051,13110
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","#02","2017-07-31",15969,16252
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","#02","2017-08-31",27264,11192
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","#02","2017-09-30",24627,22262
"Punggol","PG_B1","3004478892","008920137927","WS500002A","SUB","Direct","#02","2017-10-31",12499,11491
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2017-05-31",14310,5005
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2017-06-30",23167,13110
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2017-07-31",24023,16252
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2017-08-31",20704,11192
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2017-09-30",1303,22262
"Punggol","PG_B1","3004478908","008935907819","WS500008A","SUB","Direct","#03","2017-10-31",0,11491
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","#04","2017-05-31",9473,5005
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","#04","2017-06-30",15801,13110
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","#04","2017-07-31",20310,16252
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","#04","2017-08-31",22501,11192
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","#04","2017-09-30",22552,22262
"Punggol","PG_B1","3004478921","008932707022","WS500014A","SUB","Direct","#04","2017-10-31",22973,11491
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2017-05-31",11349,14364
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2017-06-30",22750,19095
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2017-07-31",22806,14243
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2017-08-31",20202,36894
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2017-09-30",18985,16827
"Punggol","PG_B1","3004478961","008931781309","WS500020A","SUB","Indirect","#05","2017-10-31",19020,82847
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2017-05-31",13470,14364
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2017-06-30",21646,19095
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2017-07-31",30733,14243
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2017-08-31",27595,36894
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2017-09-30",31124,16827
"Punggol","PG_B1","3004478970","008902657116","WS500026A","SUB","Indirect","#06","2017-10-31",30321,82847
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2017-05-31",2987,14364
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2017-06-30",4980,19095
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2017-07-31",4781,14243
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2017-08-31",4582,36894
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2017-09-30",4627,16827
"Punggol","PG_B1","3004478988","008902466534","WS500032A","SUB","Indirect","#07","2017-10-31",5157,82847
