"site","block","service_point_sn","pub_cust_id","meter_sn","meter_type","supply","floor","month.end","MonthlyConsumption","NetConsumption"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2017-08-31",29768,"8090"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2017-09-30",41873,"22262"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2017-10-31",41579,"11491"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2017-11-30",45643,"11062"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2017-12-31",35481,"47447"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2018-01-31",37004,"7690"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2018-02-28",33020,"8221"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2018-03-31",38600,"9676"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2018-04-30",36866,"4902"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2018-05-31",36497,"12224"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2018-06-30",41070,"10636"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","#02","2018-07-31",42196,"25130"
"Punggol","PG_B1","3004478658","008937856683","WS500007A","SUB","Direct","#03","2017-08-31",21694,"8090"
"Punggol","PG_B1","3004478658","008937856683","WS500007A","SUB","Direct","#03","2017-09-30",33905,"22262"
"Punggol","PG_B1","3004478658","008937856683","WS500007A","SUB","Direct","#03","2017-10-31",31470,"11491"
"Punggol","PG_B1","3004478658","008937856683","WS500007A","SUB","Direct","#03","2017-11-30",27758,"11062"
"Punggol","PG_B1","3004478658","008937856683","WS500007A","SUB","Direct","#03","2017-12-31",12843,"47447"
"Punggol","PG_B1","3004478658","008937856683","WS500007A","SUB","Direct","#03","2018-01-31",13874,"7690"
"Punggol","PG_B1","3004478658","008937856683","WS500007A","SUB","Direct","#03","2018-02-28",15390,"8221"
"Punggol","PG_B1","3004478658","008937856683","WS500007A","SUB","Direct","#03","2018-03-31",25297,"9676"
"Punggol","PG_B1","3004478658","008937856683","WS500007A","SUB","Direct","#03","2018-04-30",26160,"4902"
"Punggol","PG_B1","3004478658","008937856683","WS500007A","SUB","Direct","#03","2018-05-31",30838,"12224"
"Punggol","PG_B1","3004478658","008937856683","WS500007A","SUB","Direct","#03","2018-06-30",38987,"10636"
"Punggol","PG_B1","3004478658","008937856683","WS500007A","SUB","Direct","#03","2018-07-31",41434,"25130"
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2017-08-31",19216,"8090"
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2017-09-30",22593,"22262"
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2017-10-31",25225,"11491"
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2017-11-30",19070,"11062"
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2017-12-31",17751,"47447"
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2018-01-31",21107,"7690"
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2018-02-28",22275,"8221"
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2018-03-31",24926,"9676"
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2018-04-30",23456,"4902"
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2018-05-31",23493,"12224"
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2018-06-30",27355,"10636"
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","#04","2018-07-31",23666,"25130"
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2017-08-31",17375,"31682"
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2017-09-30",25225,"16827"
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2017-10-31",24926,"82847"
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2017-11-30",25320,"26295"
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2017-12-31",25058,"21198"
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2018-01-31",22793,"20819"
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2018-02-28",24422,"18660"
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2018-03-31",26482,"35205"
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2018-04-30",23878,"16605"
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2018-05-31",26468,"27294"
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2018-06-30",25318,"18710"
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","#05","2018-07-31",26519,"23558"
