"Source","Year","room_type","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"SPGroup",2016,"HDB01",NA,NA,NA,NA,NA,NA,NA,9.6,9.6,9.5,9.5,9
"SPGroup",2016,"HDB02",NA,NA,NA,NA,NA,NA,NA,13,12.8,12.5,12.8,11.9
"SPGroup",2016,"HDB03",NA,NA,NA,NA,NA,NA,NA,14.3,14.1,13.8,14,13.2
"SPGroup",2016,"HDB04",NA,NA,NA,NA,NA,NA,NA,18.1,18,17.4,17.9,16.7
"SPGroup",2016,"HDB05",NA,NA,NA,NA,NA,NA,NA,19.1,19.1,18.5,19,17.7
"SPGroup",2017,"HDB01",9,9.2,8.5,9,8.9,9.5,9,NA,NA,NA,NA,NA
"SPGroup",2017,"HDB02",12.1,12.3,11.4,12,12.1,12.6,12,NA,NA,NA,NA,NA
"SPGroup",2017,"HDB03",13.3,13.6,12.7,13.3,13.2,14,13,NA,NA,NA,NA,NA
"SPGroup",2017,"HDB04",16.8,17.3,16.3,16.9,16.7,17.9,16.5,NA,NA,NA,NA,NA
"SPGroup",2017,"HDB05",17.5,18.3,17.5,18,17.5,18.9,17.5,NA,NA,NA,NA,NA
