"Source","Year","room_type","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"SPGroup",2017,"HDB01",NA,NA,NA,NA,NA,NA,NA,8.7,8.5,8.8,8.7,8.5
"SPGroup",2017,"HDB02",NA,NA,NA,NA,NA,NA,NA,11.6,11.3,11.7,11.7,10.9
"SPGroup",2017,"HDB03",NA,NA,NA,NA,NA,NA,NA,12.8,12.5,13.1,13.1,12.3
"SPGroup",2017,"HDB04",NA,NA,NA,NA,NA,NA,NA,16.3,16,16.7,16.8,15.7
"SPGroup",2017,"HDB05",NA,NA,NA,NA,NA,NA,NA,17.3,17,17.8,18,16.7
"SPGroup",2018,"HDB01",8.5,8.3,7.8,8.4,8.5,8.9,8.2,NA,NA,NA,NA,NA
"SPGroup",2018,"HDB02",11.2,10.8,10.4,11,10.9,11.5,10.6,NA,NA,NA,NA,NA
"SPGroup",2018,"HDB03",12.6,12.5,12.1,12.7,12.6,13.1,12.2,NA,NA,NA,NA,NA
"SPGroup",2018,"HDB04",16.1,15.9,15.4,16.3,16,16.5,15.7,NA,NA,NA,NA,NA
"SPGroup",2018,"HDB05",17,16.9,16.5,17.5,17.1,17.6,16.7,NA,NA,NA,NA,NA
