"Date","Block","IndirectMainMeters","IndirectSubMeters","IndirectNetConsumption","DirectMainMeters","DirectSubMeters","DirectNetConsumption","TotalMainMeters","TotalNetConsumption","TotalNetConsumptionRate"
2017-01-29,"PG_B1",308552,301209,7343,104597,100201,4396,413149,11739,2.84
2017-01-29,"PG_B2",291542,279838,11704,85305,82899,2406,376847,14110,3.74
2017-01-29,"PG_B3",259819,253703,6116,75016,70520,4496,334835,10612,3.17
2017-01-29,"PG_B4",247155,201486,45669,60807,59810,997,307962,46666,15.15
2017-01-29,"PG_B5",298966,293309,5657,100398,98637,1761,399364,7418,1.86
2017-01-22,"PG_B1",315312,302990,12322,148052,103845,44207,463364,56529,12.2
2017-01-22,"PG_B2",303459,286361,17098,82660,80152,2508,386119,19606,5.08
2017-01-22,"PG_B3",247979,253913,-5934,70766,66582,4184,318745,-1750,-0.55
2017-01-22,"PG_B4",196549,195630,919,66032,64894,1138,262581,2057,0.78
2017-01-22,"PG_B5",302294,303288,-994,105525,103645,1880,407819,886,0.22
2017-01-15,"PG_B1",312989,300248,12741,124822,94736,30086,437811,42827,9.78
2017-01-15,"PG_B2",316732,276412,40320,79049,76100,2949,395781,43269,10.93
2017-01-15,"PG_B3",239771,239489,282,68817,65153,3664,308588,3946,1.28
2017-01-15,"PG_B4",188554,188773,-219,62475,61589,886,251029,667,0.27
2017-01-15,"PG_B5",287784,287072,712,102332,100441,1891,390116,2603,0.67
2017-01-08,"PG_B1",321728,311716,10012,98041,94136,3905,419769,13917,3.32
2017-01-08,"PG_B2",285110,270467,14643,83807,81048,2759,368917,17402,4.72
2017-01-08,"PG_B3",239956,245871,-5915,65495,61731,3764,305451,-2151,-0.7
2017-01-08,"PG_B4",200950,194968,5982,68466,67353,1113,269416,7095,2.63
2017-01-08,"PG_B5",293027,285622,7405,106479,104546,1933,399506,9338,2.34
2017-01-01,"PG_B1",314851,309854,4997,93649,90384,3265,408500,8262,2.02
2017-01-01,"PG_B2",279567,268635,10932,82078,79630,2448,361645,13380,3.7
2017-01-01,"PG_B3",243297,243855,-558,64355,60380,3975,307652,3417,1.11
2017-01-01,"PG_B4",218053,211589,6464,66243,64991,1252,284296,7716,2.71
2017-01-01,"PG_B5",286365,279292,7073,101292,99589,1703,387657,8776,2.26
2016-12-25,"PG_B1",276602,273700,2902,87158,84012,3146,363760,6048,1.66
2016-12-25,"PG_B2",262640,250368,12272,77271,74563,2708,339911,14980,4.41
2016-12-25,"PG_B3",230211,229399,812,66943,63378,3565,297154,4377,1.47
2016-12-25,"PG_B4",184447,186940,-2493,61974,60841,1133,246421,-1360,-0.55
2016-12-25,"PG_B5",264904,257210,7694,93300,91501,1799,358204,9493,2.65
2016-12-18,"PG_B1",289965,281609,8356,98928,95854,3074,388893,11430,2.94
2016-12-18,"PG_B2",277557,266125,11432,76655,74351,2304,354212,13736,3.88
2016-12-18,"PG_B3",228681,229122,-441,61134,57485,3649,289815,3208,1.11
2016-12-18,"PG_B4",204750,197249,7501,59962,58422,1540,264712,9041,3.42
2016-12-18,"PG_B5",264443,260291,4152,101984,100374,1610,366427,5762,1.57
2016-12-11,"PG_B1",301726,297222,4504,101517,98921,2596,403243,7100,1.76
2016-12-11,"PG_B2",279960,265103,14857,81003,78748,2255,360963,17112,4.74
2016-12-11,"PG_B3",231334,231572,-238,63193,59335,3858,294527,3620,1.23
2016-12-11,"PG_B4",187148,183419,3729,55666,54328,1338,242814,5067,2.09
2016-12-11,"PG_B5",275919,278991,-3072,98106,96516,1590,374025,-1482,-0.4
2016-12-04,"PG_B1",311325,305145,6180,99047,95595,3452,410372,9632,2.35
2016-12-04,"PG_B2",289948,281564,8384,79389,76987,2402,369337,10786,2.92
2016-12-04,"PG_B3",232479,242468,-9989,69421,65244,4177,301900,-5812,-1.93
2016-12-04,"PG_B4",189347,182198,7149,62357,60902,1455,251704,8604,3.42
2016-12-04,"PG_B5",280513,277039,3474,97414,95801,1613,377927,5087,1.35
2016-11-27,"PG_B1",298480,292491,5989,128645,97629,31016,427125,37005,8.66
2016-11-27,"PG_B2",294596,281690,12906,80584,78396,2188,375180,15094,4.02
2016-11-27,"PG_B3",248262,239477,8785,64680,60719,3961,312942,12746,4.07
2016-11-27,"PG_B4",203641,188960,14681,62455,60911,1544,266096,16225,6.1
2016-11-27,"PG_B5",288861,281861,7000,102199,100375,1824,391060,8824,2.26
2016-11-20,"PG_B1",314958,302179,12779,101726,97414,4312,416684,17091,4.1
2016-11-20,"PG_B2",303898,284136,19762,80344,77404,2940,384242,22702,5.91
2016-11-20,"PG_B3",230958,228160,2798,67205,62637,4568,298163,7366,2.47
2016-11-20,"PG_B4",199131,191465,7666,59388,56995,2393,258519,10059,3.89
2016-11-20,"PG_B5",304665,289336,15329,100307,97075,3232,404972,18561,4.58
2016-11-13,"PG_B1",311346,304357,6989,98763,94166,4597,410109,11586,2.83
2016-11-13,"PG_B2",303031,291656,11375,77731,74743,2988,380762,14363,3.77
2016-11-13,"PG_B3",245548,232298,13250,66182,62176,4006,311730,17256,5.54
2016-11-13,"PG_B4",202471,201588,883,63208,60788,2420,265679,3303,1.24
2016-11-13,"PG_B5",294127,290191,3936,101708,98753,2955,395835,6891,1.74
2016-11-06,"PG_B1",309716,299125,10591,102287,96645,5642,412003,16233,3.94
2016-11-06,"PG_B2",300846,289004,11842,80081,76832,3249,380927,15091,3.96
2016-11-06,"PG_B3",231191,231216,-25,65288,60069,5219,296479,5194,1.75
2016-11-06,"PG_B4",195851,186739,9112,63255,60140,3115,259106,12227,4.72
2016-11-06,"PG_B5",322474,286394,36080,87383,98165,-10782,409857,25298,6.17
2016-10-30,"PG_B1",303074,293950,9124,111487,94636,16851,414561,25975,6.27
2016-10-30,"PG_B2",294717,274379,20338,80442,77502,2940,375159,23278,6.2
2016-10-30,"PG_B3",230124,228266,1858,67095,62764,4331,297219,6189,2.08
2016-10-30,"PG_B4",193850,184800,9050,62469,59922,2547,256319,11597,4.52
2016-10-30,"PG_B5",403067,292123,110944,0,99932,-99932,403067,11012,2.73
2016-10-23,"PG_B1",312601,295574,17027,111106,100508,10598,423707,27625,6.52
2016-10-23,"PG_B2",300817,286056,14761,80639,77751,2888,381456,17649,4.63
