"block","month.end","IndirectMaster","IndirectSub","IndirectNetConsumption","IndirectNetConsumptionRate","DirectMaster","DirectSub","DirectNetConsumption","DirectNetConsumptionRate","TotalMaster","TotalNetConsumption","TotalNetConsumptionRate"
"PG_B1","2018-07-31",1368128,1344570,23558,1.7,447440,422310,25130,5.6,1815568,48688,2.7
"PG_B2","2018-07-31",1384123,1303326,80797,5.8,301100,288347,12753,4.2,1685223,93550,5.6
"PG_B3","2018-07-31",1153951,1117550,36401,3.2,308100,814166,-506066,-164.3,1462051,-469665,-32.1
"PG_B4","2018-07-31",813695,NA,NA,NA,234950,NA,NA,NA,1048645,NA,NA
"PG_B5","2018-07-31",1169657,NA,NA,NA,503698,NA,NA,NA,1673355,NA,NA
"PG_B1","2018-06-30",1284551,1265841,18710,1.5,429640,419004,10636,2.5,1714191,29346,1.7
"PG_B2","2018-06-30",1340758,1279366,61392,4.6,294500,281725,12775,4.3,1635258,74167,4.5
"PG_B3","2018-06-30",1110132,1101615,8517,0.8,284140,266735,17405,6.1,1394272,25922,1.9
"PG_B4","2018-06-30",749898,697196,52702,7,238110,236275,1835,0.8,988008,54537,5.5
"PG_B5","2018-06-30",1163231,1075626,87605,7.5,456699,445529,11170,2.4,1619930,98775,6.1
"PG_B1","2018-05-31",1374099,1346805,27294,2,422370,410146,12224,2.9,1796469,39518,2.2
"PG_B2","2018-05-31",1396162,1336373,59789,4.3,312320,299683,12637,4,1708482,72426,4.2
"PG_B3","2018-05-31",1161089,1109343,51746,4.5,292070,275203,16867,5.8,1453159,68613,4.7
"PG_B4","2018-05-31",758797,714488,44309,5.8,259960,257996,1964,0.8,1018757,46273,4.5
"PG_B5","2018-05-31",1177936,1151148,26788,2.3,481503,470900,10603,2.2,1659439,37391,2.3
"PG_B1","2018-04-30",1258696,1242091,16605,1.3,393663,388761,4902,1.2,1652359,21507,1.3
"PG_B2","2018-04-30",1330467,1267524,62943,4.7,280537,269920,10617,3.8,1611004,73560,4.6
"PG_B3","2018-04-30",1061509,1020523,40986,3.9,292739,274895,17844,6.1,1354248,58830,4.3
"PG_B4","2018-04-30",748590,NA,NA,NA,242345,NA,NA,NA,990935,NA,NA
"PG_B5","2018-04-30",1159516,NA,NA,NA,461678,NA,NA,NA,1621194,NA,NA
"PG_B1","2018-03-31",1265246,1230041,35205,2.8,409052,399376,9676,2.4,1674298,44881,2.7
"PG_B2","2018-03-31",1361406,1264047,97359,7.2,282745,272585,10160,3.6,1644151,107519,6.5
"PG_B3","2018-03-31",1070457,1051790,18667,1.7,329521,309722,19799,6,1399978,38466,2.7
"PG_B4","2018-03-31",777915,723936,53979,6.9,243997,241327,2670,1.1,1021912,56649,5.5
"PG_B5","2018-03-31",1178809,1161189,17620,1.5,472226,464767,7459,1.6,1651035,25079,1.5
"PG_B1","2018-02-28",1162348,1143688,18660,1.6,351264,343043,8221,2.3,1513612,26881,1.8
"PG_B2","2018-02-28",1218872,1182895,35977,3,249172,240146,9026,3.6,1468044,45003,3.1
"PG_B3","2018-02-28",986261,959212,27049,2.7,296031,277123,18908,6.4,1282292,45957,3.6
"PG_B4","2018-02-28",772023,693450,78573,10.2,236894,234752,2142,0.9,1008917,80715,8
"PG_B5","2018-02-28",1065506,1062650,2856,0.3,429464,421879,7585,1.8,1494970,10441,0.7
"PG_B1","2018-01-31",1294364,1273545,20819,1.6,364351,356661,7690,2.1,1658715,28509,1.7
"PG_B2","2018-01-31",1313829,1274365,39464,3,268507,257945,10562,3.9,1582336,50026,3.2
"PG_B3","2018-01-31",1041806,1004462,37344,3.6,333555,312497,21058,6.3,1375361,58402,4.2
"PG_B4","2018-01-31",850555,799016,51539,6.1,253904,251027,2877,1.1,1104459,54416,4.9
"PG_B5","2018-01-31",1153114,1142803,10311,0.9,469387,460746,8641,1.8,1622501,18952,1.2
"PG_B1","2017-12-31",1228601,1207403,21198,1.7,379258,331811,47447,12.5,1607859,68645,4.3
"PG_B2","2017-12-31",1252494,1218194,34300,2.7,292446,281715,10731,3.7,1544940,45031,2.9
"PG_B3","2017-12-31",1075221,986435,88786,8.3,305333,286036,19297,6.3,1380554,108083,7.8
"PG_B4","2017-12-31",822653,763608,59045,7.2,247202,243998,3204,1.3,1069855,62249,5.8
"PG_B5","2017-12-31",1085546,1073933,11613,1.1,457878,448329,9549,2.1,1543424,21162,1.4
"PG_B1","2017-11-30",1230232,1203937,26295,2.1,369428,358366,11062,3,1599660,37357,2.3
"PG_B2","2017-11-30",1262703,1217729,44974,3.6,295242,284930,10312,3.5,1557945,55286,3.5
"PG_B3","2017-11-30",990586,970726,19860,2,276258,261967,14291,5.2,1266844,34151,2.7
"PG_B4","2017-11-30",772930,742867,30063,3.9,245444,242131,3313,1.3,1018374,33376,3.3
"PG_B5","2017-11-30",1056896,1048702,8194,0.8,423517,414936,8581,2,1480413,16775,1.1
