"block","LastDayofWeek","IndirectMaster","IndirectSub","IndirectNetConsumption","IndirectNetConsumptionRate","DirectMaster","DirectSub","DirectNetConsumption","DirectNetConsumptionRate","TotalMaster","TotalNetConsumption","TotalNetConsumptionRate"
"PG_B1",2018-10-28,298335,288990,9345,3.1,104380,104165,215,0.2,402715,9560,2.4
"PG_B2",2018-10-28,318844,285202,33642,10.6,63850,60980,2870,4.5,382694,36512,9.5
"PG_B3",2018-10-28,239944,243687,-3743,-1.6,66760,128468,-61708,-92.4,306704,-65451,-21.3
"PG_B4",2018-10-28,186264,178559,7705,4.1,52300,51650,650,1.2,238564,8355,3.5
"PG_B5",2018-10-28,269143,270443,-1300,-0.5,116600,113755,2845,2.4,385743,1545,0.4
"PG_B1",2018-10-21,357539,291022,66517,18.6,105270,103745,1525,1.4,462809,68042,14.7
"PG_B2",2018-10-21,325979,290712,35267,10.8,64700,61398,3302,5.1,390679,38569,9.9
"PG_B3",2018-10-21,249134,247052,2082,0.8,70560,66590,3970,5.6,319694,6052,1.9
"PG_B4",2018-10-21,170797,174666,-3869,-2.3,50910,50572,338,0.7,221707,-3531,-1.6
"PG_B5",2018-10-21,271744,257967,13777,5.1,119700,117424,2276,1.9,391444,16053,4.1
"PG_B1",2018-10-14,301422,290766,10656,3.5,102520,101363,1157,1.1,403942,11813,2.9
"PG_B2",2018-10-14,326059,292562,33497,10.3,61980,58729,3251,5.2,388039,36748,9.5
"PG_B3",2018-10-14,258734,246002,12732,4.9,66120,62263,3857,5.8,324854,16589,5.1
"PG_B4",2018-10-14,187108,179236,7872,4.2,52910,52378,532,1,240018,8404,3.5
"PG_B5",2018-10-14,269478,265444,4034,1.5,113500,110597,2903,2.6,382978,6937,1.8
"PG_B1",2018-10-07,299434,294880,4554,1.5,104440,103223,1217,1.2,403874,5771,1.4
"PG_B2",2018-10-07,323154,288538,34616,10.7,65860,62678,3182,4.8,389014,37798,9.7
"PG_B3",2018-10-07,263082,260242,2840,1.1,66940,63317,3623,5.4,330022,6463,2
"PG_B4",2018-10-07,180646,177319,3327,1.8,57400,56872,528,0.9,238046,3855,1.6
"PG_B5",2018-10-07,259890,256278,3612,1.4,120800,116994,3806,3.2,380690,7418,1.9
"PG_B1",2018-09-30,291434,290869,565,0.2,101350,100180,1170,1.2,392784,1735,0.4
"PG_B2",2018-09-30,313487,284035,29452,9.4,67220,63866,3354,5,380707,32806,8.6
"PG_B3",2018-09-30,278536,259328,19208,6.9,64980,61169,3811,5.9,343516,23019,6.7
"PG_B4",2018-09-30,194147,184534,9613,5,59870,57693,2177,3.6,254017,11790,4.6
"PG_B5",2018-09-30,252259,255563,-3304,-1.3,107900,107027,873,0.8,360159,-2431,-0.7
"PG_B1",2018-09-23,299412,290709,8703,2.9,101440,99590,1850,1.8,400852,10553,2.6
"PG_B2",2018-09-23,316932,283663,33269,10.5,64720,61684,3036,4.7,381652,36305,9.5
"PG_B3",2018-09-23,279017,246191,32826,11.8,63000,255856,-192856,-306.1,342017,-160030,-46.8
"PG_B4",2018-09-23,187245,180553,6692,3.6,51830,53065,-1235,-2.4,239075,5457,2.3
"PG_B5",2018-09-23,268937,256658,12279,4.6,115300,112597,2703,2.3,384237,14982,3.9
"PG_B1",2018-09-16,282699,281081,1618,0.6,100160,98619,1541,1.5,382859,3159,0.8
"PG_B2",2018-09-16,300923,275343,25580,8.5,59640,56535,3105,5.2,360563,28685,8
"PG_B3",2018-09-16,260604,250547,10057,3.9,68590,719814,-651224,-949.4,329194,-641167,-194.8
"PG_B4",2018-09-16,180147,176353,3794,2.1,54470,54184,286,0.5,234617,4080,1.7
"PG_B5",2018-09-16,253137,254105,-968,-0.4,116100,114215,1885,1.6,369237,917,0.2
"PG_B1",2018-09-09,275570,268669,6901,2.5,97840,96267,1573,1.6,373410,8474,2.3
"PG_B2",2018-09-09,297232,269284,27948,9.4,62550,59237,3313,5.3,359782,31261,8.7
"PG_B3",2018-09-09,247701,244520,3181,1.3,66220,322672,-256452,-387.3,313921,-253271,-80.7
"PG_B4",2018-09-09,176147,171555,4592,2.6,54520,54045,475,0.9,230667,5067,2.2
"PG_B5",2018-09-09,254587,248382,6205,2.4,115107,111575,3532,3.1,369694,9737,2.6
"PG_B1",2018-09-02,289192,281668,7524,2.6,96930,97023,-93,-0.1,386122,7431,1.9
"PG_B2",2018-09-02,297843,272457,25386,8.5,65640,63391,2249,3.4,363483,27635,7.6
"PG_B3",2018-09-02,272136,248455,23681,8.7,64870,257502,-192632,-297,337006,-168951,-50.1
"PG_B4",2018-09-02,173446,168965,4481,2.6,55060,53978,1082,2,228506,5563,2.4
"PG_B5",2018-09-02,252688,256665,-3977,-1.6,112542,110688,1854,1.6,365230,-2123,-0.6
"PG_B1",2018-08-26,294135,291221,2914,1,103700,102005,1695,1.6,397835,4609,1.2
"PG_B2",2018-08-26,318187,283322,34865,11,64700,61808,2892,4.5,382887,37757,9.9
"PG_B3",2018-08-26,258402,254201,4201,1.6,68550,654119,-585569,-854.2,326952,-581368,-177.8
"PG_B4",2018-08-26,181948,173450,8498,4.7,57230,56769,461,0.8,239178,8959,3.7
"PG_B5",2018-08-26,265568,256945,8623,3.2,117800,115033,2767,2.3,383368,11390,3
"PG_B1",2018-08-19,290838,286202,4636,1.6,98040,96458,1582,1.6,388878,6218,1.6
"PG_B2",2018-08-19,306104,291447,14657,4.8,63800,60748,3052,4.8,369904,17709,4.8
"PG_B3",2018-08-19,246316,255627,-9311,-3.8,70700,393714,-323014,-456.9,317016,-332325,-104.8
"PG_B4",2018-08-19,180342,NA,NA,NA,58440,NA,NA,NA,238782,NA,NA
"PG_B5",2018-08-19,261004,257970,3034,1.2,113200,110771,2429,2.1,374204,5463,1.5
"PG_B1",2018-08-12,288662,287462,1200,0.4,101445,96545,4900,4.8,390107,6100,1.6
"PG_B2",2018-08-12,311352,289776,21576,6.9,67830,65036,2794,4.1,379182,24370,6.4
"PG_B3",2018-08-12,254531,253444,1087,0.4,62774,910768,-847994,-1350.9,317305,-846907,-266.9
"PG_B4",2018-08-12,197980,184518,13462,6.8,51670,51599,71,0.1,249650,13533,5.4
"PG_B5",2018-08-12,266410,261604,4806,1.8,115503,113007,2496,2.2,381913,7302,1.9
"PG_B1",2018-08-05,285410,276119,9291,3.3,99664,95344,4320,4.3,385074,13611,3.5
"PG_B2",2018-08-05,306769,287489,19280,6.3,67000,63938,3062,4.6,373769,22342,6
"PG_B3",2018-08-05,262123,247870,14253,5.4,67365,260200,-192835,-286.3,329488,-178582,-54.2
"PG_B4",2018-08-05,172608,172099,509,0.3,55760,55563,197,0.4,228368,706,0.3
"PG_B5",2018-08-05,248509,251750,-3241,-1.3,110300,107520,2780,2.5,358809,-461,-0.1
"PG_B1",2018-07-29,288355,293110,-4755,-1.6,109830,94296,15534,14.1,398185,10779,2.7
"PG_B2",2018-07-29,318255,295000,23255,7.3,70060,67197,2863,4.1,388315,26118,6.7
"PG_B3",2018-07-29,265017,253661,11356,4.3,70740,459764,-389024,-549.9,335757,-377668,-112.5
"PG_B4",2018-07-29,194644,177096,17548,9,57098,56754,344,0.6,251742,17892,7.1
"PG_B5",2018-07-29,256144,252189,3955,1.5,118196,115135,3061,2.6,374340,7016,1.9
"PG_B1",2018-07-22,300122,285367,14755,4.9,98470,96684,1786,1.8,398592,16541,4.1
"PG_B2",2018-07-22,314535,300355,14180,4.5,68450,65315,3135,4.6,382985,17315,4.5
"PG_B3",2018-07-22,262475,241617,20858,7.9,70486,66284,4202,6,332961,25060,7.5
"PG_B4",2018-07-22,179746,171902,7844,4.4,50272,50092,180,0.4,230018,8024,3.5
"PG_B5",2018-07-22,269993,263931,6062,2.2,118102,115439,2663,2.3,388095,8725,2.2
"PG_B1",2018-07-15,289005,286034,2971,1,95880,94493,1387,1.4,384885,4358,1.1
"PG_B2",2018-07-15,314089,292450,21639,6.9,67570,64604,2966,4.4,381659,24605,6.4
"PG_B3",2018-07-15,246282,242947,3335,1.4,67670,63687,3983,5.9,313952,7318,2.3
"PG_B4",2018-07-15,184742,173385,11357,6.1,52960,52673,287,0.5,237702,11644,4.9
"PG_B5",2018-07-15,261606,256508,5098,1.9,110400,108085,2315,2.1,372006,7413,2
"PG_B1",2018-07-08,359294,356675,2619,0.7,97630,96082,1548,1.6,456924,4167,0.9
"PG_B2",2018-07-08,301500,291797,9703,3.2,65930,63113,2817,4.3,367430,12520,3.4
"PG_B3",2018-07-08,258979,247779,11200,4.3,70054,65941,4113,5.9,329033,15313,4.7
"PG_B4",2018-07-08,188144,176419,11725,6.2,51590,51369,221,0.4,239734,11946,5
"PG_B5",2018-07-08,271623,261199,10424,3.8,110900,108110,2790,2.5,382523,13214,3.5
"PG_B1",2018-07-01,287348,289557,-2209,-0.8,96390,94631,1759,1.8,383738,-450,-0.1
"PG_B2",2018-07-01,307854,290278,17576,5.7,64550,61499,3051,4.7,372404,20627,5.5
"PG_B3",2018-07-01,260563,247384,13179,5.1,70580,66396,4184,5.9,331143,17363,5.2
"PG_B4",2018-07-01,181047,165648,15399,8.5,50160,49729,431,0.9,231207,15830,6.8
"PG_B5",2018-07-01,324298,263846,60452,18.6,101800,99689,2111,2.1,426098,62563,14.7
"PG_B1",2018-06-24,317320,302161,15159,4.8,101020,99638,1382,1.4,418340,16541,4
"PG_B2",2018-06-24,307579,292731,14848,4.8,62770,60054,2716,4.3,370349,17564,4.7
"PG_B3",2018-06-24,260723,257273,3450,1.3,66300,62007,4293,6.5,327023,7743,2.4
"PG_B4",2018-06-24,177247,166459,10788,6.1,53850,53399,451,0.8,231097,11239,4.9
"PG_B5",2018-06-24,261126,249135,11991,4.6,98500,96383,2117,2.1,359626,14108,3.9
"PG_B1",2018-06-17,294879,295176,-297,-0.1,106700,104007,2693,2.5,401579,2396,0.6
"PG_B2",2018-06-17,309889,294875,15014,4.8,70450,67450,3000,4.3,380339,18014,4.7
"PG_B3",2018-06-17,263042,257558,5484,2.1,62370,59635,2735,4.4,325412,8219,2.5
"PG_B4",2018-06-17,167441,163653,3788,2.3,48320,48078,242,0.5,215761,4030,1.9
"PG_B5",2018-06-17,267625,250939,16686,6.2,112899,109442,3457,3.1,380524,20143,5.3
"PG_B1",2018-06-10,302395,293521,8874,2.9,99330,94848,4482,4.5,401725,13356,3.3
"PG_B2",2018-06-10,327299,313241,14058,4.3,72500,69552,2948,4.1,399799,17006,4.3
"PG_B3",2018-06-10,263237,247934,15303,5.8,68710,63278,5432,7.9,331947,20735,6.2
"PG_B4",2018-06-10,175747,158956,16791,9.6,63800,63323,477,0.7,239547,17268,7.2
"PG_B5",2018-06-10,241098,244811,-3713,-1.5,110400,107946,2454,2.2,351498,-1259,-0.4
"PG_B1",2018-06-03,306534,302195,4339,1.4,94990,93497,1493,1.6,401524,5832,1.5
"PG_B2",2018-06-03,311853,295450,16403,5.3,73470,70489,2981,4.1,385323,19384,5
"PG_B3",2018-06-03,254655,250734,3921,1.5,59860,56384,3476,5.8,314515,7397,2.4
"PG_B4",2018-06-03,176651,159942,16709,9.5,62340,61934,406,0.7,238991,17115,7.2
"PG_B5",2018-06-03,264536,249323,15213,5.8,107500,105174,2326,2.2,372036,17539,4.7
"PG_B1",2018-05-27,309127,307189,1938,0.6,100630,95184,5446,5.4,409757,7384,1.8
"PG_B2",2018-05-27,318410,301349,17061,5.4,70100,67002,3098,4.4,388510,20159,5.2
"PG_B3",2018-05-27,263497,254017,9480,3.6,67450,64315,3135,4.6,330947,12615,3.8
"PG_B4",2018-05-27,176443,162901,13542,7.7,57880,57459,421,0.7,234323,13963,6
"PG_B5",2018-05-27,268686,269863,-1177,-0.4,108600,105952,2648,2.4,377286,1471,0.4
"PG_B1",2018-05-20,304328,295428,8900,2.9,95890,92914,2976,3.1,400218,11876,3
"PG_B2",2018-05-20,309634,298733,10901,3.5,70080,67217,2863,4.1,379714,13764,3.6
"PG_B3",2018-05-20,259770,242395,17375,6.7,68640,63701,4939,7.2,328410,22314,6.8
"PG_B4",2018-05-20,164547,161357,3190,1.9,59780,59233,547,0.9,224327,3737,1.7
"PG_B5",2018-05-20,276145,262895,13250,4.8,109200,106640,2560,2.3,385345,15810,4.1
