"block","LastDayofWeek","IndirectMaster","IndirectSub","IndirectNetConsumption","IndirectNetConsumptionRate","DirectMaster","DirectSub","DirectNetConsumption","DirectNetConsumptionRate","TotalMaster","TotalNetConsumption","TotalNetConsumptionRate"
"PG_B1",2018-07-15,284103,283531,572,0.2,95880,94076,1804,1.9,379983,2376,0.6
"PG_B2",2018-07-15,303189,290612,12577,4.1,67570,64213,3357,5,370759,15934,4.3
"PG_B3",2018-07-15,246259,245284,975,0.4,67670,63502,4168,6.2,313929,5143,1.6
"PG_B4",2018-07-15,184744,170922,13822,7.5,52960,52046,914,1.7,237704,14736,6.2
"PG_B5",2018-07-15,261610,NA,NA,NA,107500,NA,NA,NA,369110,NA,NA
"PG_B1",2018-07-08,359294,354029,5265,1.5,97630,94533,3097,3.2,456924,8362,1.8
"PG_B2",2018-07-08,301500,289793,11707,3.9,65440,62796,2644,4,366940,14351,3.9
"PG_B3",2018-07-08,233463,247660,-14197,-6.1,70050,63197,6853,9.8,303513,-7344,-2.4
"PG_B4",2018-07-08,177746,172851,4895,2.8,51590,50643,947,1.8,229336,5842,2.5
"PG_B5",2018-07-08,259429,NA,NA,NA,110900,NA,NA,NA,370329,NA,NA
"PG_B1",2018-07-01,287348,289557,-2209,-0.8,96390,94631,1759,1.8,383738,-450,-0.1
"PG_B2",2018-07-01,307854,290278,17576,5.7,64550,61499,3051,4.7,372404,20627,5.5
"PG_B3",2018-07-01,260563,251794,8769,3.4,70580,66396,4184,5.9,331143,12953,3.9
"PG_B4",2018-07-01,181047,164258,16789,9.3,50160,49729,431,0.9,231207,17220,7.4
"PG_B5",2018-07-01,324298,263846,60452,18.6,101800,93360,8440,8.3,426098,68892,16.2
"PG_B1",2018-06-24,317320,302161,15159,4.8,101020,99638,1382,1.4,418340,16541,4
"PG_B2",2018-06-24,307579,292731,14848,4.8,62770,60054,2716,4.3,370349,17564,4.7
"PG_B3",2018-06-24,260723,261754,-1031,-0.4,66300,62007,4293,6.5,327023,3262,1
"PG_B4",2018-06-24,177247,165163,12084,6.8,53850,53399,451,0.8,231097,12535,5.4
"PG_B5",2018-06-24,261126,249135,11991,4.6,98500,96383,2117,2.1,359626,14108,3.9
"PG_B1",2018-06-17,294879,295176,-297,-0.1,106700,104007,2693,2.5,401579,2396,0.6
"PG_B2",2018-06-17,309889,294875,15014,4.8,70450,67450,3000,4.3,380339,18014,4.7
"PG_B3",2018-06-17,263042,261281,1761,0.7,62370,59635,2735,4.4,325412,4496,1.4
"PG_B4",2018-06-17,167441,163235,4206,2.5,48320,48078,242,0.5,215761,4448,2.1
"PG_B5",2018-06-17,267625,250939,16686,6.2,112899,109442,3457,3.1,380524,20143,5.3
"PG_B1",2018-06-10,302395,293521,8874,2.9,99330,94848,4482,4.5,401725,13356,3.3
"PG_B2",2018-06-10,327299,313241,14058,4.3,72500,69552,2948,4.1,399799,17006,4.3
"PG_B3",2018-06-10,263237,251517,11720,4.5,68710,63278,5432,7.9,331947,17152,5.2
"PG_B4",2018-06-10,175747,158925,16822,9.6,63800,63323,477,0.7,239547,17299,7.2
"PG_B5",2018-06-10,241098,244811,-3713,-1.5,110400,107946,2454,2.2,351498,-1259,-0.4
"PG_B1",2018-06-03,306534,302195,4339,1.4,94990,93497,1493,1.6,401524,5832,1.5
"PG_B2",2018-06-03,311853,295450,16403,5.3,73470,70489,2981,4.1,385323,19384,5
"PG_B3",2018-06-03,254655,254706,-51,0,59860,56384,3476,5.8,314515,3425,1.1
"PG_B4",2018-06-03,176651,159940,16711,9.5,62340,61934,406,0.7,238991,17117,7.2
"PG_B5",2018-06-03,264536,249323,15213,5.8,107500,105174,2326,2.2,372036,17539,4.7
"PG_B1",2018-05-27,309127,307189,1938,0.6,100630,95184,5446,5.4,409757,7384,1.8
"PG_B2",2018-05-27,318410,301349,17061,5.4,70100,67002,3098,4.4,388510,20159,5.2
"PG_B3",2018-05-27,263497,258207,5290,2,67450,64315,3135,4.6,330947,8425,2.5
"PG_B4",2018-05-27,176443,162901,13542,7.7,57880,57459,421,0.7,234323,13963,6
"PG_B5",2018-05-27,268686,269863,-1177,-0.4,108600,105952,2648,2.4,377286,1471,0.4
"PG_B1",2018-05-20,304328,295428,8900,2.9,95890,92914,2976,3.1,400218,11876,3
"PG_B2",2018-05-20,309634,298733,10901,3.5,70080,67217,2863,4.1,379714,13764,3.6
"PG_B3",2018-05-20,259770,246241,13529,5.2,68640,63701,4939,7.2,328410,18468,5.6
"PG_B4",2018-05-20,164547,161356,3191,1.9,59780,59233,547,0.9,224327,3738,1.7
"PG_B5",2018-05-20,276145,262895,13250,4.8,109200,106640,2560,2.3,385345,15810,4.1
"PG_B1",2018-05-13,308899,302581,6318,2,92650,91198,1452,1.6,401549,7770,1.9
"PG_B2",2018-05-13,324115,308766,15349,4.7,68660,66125,2535,3.7,392775,17884,4.6
"PG_B3",2018-05-13,258162,250345,7817,3,65910,62754,3156,4.8,324072,10973,3.4
"PG_B4",2018-05-13,167141,157622,9519,5.7,58170,57398,772,1.3,225311,10291,4.6
"PG_B5",2018-05-13,253432,254301,-869,-0.3,110700,108375,2325,2.1,364132,1456,0.4
"PG_B1",2018-05-06,305555,307630,-2075,-0.7,91010,89212,1798,2,396565,-277,-0.1
"PG_B2",2018-05-06,314477,302041,12436,4,74290,71421,2869,3.9,388767,15305,3.9
