"","service_point_sn","LPCD_Before","LPCD_After","Savings"
"1","3004478658",204,143,61
"2","3004478679",110,109,1
"3","3004478713",160,142,18
"4","3004478769",113,109,4
"5","3004478784",149,156,-7
"6","3004478795",91,144,-53
"7","3004478821",218,184,34
"8","3004478833",61,74,-13
"9","3004478847",234,187,47
"10","3004478892",212,211,1
"11","3004478961",191,142,49
"12","3004478988",85,76,9
"13","3004478999",130,144,-14
"14","3004479020",211,176,35
"15","3004479045",126,168,-42
"16","3004479059",185,176,9
"17","3004479091",168,167,1
"18","3004479109",107,186,-79
"19","3004479139",110,98,12
"20","3004479149",146,171,-25
"21","3004479207",84,116,-32
"22","3004479266",132,132,0
"23","3004479278",79,80,-1
"24","3004479332",141,165,-24
"25","3004479342",250,251,-1
"26","3004479408",155,164,-9
"27","3004479421",259,281,-22
"28","3004479444",95,79,16
"29","3004479481",225,237,-12
"30","3004479521",230,184,46
"31","3004479551",296,293,3
"32","3004479571",197,159,38
"33","3004479584",318,302,16
"34","3004479661",108,131,-23
"35","3004479731",104,108,-4
"36","3004479769",122,106,16
"37","3004479799",78,159,-81
"38","3004479816",163,144,19
"39","3004479831",211,106,105
"40","3004479843",153,150,3
"41","3004479870",281,250,31
"42","3004479917",497,453,44
"43","3004479927",234,194,40
"44","3004479948",152,151,1
"45","3004479975",227,202,25
"46","3004479996",217,156,61
"47","3004480042",224,203,21
"48","3004480067",188,174,14
"49","3004480078",275,184,91
"50","3004480116",143,126,17
"51","3004480195",67,157,-90
"52","3004480211",142,146,-4
"53","3004480222",162,122,40
"54","3004480243",222,165,57
"55","3004480290",244,102,142
"56","3004480331",153,156,-3
"57","3004480341",216,193,23
"58","3004480355",107,104,3
"59","3004480381",223,225,-2
"60","3004520700",74,78,-4
"61","3004520778",61,64,-3
"62","3004520810",105,120,-15
"63","3004520894",130,119,11
"64","3004520929",140,142,-2
"65","3004520954",103,107,-4
"66","3004520967",500,440,60
"67","3004521017",71,203,-132
"68","3004521048",139,149,-10
"69","3004521085",148,188,-40
"70","3004521097",127,113,14
"71","3004521153",226,259,-33
"72","3004521189",138,158,-20
