"","service_point_sn","meter_sn","MinCons_60","start_date","end_date","status","duration","severity","block","floor","unit"
"1","3004478658","WS500007A",8,2018-01-14,NA,"Open",141,"Severe","PG_B1","#03","73"
"2","3004479584","WS500016A",1,2018-03-19,NA,"Open",77,"Severe","PG_B1","#04","79"
"3","3004480381","WS500084A",4,2018-05-05,NA,"Open",30,"Severe","PG_B1","#15","83"
"4","3004521518","WS500093A",2,2018-05-29,NA,"Open",6,"Severe","PG_B2","#02","431"
"5","3004521803","WS500094A",1,2017-08-29,NA,"Open",279,"Severe","PG_B2","#02","433"
"6","3004522137","WS500103A",1,2018-02-12,NA,"Open",112,"Severe","PG_B2","#04","435"
"7","3004521354","WS500130A",1,2018-05-24,NA,"Open",11,"Severe","PG_B2","#09","429"
"8","3004522092","WS500168A",1,2018-05-27,NA,"Open",8,"Severe","PG_B2","#15","433"
"9","3004521205","WS500171A",4,2018-04-22,NA,"Open",43,"Severe","PG_B2","#16","427"
"10","3100249974","WS500231A",4,2018-04-20,NA,"Open",45,"Severe","PG_B3","#09","394"
"11","3100249926","WS500254A",2,2018-02-27,NA,"Open",97,"Severe","PG_B3","#12","392"
"12","3100249930","WS500262A",2,2018-01-31,NA,"Open",124,"Severe","PG_B3","#13","392"
"13","3100249998","WS500279A",3,2017-07-18,NA,"Open",321,"Severe","PG_B3","#15","394"
"14","3100249942","WS500286A",2,2018-05-28,NA,"Open",7,"Severe","PG_B3","#16","392"
"15","3100250306","WS500300A",1,2018-05-04,NA,"Open",31,"Severe","PG_B3","#17","404"
"16","3005448763","WS500355A",4,2018-05-28,NA,"Open",7,"Severe","PG_B4","#10","835"
"17","3100159491","WS500421A",1,2018-04-18,NA,"Open",47,"Severe","PG_B5","#05","322"
"18","3100159507","WS500453A",1,2018-05-19,NA,"Open",16,"Severe","PG_B5","#09","322"
"19","3100159643","WS500463A",1,2018-03-08,NA,"Open",88,"Severe","PG_B5","#10","326"
