"","customer","longitude","latitude","ReadingRate","ReadingRatesCat","Type"
"1","PG_B1",103.904557,1.397414,"96","green","Transmitter"
"2","PG_B2",103.905878,1.400575,"100","green","Transmitter"
"3","PG_B3",103.897793,1.405382,"93","green","Transmitter"
"4","PG_B4",103.908573,1.404082,"98","green","Transmitter"
"5","PG_B5",103.911212,1.399853,"95","green","Transmitter"
"6","YH_B1",103.739732,1.339035,"87","orange","Transmitter"
"7","YH_B2",103.739099,1.339259,"98","green","Transmitter"
"8","YH_B3",103.735637,1.341018,"99","green","Transmitter"
"9","YH_B4",103.736746,1.341689,"83","orange","Transmitter"
"10","YH_B5",103.736293,1.342571,"99","green","Transmitter"
"11","YH_B6",103.741611,1.339922,"88","orange","Transmitter"
"12","YH_B7",103.741181,1.340712,"99","green","Transmitter"
"13","007165007209",103.651107,1.333542,"100","green","Transmitter"
"14","00717060651-",103.65295,1.329261,"100","green","Transmitter"
"15","007171600205",103.649407,1.325398,"100","green","Transmitter"
"16","007171601546",103.650653,1.328151,"97","green","Transmitter"
"17","007172802014",103.654252,1.324075,"95","green","Transmitter"
"18","007172804521",103.657312,1.328441,"88","orange","Transmitter"
"19","007175000911",103.652652,1.32445,"98","green","Transmitter"
"20","007178700329",103.645516,1.328534,"100","green","Transmitter"
"21","007178700426",103.645351,1.328331,"97","green","Transmitter"
"22","007178701414",103.647193,1.330353,"100","green","Transmitter"
"23","007179302742",103.649822,1.330656,"100","green","Transmitter"
"24","007179303412",103.652517,1.331702,"100","green","Transmitter"
"25","008900388425",103.647666,1.328273,"100","green","Transmitter"
"26","008902505422",103.646462,1.32955,"100","green","Transmitter"
"27","008908771242",103.646092,1.329144,"98","green","Transmitter"
"28","008909909262",103.653148,1.3253,"98","green","Transmitter"
"29","008910205965",103.650176,1.324687,"93","green","Transmitter"
"30","008912736553",103.648529,1.329468,"97","green","Transmitter"
"31","008919733694",103.647734,1.33095,"100","green","Transmitter"
"32","008920265389",103.656116,1.324904,"93","green","Transmitter"
"33","008920457937",103.647833,1.331034,"98","green","Transmitter"
"34","008921239292",103.646833,1.329957,"95","green","Transmitter"
"35","008923060423",103.649472,1.329352,"100","green","Transmitter"
"36","008923992658",103.650393,1.329748,"100","green","Transmitter"
"37","008927348667",103.651921,1.324104,"91","green","Transmitter"
"38","008929272691",103.647518,1.330699,"98","green","Transmitter"
"39","008929480211",103.655508,1.325082,"97","green","Transmitter"
"40","008930927036",103.652491,1.32759,"97","green","Transmitter"
"41","Receiver_Tuas",103.650253,1.332937,"154350409","","Receiver"
"42","Receiver_199C",103.905978,1.400675,"154350410","","Receiver"
"43","Receiver_274C",103.902472,1.403054,"154350406","","Receiver"
"44","Receiver_613C",103.908673,1.404182,"154350403","","Receiver"
"45","Receiver_212",103.74037,1.33911,"123456789","","Receiver"
"46","Receiver_217",103.738014,1.339997,"987654321","","Receiver"
"47","Receiver_220",103.73748,1.34109,"112233445","","Receiver"
