"","Date","Count"
"1",2017-10-01,14592
"2",2017-10-02,14592
"3",2017-10-03,14592
"4",2017-10-04,14592
"5",2017-10-05,14592
"6",2017-10-06,14592
"7",2017-10-07,14592
"8",2017-10-08,14592
"9",2017-10-09,14592
"10",2017-10-10,14020
"11",2017-10-11,13176
"12",2017-10-12,13176
"13",2017-10-13,13176
"14",2017-10-14,13176
"15",2017-10-15,13176
"16",2017-10-16,13176
"17",2017-10-17,13126
"18",2017-10-18,12984
"19",2017-10-19,12984
"20",2017-10-20,12980
"21",2017-10-21,12960
"22",2017-10-22,12960
"23",2017-10-23,12960
"24",2017-10-24,12960
"25",2017-10-25,12960
"26",2017-10-26,12942
"27",2017-10-27,12905
"28",2017-10-28,12888
"29",2017-10-29,12888
"30",2017-10-30,12888
"31",2017-10-31,12854
"32",2017-11-01,12840
"33",2017-11-02,12806
"34",2017-11-03,12792
"35",2017-11-04,12753
"36",2017-11-05,12563
"37",2017-11-06,9170
"38",2017-11-07,12676
"39",2017-11-08,3396
