"","ExternalMeteringPointReference","Date","site","Count"
"1","3000077665B",2018-06-17,"Tuas",24
"2","3000077665B",2018-06-18,"Tuas",24
"3","3000077665B",2018-06-19,"Tuas",24
"4","3000077665B",2018-06-20,"Tuas",24
"5","3000077665B",2018-06-21,"Tuas",24
"6","3000077665B",2018-06-22,"Tuas",24
"7","3000077665B",2018-06-23,"Tuas",24
"8","3000077665M",2018-06-17,"Tuas",24
"9","3000077665M",2018-06-18,"Tuas",24
"10","3000077665M",2018-06-19,"Tuas",24
"11","3000077665M",2018-06-20,"Tuas",24
"12","3000077665M",2018-06-21,"Tuas",24
"13","3000077665M",2018-06-22,"Tuas",24
"14","3000077665M",2018-06-23,"Tuas",24
"15","3000119712B",2018-06-17,"Tuas",24
"16","3000119712B",2018-06-18,"Tuas",24
"17","3000119712B",2018-06-19,"Tuas",24
"18","3000119712B",2018-06-20,"Tuas",24
"19","3000119712B",2018-06-21,"Tuas",24
"20","3000119712B",2018-06-22,"Tuas",24
"21","3000119712B",2018-06-23,"Tuas",24
"22","3000119712M",2018-06-17,"Tuas",24
"23","3000119712M",2018-06-18,"Tuas",24
"24","3000119712M",2018-06-19,"Tuas",24
"25","3000119712M",2018-06-20,"Tuas",24
"26","3000119712M",2018-06-21,"Tuas",24
"27","3000119712M",2018-06-22,"Tuas",24
"28","3000119712M",2018-06-23,"Tuas",24
"29","3000121015B",2018-06-17,"Tuas",24
"30","3000121015B",2018-06-18,"Tuas",24
"31","3000121015B",2018-06-19,"Tuas",24
"32","3000121015B",2018-06-20,"Tuas",24
"33","3000121015B",2018-06-21,"Tuas",24
"34","3000121015B",2018-06-22,"Tuas",24
"35","3000121015B",2018-06-23,"Tuas",24
"36","3000121015M",2018-06-17,"Tuas",24
"37","3000121015M",2018-06-18,"Tuas",24
"38","3000121015M",2018-06-19,"Tuas",24
"39","3000121015M",2018-06-20,"Tuas",24
"40","3000121015M",2018-06-21,"Tuas",24
"41","3000121015M",2018-06-22,"Tuas",24
"42","3000121015M",2018-06-23,"Tuas",24
"43","3000138898B",2018-06-17,"Tuas",24
"44","3000138898B",2018-06-18,"Tuas",24
"45","3000138898B",2018-06-19,"Tuas",24
"46","3000138898B",2018-06-20,"Tuas",24
"47","3000138898B",2018-06-21,"Tuas",24
