"","ExternalMeteringPointReference","site","TotalCount","Percent"
"1","3000077665B","Tuas",168,100
"2","3000077665M","Tuas",168,100
"3","3000119712B","Tuas",160,95
"4","3000119712M","Tuas",164,98
"5","3000121015B","Tuas",148,88
"6","3000121015M","Tuas",164,98
"7","3000138898B","Tuas",158,94
"8","3000138898M","Tuas",160,95
"9","3000140559B","Tuas",28,17
"10","3000140559M","Tuas",156,93
"11","3000141206B","Tuas",156,93
"12","3000141206M","Tuas",160,95
"13","3000141738B","Tuas",156,93
"14","3000141738M","Tuas",168,100
"15","3000143779B","Tuas",156,93
"16","3000143779M","Tuas",152,90
"17","3000144350B","Tuas",156,93
"18","3000144350M","Tuas",152,90
"19","3000257199B","Tuas",164,98
"20","3000257199M","Tuas",152,90
"21","3000259441B","Tuas",152,90
"22","3000259441M","Tuas",156,93
"23","3000325239B","Tuas",136,81
"24","3000325239M","Tuas",168,100
"25","3000390027B","Tuas",168,100
"26","3000390027M","Tuas",160,95
"27","3000390059","Tuas",164,98
"28","3000390059B","Tuas",156,93
"29","3000390837B","Tuas",156,93
"30","3000390837M","Tuas",168,100
"31","3000390874B","Tuas",168,100
"32","3000390874M","Tuas",168,100
"33","3000391332B","Tuas",156,93
"34","3000391332M","Tuas",152,90
"35","3000391367B","Tuas",168,100
"36","3000391367M","Tuas",168,100
"37","3000392058B","Tuas",168,100
"38","3000392058M","Tuas",168,100
"39","3000392503B","Tuas",164,98
"40","3000392503M","Tuas",168,100
"41","3000400157B","Tuas",164,98
"42","3000400157M","Tuas",152,90
"43","3000400666B","Tuas",168,100
"44","3000400666M","Tuas",168,100
"45","3000400689B","Tuas",156,93
"46","3000400689M","Tuas",144,86
"47","3000401254","Tuas",164,98
"48","3000401803B","Tuas",168,100
"49","3000401803M","Tuas",168,100
"50","3000402320B","Tuas",168,100
"51","3000402320M","Tuas",168,100
"52","3000402360B","Tuas",163,97
"53","3000402360M","Tuas",168,100
"54","3000403433B","Tuas",168,100
"55","3000403433M","Tuas",168,100
"56","3001782237B","Tuas",164,98
"57","3001782237M","Tuas",168,100
"58","3001875380B","Tuas",168,100
"59","3001875380M","Tuas",144,86
"60","3004478638","Punggol",160,95
"61","3004478658","Punggol",168,100
"62","3004478679","Punggol",148,88
"63","3004478696","Punggol",152,90
"64","3004478713","Punggol",140,83
"65","3004478742","Punggol",168,100
"66","3004478755","Punggol",164,98
"67","3004478769","Punggol",140,83
"68","3004478784","Punggol",164,98
"69","3004478795","Punggol",168,100
"70","3004478810","Punggol",164,98
"71","3004478821","Punggol",164,98
"72","3004478833","Punggol",148,88
"73","3004478847","Punggol",152,90
"74","3004478872","Punggol",168,100
"75","3004478892","Punggol",168,100
"76","3004478908","Punggol",160,95
"77","3004478921","Punggol",144,86
"78","3004478961","Punggol",168,100
"79","3004478970","Punggol",164,98
"80","3004478988","Punggol",168,100
"81","3004478999","Punggol",168,100
"82","3004479020","Punggol",168,100
"83","3004479045","Punggol",164,98
"84","3004479059","Punggol",168,100
"85","3004479068","Punggol",160,95
"86","3004479091","Punggol",168,100
"87","3004479109","Punggol",164,98
"88","3004479139","Punggol",160,95
"89","3004479149","Punggol",168,100
"90","3004479171","Punggol",160,95
"91","3004479193","Punggol",152,90
"92","3004479207","Punggol",144,86
"93","3004479244","Punggol",160,95
"94","3004479266","Punggol",168,100
"95","3004479278","Punggol",160,95
"96","3004479303","Punggol",160,95
"97","3004479332","Punggol",160,95
"98","3004479342","Punggol",156,93
"99","3004479375","Punggol",168,100
"100","3004479408","Punggol",164,98
"101","3004479421","Punggol",164,98
"102","3004479444","Punggol",164,98
"103","3004479481","Punggol",160,95
"104","3004479521","Punggol",164,98
"105","3004479551","Punggol",160,95
"106","3004479571","Punggol",164,98
"107","3004479584","Punggol",144,86
"108","3004479606","Punggol",144,86
"109","3004479637","Punggol",156,93
"110","3004479661","Punggol",168,100
"111","3004479690","Punggol",156,93
"112","3004479721","Punggol",160,95
"113","3004479731","Punggol",168,100
"114","3004479744","Punggol",168,100
"115","3004479769","Punggol",168,100
"116","3004479786","Punggol",166,99
"117","3004479799","Punggol",154,92
"118","3004479816","Punggol",156,93
"119","3004479831","Punggol",168,100
"120","3004479843","Punggol",156,93
"121","3004479870","Punggol",148,88
"122","3004479882","Punggol",145,86
"123","3004479897","Punggol",136,81
"124","3004479917","Punggol",152,90
"125","3004479927","Punggol",152,90
"126","3004479948","Punggol",164,98
"127","3004479975","Punggol",160,95
"128","3004479996","Punggol",164,98
"129","3004480018","Punggol",156,93
"130","3004480042","Punggol",168,100
"131","3004480056","Punggol",164,98
"132","3004480067","Punggol",168,100
"133","3004480078","Punggol",152,90
"134","3004480101","Punggol",160,95
"135","3004480116","Punggol",136,81
"136","3004480136","Punggol",152,90
"137","3004480168","Punggol",168,100
"138","3004480195","Punggol",168,100
"139","3004480211","Punggol",164,98
"140","3004480222","Punggol",160,95
"141","3004480243","Punggol",168,100
"142","3004480290","Punggol",160,95
"143","3004480316","Punggol",164,98
"144","3004480331","Punggol",164,98
"145","3004480341","Punggol",164,98
"146","3004480355","Punggol",168,100
"147","3004480369","Punggol",168,100
"148","3004480381","Punggol",160,95
"149","3004480399","Punggol",160,95
"150","3004520700","Punggol",168,100
"151","3004520724","Punggol",168,100
"152","3004520760","Punggol",164,98
"153","3004520778","Punggol",168,100
"154","3004520791","Punggol",168,100
"155","3004520810","Punggol",168,100
"156","3004520840","Punggol",164,98
"157","3004520867","Punggol",164,98
"158","3004520880","Punggol",164,98
"159","3004520894","Punggol",168,100
"160","3004520911","Punggol",164,98
"161","3004520929","Punggol",168,100
"162","3004520954","Punggol",164,98
"163","3004520967","Punggol",164,98
"164","3004521003","Punggol",168,100
"165","3004521017","Punggol",168,100
"166","3004521035","Punggol",168,100
"167","3004521048","Punggol",168,100
"168","3004521061","Punggol",168,100
"169","3004521085","Punggol",168,100
"170","3004521097","Punggol",168,100
"171","3004521109","Punggol",168,100
"172","3004521123","Punggol",168,100
"173","3004521137","Punggol",168,100
"174","3004521153","Punggol",168,100
"175","3004521172","Punggol",168,100
"176","3004521189","Punggol",168,100
"177","3004521205","Punggol",168,100
"178","3004521221","Punggol",168,100
"179","3004521232","Punggol",168,100
"180","3004521247","Punggol",168,100
"181","3004521264","Punggol",164,98
"182","3004521276","Punggol",168,100
"183","3004521285","Punggol",168,100
"184","3004521305","Punggol",168,100
"185","3004521323","Punggol",168,100
"186","3004521354","Punggol",164,98
"187","3004521366","Punggol",168,100
"188","3004521383","Punggol",168,100
"189","3004521398","Punggol",168,100
"190","3004521424","Punggol",164,98
"191","3004521454","Punggol",168,100
"192","3004521473","Punggol",168,100
"193","3004521490","Punggol",164,98
"194","3004521507","Punggol",168,100
"195","3004521518","Punggol",164,98
"196","3004521535","Punggol",168,100
"197","3004521564","Punggol",168,100
"198","3004521588","Punggol",168,100
"199","3004521613","Punggol",168,100
"200","3004521635","Punggol",168,100
"201","3004521658","Punggol",168,100
"202","3004521680","Punggol",168,100
"203","3004521692","Punggol",168,100
"204","3004521705","Punggol",160,95
"205","3004521715","Punggol",168,100
"206","3004521729","Punggol",168,100
"207","3004521743","Punggol",168,100
"208","3004521757","Punggol",168,100
"209","3004521770","Punggol",168,100
"210","3004521783","Punggol",168,100
"211","3004521803","Punggol",168,100
"212","3004521824","Punggol",164,98
"213","3004521852","Punggol",168,100
"214","3004521867","Punggol",168,100
"215","3004521898","Punggol",164,98
"216","3004521931","Punggol",168,100
"217","3004521954","Punggol",168,100
"218","3004521979","Punggol",168,100
"219","3004521999","Punggol",168,100
"220","3004522014","Punggol",168,100
"221","3004522034","Punggol",168,100
"222","3004522045","Punggol",164,98
"223","3004522058","Punggol",168,100
"224","3004522092","Punggol",168,100
"225","3004522107","Punggol",168,100
"226","3004522126","Punggol",168,100
"227","3004522137","Punggol",164,98
"228","3004522151","Punggol",164,98
"229","3004522164","Punggol",168,100
"230","3004522178","Punggol",164,98
"231","3004522190","Punggol",168,100
"232","3004522204","Punggol",168,100
"233","3004522216","Punggol",168,100
"234","3004522229","Punggol",168,100
"235","3004522239","Punggol",168,100
"236","3004522256","Punggol",168,100
"237","3004522272","Punggol",168,100
"238","3004522284","Punggol",168,100
"239","3004522297","Punggol",168,100
"240","3004522310","Punggol",168,100
"241","3004587232","Punggol",168,100
"242","3004603227","Punggol",168,100
"243","3005448411","Punggol",156,93
"244","3005448415","Punggol",164,98
"245","3005448419","Punggol",160,95
"246","3005448423","Punggol",164,98
"247","3005448427","Punggol",168,100
"248","3005448431","Punggol",164,98
"249","3005448435","Punggol",168,100
"250","3005448439","Punggol",168,100
"251","3005448443","Punggol",168,100
"252","3005448447","Punggol",160,95
"253","3005448451","Punggol",168,100
"254","3005448455","Punggol",168,100
"255","3005448459","Punggol",168,100
"256","3005448463","Punggol",168,100
"257","3005448467","Punggol",168,100
"258","3005448471","Punggol",168,100
"259","3005448475","Punggol",168,100
"260","3005448479","Punggol",156,93
"261","3005448483","Punggol",156,93
"262","3005448487","Punggol",168,100
"263","3005448491","Punggol",168,100
"264","3005448495","Punggol",168,100
"265","3005448499","Punggol",168,100
"266","3005448503","Punggol",168,100
"267","3005448507","Punggol",160,95
"268","3005448511","Punggol",168,100
"269","3005448515","Punggol",168,100
"270","3005448519","Punggol",168,100
"271","3005448523","Punggol",168,100
"272","3005448527","Punggol",168,100
"273","3005448531","Punggol",168,100
"274","3005448535","Punggol",168,100
"275","3005448539","Punggol",168,100
"276","3005448543","Punggol",168,100
"277","3005448547","Punggol",168,100
"278","3005448551","Punggol",168,100
"279","3005448555","Punggol",168,100
"280","3005448559","Punggol",168,100
"281","3005448563","Punggol",168,100
"282","3005448567","Punggol",160,95
"283","3005448571","Punggol",168,100
"284","3005448575","Punggol",164,98
"285","3005448579","Punggol",164,98
"286","3005448583","Punggol",168,100
"287","3005448587","Punggol",168,100
"288","3005448591","Punggol",168,100
"289","3005448595","Punggol",168,100
"290","3005448599","Punggol",168,100
"291","3005448603","Punggol",148,88
"292","3005448607","Punggol",160,95
"293","3005448611","Punggol",156,93
"294","3005448615","Punggol",168,100
"295","3005448619","Punggol",168,100
"296","3005448623","Punggol",160,95
"297","3005448627","Punggol",168,100
"298","3005448631","Punggol",156,93
"299","3005448635","Punggol",164,98
"300","3005448639","Punggol",164,98
"301","3005448643","Punggol",168,100
"302","3005448647","Punggol",168,100
"303","3005448651","Punggol",168,100
"304","3005448655","Punggol",168,100
"305","3005448659","Punggol",168,100
"306","3005448663","Punggol",168,100
"307","3005448667","Punggol",164,98
"308","3005448671","Punggol",160,95
"309","3005448675","Punggol",164,98
"310","3005448679","Punggol",168,100
"311","3005448683","Punggol",152,90
"312","3005448687","Punggol",148,88
"313","3005448691","Punggol",168,100
"314","3005448695","Punggol",168,100
"315","3005448699","Punggol",168,100
"316","3005448703","Punggol",168,100
"317","3005448707","Punggol",168,100
"318","3005448711","Punggol",168,100
"319","3005448715","Punggol",168,100
"320","3005448719","Punggol",168,100
"321","3005448723","Punggol",168,100
"322","3005448727","Punggol",168,100
"323","3005448731","Punggol",160,95
"324","3005448735","Punggol",168,100
"325","3005448739","Punggol",168,100
"326","3005448743","Punggol",168,100
"327","3005448747","Punggol",156,93
"328","3005448751","Punggol",168,100
"329","3005448755","Punggol",168,100
"330","3005448759","Punggol",168,100
"331","3005448763","Punggol",168,100
"332","3005448767","Punggol",168,100
"333","3005448771","Punggol",168,100
"334","3005448775","Punggol",168,100
"335","3005448779","Punggol",168,100
"336","3005448783","Punggol",164,98
"337","3005448787","Punggol",168,100
"338","3005448791","Punggol",168,100
"339","3090005152B","Punggol",168,100
"340","3090005152M","Punggol",168,100
"341","3090005202B","Punggol",164,98
"342","3090005202M","Punggol",168,100
"343","3100159479","Punggol",152,90
"344","3100159483","Punggol",148,88
"345","3100159487","Punggol",156,93
"346","3100159491","Punggol",152,90
"347","3100159495","Punggol",164,98
"348","3100159499","Punggol",160,95
"349","3100159503","Punggol",144,86
"350","3100159507","Punggol",160,95
"351","3100159511","Punggol",168,100
"352","3100159515","Punggol",168,100
"353","3100159519","Punggol",168,100
"354","3100159523","Punggol",156,93
"355","3100159527","Punggol",148,88
"356","3100159531","Punggol",164,98
"357","3100159535","Punggol",160,95
"358","3100159539","Punggol",156,93
"359","3100159543","Punggol",160,95
"360","3100159547","Punggol",168,100
"361","3100159551","Punggol",160,95
"362","3100159555","Punggol",168,100
"363","3100159559","Punggol",160,95
"364","3100159563","Punggol",156,93
"365","3100159567","Punggol",156,93
"366","3100159571","Punggol",168,100
"367","3100159575","Punggol",168,100
"368","3100159579","Punggol",168,100
"369","3100159583","Punggol",168,100
"370","3100159587","Punggol",168,100
"371","3100159591","Punggol",164,98
"372","3100159595","Punggol",168,100
"373","3100159599","Punggol",164,98
"374","3100159603","Punggol",168,100
"375","3100159607","Punggol",160,95
"376","3100159611","Punggol",156,93
"377","3100159615","Punggol",164,98
"378","3100159619","Punggol",160,95
"379","3100159623","Punggol",160,95
"380","3100159627","Punggol",160,95
"381","3100159631","Punggol",160,95
"382","3100159635","Punggol",160,95
"383","3100159639","Punggol",168,100
"384","3100159643","Punggol",164,98
"385","3100159647","Punggol",152,90
"386","3100159651","Punggol",160,95
"387","3100159655","Punggol",156,93
"388","3100159659","Punggol",148,88
"389","3100159663","Punggol",144,86
"390","3100159667","Punggol",149,89
"391","3100159671","Punggol",156,93
"392","3100159675","Punggol",156,93
"393","3100159679","Punggol",136,81
"394","3100159683","Punggol",164,98
"395","3100159687","Punggol",152,90
"396","3100159691","Punggol",148,88
"397","3100159695","Punggol",164,98
"398","3100159699","Punggol",156,93
"399","3100159703","Punggol",160,95
"400","3100159707","Punggol",154,92
"401","3100159711","Punggol",140,83
"402","3100159715","Punggol",160,95
"403","3100159719","Punggol",156,93
"404","3100159723","Punggol",152,90
"405","3100159727","Punggol",143,85
"406","3100159731","Punggol",152,90
"407","3100159735","Punggol",136,81
"408","3100159739","Punggol",156,93
"409","3100159743","Punggol",164,98
"410","3100159747","Punggol",156,93
"411","3100159751","Punggol",156,93
"412","3100159755","Punggol",164,98
"413","3100159763","Punggol",156,93
"414","3100159767","Punggol",156,93
"415","3100159771","Punggol",140,83
"416","3100159775","Punggol",145,86
"417","3100159779","Punggol",160,95
"418","3100159783","Punggol",152,90
"419","3100159787","Punggol",156,93
"420","3100159791","Punggol",152,90
"421","3100159795","Punggol",164,98
"422","3100159799","Punggol",152,90
"423","3100159803","Punggol",136,81
"424","3100159807","Punggol",144,86
"425","3100159811","Punggol",156,93
"426","3100159815","Punggol",152,90
"427","3100159819","Punggol",168,100
"428","3100159823","Punggol",168,100
"429","3100159827","Punggol",144,86
"430","3100159831","Punggol",144,86
"431","3100159835","Punggol",156,93
