"","pub_cust_id","service_point_sn","MeanConsumption","MeanMax5Flow","MeanMax15Flow"
"1","007178701414","3000391367M",31668,943,569
"2","007178701414","3000391367B",70701,764,532
"3","008919733694","3001875380M",304942,3906,2916
"4","008919733694","3001875380B",621190,1638,1441
"5","008930927036","3000257199M",5620,506,354
"6","008930927036","3000257199B",24002,946,534
"7","008910205965","3000259441M",340,139,46
"8","008910205965","3000259441B",129446,1979,1157
"9","007171600205","3000119712M",25180,741,370
"10","007171600205","3000119712B",49776,778,449
"11","007171601546","3000121015M",100,39,13
"12","007171601546","3000121015B",99422,1663,956
"13","007178700329","3000390027M",7660,821,373
"14","007178700329","3000390027B",82756,1027,674
"15","008902505422","3000390874M",104274,1770,1263
"16","008902505422","3000390874B",66732,681,520
"17","008923992658","3000402320M",NA,NA,NA
"18","008923992658","3000402320B",228641,2518,1724
"19","008921239292","3000391332M",2000,320,147
"20","008921239292","3000391332B",205473,1891,1488
"21","007179302742","3000402360M",1780,516,175
"22","007179302742","3000402360B",47566,980,634
"23","008923060423","3000401803M",650740,16119,14477
"24","008923060423","3000401803B",403560,3015,2395
"25","008900388425","3000400157M",43240,3521,1990
"26","008900388425","3000400157B",316231,2083,1506
"27","007175000911","3000325239M",9520,972,410
"28","007175000911","3000325239B",41945,1043,556
"29","007172802014","3000140559M",280,126,68
"30","007172802014","3000140559B",259273,1193,858
"31","008929480211","3000141738M",5200,1355,671
"32","008929480211","3000141738B",77004,1845,1277
"33","008920265389","3000138898M",144740,3447,2186
"34","008920265389","3000138898B",303671,1291,1017
"35","007165007209","3001782237M",185860,9016,3878
"36","007165007209","3001782237B",419279,2033,1507
"37","007172804521","3000143779M",533,155,52
"38","007172804521","3000143779B",62151,1605,1209
"39","008909909262","3000141206M",225,90,30
"40","008909909262","3000141206B",109263,1465,936
"41","00717060651","3000077665M",300,53,23
"42","00717060651","3000077665B",1611,220,83
"43","007179303412","3000403433M",7240,792,354
"44","007179303412","3000403433B",193961,1451,1001
"45","008908771242","3000390837M",49590,1660,900
"46","008908771242","3000390837B",85558,688,536
"47","008927348667","3000144350M",121660,2519,1423
"48","008927348667","3000144350B",183714,1299,929
"49","008929272691","3000392058M",NA,NA,NA
"50","008929272691","3000392058B",201855,1917,1351
"51","008912736553","3000400689M",30500,1187,614
"52","008912736553","3000400689B",37652,690,466
"53","007178700426","3000390059",27640,1990,1106
"54","007178700426","3000390059B",152226,1042,701
"55","008920457937","3000392503M",54980,3091,1902
"56","008920457937","3000392503B",79434,1113,705
"57","007179302114","3000401254",72120,2270,1434
"58","008918410666","3000400666M",67575,3175,2190
"59","008918410666","3000400666B",95124,1107,789
