"","Date","Low","Moderate","Regular","Unique","Total"
"1",2018-06-21,3,1,10,3,17
"2",2018-06-22,4,3,22,2,31
"3",2018-06-23,11,2,21,13,47
"4",2018-06-24,6,2,21,14,43
"5",2018-06-25,2,1,31,1,35
"6",2018-06-26,2,6,30,1,39
"7",2018-06-27,2,2,25,0,29
"8",2018-06-28,4,1,27,1,33
"9",2018-06-29,1,1,29,0,31
"10",2018-06-30,5,0,31,3,39
"11",2018-07-01,8,4,33,3,48
"12",2018-07-02,7,4,34,1,46
"13",2018-07-03,7,11,44,6,68
"14",2018-07-04,3,11,49,6,69
"15",2018-07-05,1,3,48,0,52
"16",2018-07-06,7,10,50,3,70
"17",2018-07-07,4,7,39,1,51
"18",2018-07-08,3,1,50,0,54
"19",2018-07-09,0,2,52,1,55
"20",2018-07-10,2,6,51,3,62
"21",2018-07-11,0,0,52,1,53
"22",2018-07-12,1,2,53,0,56
"23",2018-07-13,0,1,49,1,51
"24",2018-07-14,0,0,43,2,45
"25",2018-07-15,0,1,40,0,41
"26",2018-07-16,0,1,53,0,54
"27",2018-07-17,1,4,48,1,54
"28",2018-07-18,0,2,52,1,55
"29",2018-07-19,0,0,46,0,46
"30",2018-07-20,1,3,52,1,57
"31",2018-07-21,1,3,45,0,49
"32",2018-07-22,2,4,50,0,56
"33",2018-07-23,2,8,47,2,59
"34",2018-07-24,0,2,51,1,54
"35",2018-07-25,1,1,46,1,49
"36",2018-07-26,0,0,22,0,22
"37",2018-07-27,0,1,1,0,2
