"","Date","Low","Moderate","Regular","Unique","Total"
"1",2018-06-21,4,1,7,3,15
"2",2018-06-22,7,0,18,2,27
"3",2018-06-23,12,1,20,11,44
"4",2018-06-24,9,1,18,13,41
"5",2018-06-25,5,2,26,1,34
"6",2018-06-26,9,2,24,1,36
"7",2018-06-27,1,3,20,0,24
"8",2018-06-28,5,2,19,0,26
"9",2018-06-29,2,3,18,0,23
"10",2018-06-30,3,1,20,0,24
"11",2018-07-01,8,4,18,1,31
"12",2018-07-02,8,2,23,0,33
"13",2018-07-03,0,2,25,0,27
"14",2018-07-04,3,2,22,2,29
"15",2018-07-05,2,3,20,0,25
"16",2018-07-06,0,3,22,0,25
"17",2018-07-07,0,3,17,0,20
"18",2018-07-08,1,2,25,0,28
"19",2018-07-09,1,5,21,0,27
"20",2018-07-10,1,2,23,0,26
"21",2018-07-11,0,2,23,1,26
"22",2018-07-12,1,5,23,0,29
"23",2018-07-13,1,1,24,0,26
"24",2018-07-14,0,1,19,0,20
"25",2018-07-15,0,0,18,0,18
"26",2018-07-16,0,3,25,0,28
"27",2018-07-17,1,1,23,0,25
"28",2018-07-18,0,2,25,0,27
"29",2018-07-19,0,0,23,0,23
"30",2018-07-20,2,2,24,0,28
"31",2018-07-21,0,1,23,0,24
"32",2018-07-22,0,1,24,0,25
"33",2018-07-23,6,2,21,0,29
"34",2018-07-24,0,0,23,0,23
"35",2018-07-25,1,2,21,0,24
"36",2018-07-26,1,3,21,0,25
"37",2018-07-27,0,2,21,0,23
"38",2018-07-28,2,1,20,0,23
"39",2018-07-29,0,1,20,0,21
"40",2018-07-30,0,2,18,0,20
"41",2018-07-31,0,1,23,0,24
"42",2018-08-01,1,2,22,2,27
"43",2018-08-02,1,0,29,0,30
"44",2018-08-03,0,2,24,0,26
"45",2018-08-04,1,0,23,0,24
"46",2018-08-05,1,2,25,0,28
"47",2018-08-06,1,1,26,0,28
"48",2018-08-07,1,0,24,0,25
"49",2018-08-08,0,3,20,0,23
"50",2018-08-09,0,1,19,0,20
"51",2018-08-10,0,1,24,0,25
"52",2018-08-11,0,1,19,0,20
"53",2018-08-12,0,0,21,1,22
"54",2018-08-13,0,1,26,0,27
"55",2018-08-14,1,1,21,0,23
"56",2018-08-15,1,0,21,0,22
"57",2018-08-16,0,1,25,0,26
"58",2018-08-17,1,0,17,0,18
"59",2018-08-18,1,0,20,0,21
"60",2018-08-19,0,2,18,0,20
"61",2018-08-20,1,1,25,0,27
"62",2018-08-21,0,0,24,0,24
"63",2018-08-22,1,0,23,0,24
"64",2018-08-23,0,0,24,0,24
"65",2018-08-24,0,0,22,0,22
"66",2018-08-25,0,0,21,0,21
"67",2018-08-26,0,1,24,0,25
"68",2018-08-27,1,1,23,0,25
"69",2018-08-28,0,0,22,0,22
"70",2018-08-29,0,0,23,0,23
"71",2018-08-30,0,2,18,0,20
"72",2018-08-31,0,0,23,0,23
"73",2018-09-01,0,0,23,0,23
"74",2018-09-02,0,1,25,0,26
"75",2018-09-03,0,1,25,0,26
"76",2018-09-04,0,1,22,0,23
"77",2018-09-05,1,1,23,0,25
"78",2018-09-06,0,1,25,0,26
"79",2018-09-07,0,0,21,0,21
"80",2018-09-08,0,1,19,0,20
"81",2018-09-09,0,0,24,1,25
"82",2018-09-10,0,1,25,0,26
"83",2018-09-11,0,2,22,0,24
"84",2018-09-12,0,1,24,0,25
"85",2018-09-13,0,0,19,0,19
"86",2018-09-14,0,0,21,0,21
"87",2018-09-15,0,0,23,0,23
"88",2018-09-16,0,0,18,0,18
"89",2018-09-17,0,1,20,0,21
"90",2018-09-18,0,1,17,0,18
"91",2018-09-19,0,0,24,0,24
"92",2018-09-20,0,1,23,0,24
"93",2018-09-21,0,2,19,0,21
"94",2018-09-22,0,0,19,0,19
"95",2018-09-23,0,1,22,0,23
"96",2018-09-24,0,1,21,0,22
"97",2018-09-25,0,0,18,0,18
"98",2018-09-26,0,1,22,0,23
"99",2018-09-27,0,0,23,0,23
"100",2018-09-28,0,0,16,0,16
"101",2018-09-29,0,0,20,0,20
"102",2018-09-30,0,1,21,0,22
"103",2018-10-01,0,1,22,1,24
"104",2018-10-02,0,1,23,0,24
"105",2018-10-03,0,1,21,0,22
"106",2018-10-04,1,1,21,0,23
"107",2018-10-05,0,0,23,1,24
"108",2018-10-06,0,0,20,0,20
"109",2018-10-07,0,1,23,0,24
"110",2018-10-08,0,2,23,0,25
"111",2018-10-09,0,0,23,0,23
"112",2018-10-10,0,1,22,0,23
"113",2018-10-11,0,0,23,0,23
"114",2018-10-12,2,0,25,0,27
"115",2018-10-13,0,0,17,0,17
"116",2018-10-14,0,1,22,0,23
"117",2018-10-15,0,1,24,0,25
"118",2018-10-16,0,0,24,0,24
"119",2018-10-17,0,0,14,0,14
"120",2018-10-22,0,0,1,0,1
"121",2018-10-23,0,0,1,0,1
"122",2018-10-24,0,0,1,0,1
"123",2018-10-26,0,0,1,0,1
"124",2018-10-27,0,0,1,0,1
