"Week","WeeklyLPCD_2016","WeeklyLPCD_2017"
"01",NA,143.52
"02",NA,141.07
"03",NA,142.17
"04",NA,140.49
"05",NA,139.1
"06",NA,138.17
"07",NA,138.41
"08",NA,137.81
"09",NA,137.63
"10",NA,135.53
"11",142.97,133.4
"12",143.57,138.18
"13",144.75,136.92
"14",145.33,135.4
"15",145.69,136.33
"16",142.24,137.63
"17",138.59,137.27
"18",141.66,139.22
"19",140.47,138.26
"20",138.18,134.68
"21",138.17,136.38
"22",135.95,135.26
"23",137.38,134.99
"24",132.83,131.72
"25",136.64,134.53
"26",140.75,137.46
"27",143.25,133.51
"28",135.6,132.02
"29",136.65,135.76
"30",137.29,134.03
"31",139.23,134.19
"32",142.08,131.73
"33",140.84,131.74
"34",140.86,131.65
"35",140.79,130.45
"36",137.87,129.21
"37",142.1,124.53
"38",139.08,130.23
"39",139.51,NA
"40",137.76,NA
"41",139.62,NA
"42",137.18,NA
"43",134.79,NA
"44",136.31,NA
"45",138.17,NA
"46",136.15,NA
"47",136.07,NA
"48",135.38,NA
"49",132.85,NA
"50",130.8,NA
"51",130.5,NA
"52",137.83,NA
