"Date","Block","IndirectMasterMeters","IndirectSubMeters","IndirectNetConsumption","IndirectNetConsumptionRate","DirectMasterMeters","DirectSubMeters","DirectNetConsumption","DirectNetConsumptionRate","TotalMasterMeters","TotalNetConsumption","TotalNetConsumptionRate"
2017-11-26,"PG_B1",262111,258898,3213,1.2,78651,74933,3718,4.7,340762,6931,2
2017-11-26,"PG_B2",266523,275356,-8833,-3.3,67261,64702,2559,3.8,333784,-6274,-1.9
2017-11-26,"PG_B3",219839,217228,2611,1.2,58317,54786,3531,6.1,278156,6142,2.2
2017-11-26,"PG_B4",159251,155773,3478,2.2,53025,52315,710,1.3,212276,4188,2
2017-11-26,"PG_B5",233824,230786,3038,1.3,96419,92384,4035,4.2,330243,7073,2.1
2017-11-19,"PG_B1",292594,280278,12316,4.2,80571,78222,2349,2.9,373165,14665,3.9
2017-11-19,"PG_B2",296426,281190,15236,5.1,67497,64775,2722,4,363923,17958,4.9
2017-11-19,"PG_B3",228422,228312,110,0,61699,58886,2813,4.6,290121,2923,1
2017-11-19,"PG_B4",175352,171457,3895,2.2,55432,54795,637,1.1,230784,4532,2
2017-11-19,"PG_B5",244202,239314,4888,2,98094,94997,3097,3.2,342296,7985,2.3
2017-11-12,"PG_B1",293943,280015,13928,4.7,88244,86458,1786,2,382187,15714,4.1
2017-11-12,"PG_B2",285370,268046,17324,6.1,66208,63701,2507,3.8,351578,19831,5.6
2017-11-12,"PG_B3",4800,197063,-192263,-4005.5,63714,45064,18650,29.3,68514,-173613,-253.4
2017-11-12,"PG_B4",185653,171468,14185,7.6,55286,54677,609,1.1,240939,14794,6.1
2017-11-12,"PG_B5",244011,242048,1963,0.8,95602,92759,2843,3,339613,4806,1.4
2017-11-05,"PG_B1",280615,274939,5676,2,92863,90452,2411,2.6,373478,8087,2.2
2017-11-05,"PG_B2",287233,275447,11786,4.1,69362,66460,2902,4.2,356595,14688,4.1
2017-11-05,"PG_B3",167487,202349,-34862,-20.8,62700,46515,16185,25.8,230187,-18677,-8.1
2017-11-05,"PG_B4",186354,178946,7408,4,60211,59873,338,0.6,246565,7746,3.1
2017-11-05,"PG_B5",240977,237870,3107,1.3,93200,92417,783,0.8,334177,3890,1.2
2017-10-29,"PG_B1",298884,281763,17121,5.7,87326,84730,2596,3,386210,19717,5.1
2017-10-29,"PG_B2",297081,290466,6615,2.2,68980,66703,2277,3.3,366061,8892,2.4
2017-10-29,"PG_B3",225646,205481,20165,8.9,70064,42613,27451,39.2,295710,47616,16.1
2017-10-29,"PG_B4",185456,179603,5853,3.2,61404,60538,866,1.4,246860,6719,2.7
2017-10-29,"PG_B5",252006,251520,486,0.2,94498,92108,2390,2.5,346504,2876,0.8
2017-10-22,"PG_B1",352479,287081,65398,18.6,87238,83821,3417,3.9,439717,68815,15.6
2017-10-22,"PG_B2",295738,283810,11928,4,69970,67899,2071,3,365708,13999,3.8
2017-10-22,"PG_B3",238713,233835,4878,2,69946,52354,17592,25.2,308659,22470,7.3
2017-10-22,"PG_B4",189256,180264,8992,4.8,62318,61466,852,1.4,251574,9844,3.9
2017-10-22,"PG_B5",265833,260722,5111,1.9,102398,100149,2249,2.2,368231,7360,2
2017-10-15,"PG_B1",294337,289026,5311,1.8,84459,82129,2330,2.8,378796,7641,2
2017-10-15,"PG_B2",292433,283013,9420,3.2,69414,67408,2006,2.9,361847,11426,3.2
2017-10-15,"PG_B3",232422,233403,-981,-0.4,69376,65129,4247,6.1,301798,3266,1.1
2017-10-15,"PG_B4",190555,184133,6422,3.4,57179,56406,773,1.4,247734,7195,2.9
2017-10-15,"PG_B5",255740,256690,-950,-0.4,96300,94265,2035,2.1,352040,1085,0.3
2017-10-08,"PG_B1",289396,289510,-114,0,82091,80011,2080,2.5,371487,1966,0.5
2017-10-08,"PG_B2",305815,301177,4638,1.5,70336,68392,1944,2.8,376151,6582,1.7
2017-10-08,"PG_B3",233828,235659,-1831,-0.8,66834,62528,4306,6.4,300662,2475,0.8
2017-10-08,"PG_B4",188556,187830,726,0.4,58851,57938,913,1.6,247407,1639,0.7
2017-10-08,"PG_B5",260231,253779,6452,2.5,96399,94584,1815,1.9,356630,8267,2.3
2017-10-01,"PG_B1",288150,282661,5489,1.9,85494,82783,2711,3.2,373644,8200,2.2
2017-10-01,"PG_B2",305128,295134,9994,3.3,69016,66735,2281,3.3,374144,12275,3.3
2017-10-01,"PG_B3",242581,232404,10177,4.2,65620,60928,4692,7.2,308201,14869,4.8
2017-10-01,"PG_B4",196353,184544,11809,6,62455,61338,1117,1.8,258808,12926,5
2017-10-01,"PG_B5",261697,263245,-1548,-0.6,92799,90444,2355,2.5,354496,807,0.2
2017-09-24,"PG_B1",295059,288682,6377,2.2,89139,86814,2325,2.6,384198,8702,2.3
2017-09-24,"PG_B2",293080,282608,10472,3.6,65764,66700,-936,-1.4,358844,9536,2.7
2017-09-24,"PG_B3",246118,239806,6312,2.6,62634,58397,4237,6.8,308752,10549,3.4
2017-09-24,"PG_B4",193257,186040,7217,3.7,58740,60589,-1849,-3.1,251997,5368,2.1
2017-09-24,"PG_B5",259357,257001,2356,0.9,92499,92237,262,0.3,351856,2618,0.7
2017-09-17,"PG_B1",301409,284080,17329,5.7,90153,88149,2004,2.2,391562,19333,4.9
2017-09-17,"PG_B2",273224,271712,1512,0.6,69650,67558,2092,3,342874,3604,1.1
2017-09-17,"PG_B3",232735,236529,-3794,-1.6,65010,61072,3938,6.1,297745,144,0
2017-09-17,"PG_B4",189661,182972,6689,3.5,61264,60316,948,1.5,250925,7637,3
2017-09-17,"PG_B5",265053,262006,3047,1.1,98398,95606,2792,2.8,363451,5839,1.6
2017-09-10,"PG_B1",264786,279297,-14511,-5.5,102663,88105,14558,14.2,367449,47,0
2017-09-10,"PG_B2",279035,270407,8628,3.1,72790,69772,3018,4.1,351825,11646,3.3
2017-09-10,"PG_B3",243072,244151,-1079,-0.4,60820,57351,3469,5.7,303892,2390,0.8
2017-09-10,"PG_B4",187562,180113,7449,4,58540,57936,604,1,246102,8053,3.3
2017-09-10,"PG_B5",260689,257214,3475,1.3,96701,94808,1893,2,357390,5368,1.5
2017-09-03,"PG_B1",305133,282199,22934,7.5,88809,86529,2280,2.6,393942,25214,6.4
2017-09-03,"PG_B2",288962,276708,12254,4.2,71198,69084,2114,3,360160,14368,4
2017-09-03,"PG_B3",247380,243123,4257,1.7,61414,56994,4420,7.2,308794,8677,2.8
2017-09-03,"PG_B4",185251,177718,7533,4.1,57853,56808,1045,1.8,243104,8578,3.5
2017-09-03,"PG_B5",263612,261223,2389,0.9,96499,94032,2467,2.6,360111,4856,1.3
2017-08-27,"PG_B1",280856,283283,-2427,-0.9,95299,91639,3660,3.8,376155,1233,0.3
2017-08-27,"PG_B2",289182,278729,10453,3.6,68868,67762,1106,1.6,358050,11559,3.2
2017-08-27,"PG_B3",263809,246630,17179,6.5,68381,64644,3737,5.5,332190,20916,6.3
2017-08-27,"PG_B4",194954,189249,5705,2.9,58038,57084,954,1.6,252992,6659,2.6
2017-08-27,"PG_B5",265933,261918,4015,1.5,97012,92910,4102,4.2,362945,8117,2.2
2017-08-20,"PG_B1",291187,276366,14821,5.1,95567,93552,2015,2.1,386754,16836,4.4
2017-08-20,"PG_B2",289509,279673,9836,3.4,69000,66340,2660,3.9,358509,12496,3.5
2017-08-20,"PG_B3",242078,241364,714,0.3,69420,64684,4736,6.8,311498,5450,1.7
2017-08-20,"PG_B4",193755,186088,7667,4,61018,60156,862,1.4,254773,8529,3.3
2017-08-20,"PG_B5",263188,261996,1192,0.5,99986,96723,3263,3.3,363174,4455,1.2
2017-08-13,"PG_B1",283127,288955,-5828,-2.1,96723,94376,2347,2.4,379850,-3481,-0.9
2017-08-13,"PG_B2",285563,276948,8615,3,70338,68579,1759,2.5,355901,10374,2.9
2017-08-13,"PG_B3",250303,244510,5793,2.3,61000,57580,3420,5.6,311303,9213,3
2017-08-13,"PG_B4",178157,179933,-1776,-1,61970,60826,1144,1.8,240127,-632,-0.3
2017-08-13,"PG_B5",262753,257676,5077,1.9,95698,92728,2970,3.1,358451,8047,2.2
2017-08-06,"PG_B1",299884,296992,2892,1,101740,97104,4636,4.6,401624,7528,1.9
2017-08-06,"PG_B2",307985,282000,25985,8.4,67688,66129,1559,2.3,375673,27544,7.3
2017-08-06,"PG_B3",243806,244791,-985,-0.4,68268,63542,4726,6.9,312074,3741,1.2
2017-08-06,"PG_B4",194055,184297,9758,5,62904,61983,921,1.5,256959,10679,4.2
2017-08-06,"PG_B5",264697,265178,-481,-0.2,94701,92834,1867,2,359398,1386,0.4
2017-07-30,"PG_B1",299353,286242,13111,4.4,101297,95083,6214,6.1,400650,19325,4.8
2017-07-30,"PG_B2",296613,288228,8385,2.8,66434,64417,2017,3,363047,10402,2.9
2017-07-30,"PG_B3",246773,241764,5009,2,69469,65319,4150,6,316242,9159,2.9
2017-07-30,"PG_B4",201057,193881,7176,3.6,60599,59775,824,1.4,261656,8000,3.1
2017-07-30,"PG_B5",266027,263247,2780,1,96657,94114,2543,2.6,362684,5323,1.5
2017-07-23,"PG_B1",291135,284051,7084,2.4,94267,91923,2344,2.5,385402,9428,2.4
2017-07-23,"PG_B2",291800,285450,6350,2.2,69280,68861,419,0.6,361080,6769,1.9
2017-07-23,"PG_B3",245287,244088,1199,0.5,68907,63380,5527,8,314194,6726,2.1
2017-07-23,"PG_B4",206255,196590,9665,4.7,62261,61501,760,1.2,268516,10425,3.9
2017-07-23,"PG_B5",280666,277688,2978,1.1,100038,98020,2018,2,380704,4996,1.3
2017-07-16,"PG_B1",260734,273732,-12998,-5,96352,94389,1963,2,357086,-11035,-3.1
2017-07-16,"PG_B2",293244,282415,10829,3.7,70404,67909,2495,3.5,363648,13324,3.7
2017-07-16,"PG_B3",232702,234452,-1750,-0.8,74574,67017,7557,10.1,307276,5807,1.9
2017-07-16,"PG_B4",196954,186567,10387,5.3,58628,57464,1164,2,255582,11551,4.5
2017-07-16,"PG_B5",270542,269683,859,0.3,97699,95514,2185,2.2,368241,3044,0.8
2017-07-09,"PG_B1",292600,285619,6981,2.4,93921,91503,2418,2.6,386521,9399,2.4
2017-07-09,"PG_B2",286115,282801,3314,1.2,75774,72898,2876,3.8,361889,6190,1.7
