"site","block","service_point_sn","pub_cust_id","meter_sn","meter_type","supply","week","LastDayofWeek","WeeklyConsumption"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_31",2017-08-06,8087
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_32",2017-08-13,9679
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_33",2017-08-20,10455
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_34",2017-08-27,9663
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_35",2017-09-03,9511
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_36",2017-09-10,9855
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_37",2017-09-17,10272
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_38",2017-09-24,9835
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_39",2017-10-01,9433
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_40",2017-10-08,8761
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_41",2017-10-15,9482
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_42",2017-10-22,9322
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_43",2017-10-29,9366
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_44",2017-11-05,11682
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_45",2017-11-11,10172
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_31",2017-08-06,4881
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_32",2017-08-13,6708
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_33",2017-08-20,6868
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_34",2017-08-27,7097
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_35",2017-09-03,8004
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_36",2017-09-10,7953
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_37",2017-09-17,8495
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_38",2017-09-24,7167
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_39",2017-10-01,8349
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_40",2017-10-08,7732
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_41",2017-10-15,7264
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_42",2017-10-22,6390
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_43",2017-10-29,6623
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_44",2017-11-05,6681
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_45",2017-11-11,5313
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_31",2017-08-06,4179
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_32",2017-08-13,6571
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_33",2017-08-20,6134
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_34",2017-08-27,6614
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_35",2017-09-03,6331
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_36",2017-09-10,5561
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_37",2017-09-17,5166
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_38",2017-09-24,5096
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_39",2017-10-01,5009
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_40",2017-10-08,5944
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_41",2017-10-15,5013
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_42",2017-10-22,5566
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_43",2017-10-29,6065
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_44",2017-11-05,4410
"Punggol","PG_B1","3004478679","008901624745","WS500013A","SUB","Direct","2017_45",2017-11-11,3416
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_31",2017-08-06,5045
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_32",2017-08-13,6133
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_33",2017-08-20,5438
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_34",2017-08-27,5977
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_35",2017-09-03,5767
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_36",2017-09-10,6096
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_37",2017-09-17,5586
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_38",2017-09-24,6056
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_39",2017-10-01,6117
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_40",2017-10-08,5793
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_41",2017-10-15,5416
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_42",2017-10-22,5256
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_43",2017-10-29,5856
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_44",2017-11-05,5938
"Punggol","PG_B1","3004478696","008902859662","WS500019A","SUB","Indirect","2017_45",2017-11-11,4272
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_31",2017-08-06,4848
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_32",2017-08-13,5889
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_33",2017-08-20,5439
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_34",2017-08-27,5968
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_35",2017-09-03,5795
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_36",2017-09-10,5851
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_37",2017-09-17,5680
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_38",2017-09-24,5288
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_39",2017-10-01,5166
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_40",2017-10-08,5699
"Punggol","PG_B1","3004478713","008922996809","WS500025A","SUB","Indirect","2017_41",2017-10-15,5764
