"site","block","service_point_sn","pub_cust_id","meter_sn","meter_type","supply","week","LastDayofWeek","WeeklyConsumption","NetConsumption"
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_31","2017-08-06",8087,1920
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_32","2017-08-13",9679,2347
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_33","2017-08-20",10455,2015
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_34","2017-08-27",9663,3660
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_35","2017-09-03",9511,2280
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_36","2017-09-10",9855,14558
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_37","2017-09-17",10272,2004
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_38","2017-09-24",9835,2325
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_39","2017-10-01",9433,2711
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_40","2017-10-08",8761,2080
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_41","2017-10-15",9482,2330
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_42","2017-10-22",9322,3417
"Punggol","PG_B1","3004478638","008901750516","WS500001A","SUB","Direct","2017_43","2017-10-29",9366,2596
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_31","2017-08-06",4881,1920
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_32","2017-08-13",6708,2347
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_33","2017-08-20",6868,2015
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_34","2017-08-27",7097,3660
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_35","2017-09-03",8004,2280
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_36","2017-09-10",7953,14558
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_37","2017-09-17",8495,2004
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_38","2017-09-24",7167,2325
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_39","2017-10-01",8349,2711
"Punggol","PG_B1","3004478658","008921982651","WS500007A","SUB","Direct","2017_40","2017-10-08",7732,2080
