"week.end","WeeklyLPCD"
2016-03-20,141.83
2016-03-27,142.68
2016-04-03,143.51
2016-04-10,144.07
2016-04-17,144.38
2016-04-24,140.97
2016-05-01,137.71
2016-05-08,140.66
2016-05-15,139.41
2016-05-22,137.17
2016-05-29,137.06
2016-06-05,134.7
2016-06-12,136.22
2016-06-19,131.31
2016-06-26,135.11
2016-07-03,139.34
2016-07-10,142.01
2016-07-17,134.76
2016-07-24,135.32
2016-07-31,136.62
2016-08-07,138.32
2016-08-14,141.14
2016-08-21,139.84
2016-08-28,139.93
2016-09-04,139.8
2016-09-11,136.84
2016-09-18,141.17
2016-09-25,138.1
2016-10-02,138.54
2016-10-09,136.86
2016-10-16,138.45
2016-10-23,135.99
2016-10-30,133.68
2016-11-06,135.11
2016-11-13,136.9
2016-11-20,135.02
2016-11-27,134.94
2016-12-04,134.35
2016-12-11,131.43
2016-12-18,129.42
2016-12-25,129.16
2017-01-01,136.74
2017-01-08,142.27
2017-01-15,139.9
2017-01-22,140.94
2017-01-29,139.2
2017-02-05,137.52
2017-02-12,136.76
2017-02-19,137.05
2017-02-26,136.48
2017-03-05,136.6
2017-03-12,134.3
2017-03-19,132.38
2017-03-26,137.17
2017-04-02,135.91
2017-04-09,134.43
2017-04-16,135.18
2017-04-23,136.27
2017-04-30,135.61
2017-05-07,137.55
2017-05-14,136.37
2017-05-21,133.1
2017-05-28,135.08
2017-06-04,133.93
2017-06-11,133.76
2017-06-18,130.74
2017-06-25,133.64
2017-07-02,136.4
2017-07-09,132.31
2017-07-16,130.56
2017-07-23,134.25
2017-07-30,132.49
2017-08-06,132.66
2017-08-13,130.31
2017-08-20,130.37
2017-08-27,131.05
2017-09-03,129.28
2017-09-10,128.87
2017-09-17,129.05
2017-09-24,129.99
2017-10-01,129.56
2017-10-08,130.37
2017-10-15,129.18
2017-10-22,130.67
2017-10-29,128.7
2017-11-05,128.86
2017-11-12,127.07
2017-11-19,128.31
2017-11-26,122.87
2017-12-03,125.76
2017-12-10,123.25
2017-12-17,122.39
2017-12-24,120.8
2017-12-31,126.01
2018-01-07,131.74
2018-01-14,124.88
2018-01-21,128.38
2018-01-28,128.56
2018-02-04,129.41
2018-02-11,131.63
2018-02-18,134.17
2018-02-25,129.37
2018-03-04,129.45
2018-03-11,127.88
2018-03-18,128.48
2018-03-25,128.8
2018-04-01,127.15
2018-04-08,130.15
2018-04-15,130.98
2018-04-22,129.19
2018-04-29,129.98
2018-05-06,134.87
2018-05-13,133.2
2018-05-20,134.28
2018-05-27,137.17
2018-06-03,128.8
2018-06-10,135.92
2018-06-17,137.89
2018-06-24,147.19
2018-07-01,120.42
