"","service_point_sn","block","floor","unit","room_type","site","meter_type","interpolated_consumption","adjusted_consumption","date_consumption"
"1","3003288200","YH_B1","#07","283","HDB05","Yuhua","SUB",0,0,2018-08-15 00:00:00
"2","3003288200","YH_B1","#07","283","HDB05","Yuhua","SUB",0,0,2018-08-15 01:00:00
"3","3003288200","YH_B1","#07","283","HDB05","Yuhua","SUB",0,0,2018-08-15 02:00:00
"4","3003288200","YH_B1","#07","283","HDB05","Yuhua","SUB",0,0,2018-08-15 03:00:00
"5","3003288200","YH_B1","#07","283","HDB05","Yuhua","SUB",0,0,2018-08-15 04:00:00
"6","3003288200","YH_B1","#07","283","HDB05","Yuhua","SUB",0,0,2018-08-15 05:00:00
"7","3003288200","YH_B1","#07","283","HDB05","Yuhua","SUB",0,0,2018-08-15 06:00:00
"8","3003288200","YH_B1","#07","283","HDB05","Yuhua","SUB",0,0,2018-08-15 07:00:00
"9","3003288200","YH_B1","#07","283","HDB05","Yuhua","SUB",0,0,2018-08-15 08:00:00
"10","3003288200","YH_B1","#07","283","HDB05","Yuhua","SUB",0,0,2018-08-15 09:00:00
"11","3003288200","YH_B1","#07","283","HDB05","Yuhua","SUB",0,0,2018-08-15 10:37:00
