,service_point_sn,meter_sn,MinCons_60,start_date,end_date,status,duration,severity
1,3000979395,VR500472,2,5/21/2018,NA,Open,3,Moderate
2,3000977039,VR500474,3,5/3/2018,NA,Open,21,Severe
3,3001048273,VR500603,3,4/13/2018,NA,Open,41,Severe
4,3001049844,VR500604,3,5/12/2018,NA,Open,12,Severe
5,3001051666,VR500605,3,4/3/2018,NA,Open,51,Severe
6,3003484740,VR500621,5,4/25/2018,NA,Open,29,Severe
7,3003487432,VR500624,5,4/3/2018,NA,Open,51,Severe
8,3003483600,VR500643,9,4/3/2018,NA,Open,51,Severe
9,3003483644,VR500659,9,4/3/2018,NA,Open,51,Severe
10,3003487410,VR500679,24,5/23/2018,NA,Open,1,Severe
11,3003483683,VR500683,8,4/3/2018,NA,Open,51,Severe
12,3003486270,VR500686,3,4/3/2018,NA,Open,51,Severe
13,3001106983,VR500816,3,4/3/2018,NA,Open,51,Severe
14,3001103428,VR500825,1,4/3/2018,NA,Open,51,Severe
15,3001098882,VR500834,1,5/4/2018,NA,Open,20,Severe
16,3003506321,VR500847,1,4/28/2018,NA,Open,26,Severe
17,3003506940,VR500869,5,4/3/2018,NA,Open,51,Severe
18,3003506959,VR500878,1,4/18/2018,NA,Open,36,Severe
19,3003508719,VR500880,18,5/7/2018,NA,Open,17,Critical
20,3003508756,VR500898,1,5/19/2018,NA,Open,5,Severe
21,3003502654,VR500899,9,4/7/2018,NA,Open,47,Severe
22,3003508795,VR500914,10,4/24/2018,NA,Open,30,Critical
23,3000703248,VR501958,4,5/17/2018,NA,Open,7,Severe
24,3000705658,VR501960,2,4/17/2018,NA,Open,37,Severe
25,3000704497,VR501967,2,4/3/2018,NA,Open,51,Severe
26,3000703292,VR501974,4,5/19/2018,NA,Open,5,Severe
27,3003304978,VR501979,11,5/9/2018,NA,Open,15,Critical
28,3003303751,VR501993,1,4/3/2018,NA,Open,51,Severe
29,3003307258,VR501999,9,4/10/2018,NA,Open,44,Severe
30,3003303762,VR502001,3,4/3/2018,NA,Open,51,Severe
31,3003305335,VR502003,1,4/3/2018,NA,Open,51,Severe
32,3003306043,VR502004,19,4/14/2018,NA,Open,40,Critical
33,3003306635,VR502021,2,4/3/2018,NA,Open,51,Severe
34,3003304336,VR502025,2,5/19/2018,NA,Open,5,Severe
35,3000673213,VR502748,3,4/3/2018,NA,Open,51,Severe
36,3003286947,VR502817,3,5/3/2018,NA,Open,21,Severe
37,3000842566,VR503124,1,5/23/2018,NA,Open,1,Moderate
38,3000853511,VR503132,5,4/3/2018,NA,Open,51,Severe
39,3000839789,VR503142,4,4/27/2018,NA,Open,27,Severe
40,3003365310,VR503170,1,4/21/2018,NA,Open,33,Severe
