,service_point_sn,meter_sn,MinCons_60,start_date,end_date,status,duration,severity,block,floor,unit
1,3000979395,VR500472,2,5/19/2018,NA,Open,16,Severe,YH_B3,#01,909
2,3001048273,VR500603,3,4/11/2018,NA,Open,54,Severe,YH_B4,#02,809
3,3001051666,VR500605,3,4/1/2018,NA,Open,64,Severe,YH_B4,#02,813
4,3001053298,VR500606,1,5/28/2018,NA,Open,7,Severe,YH_B4,#02,815
5,3003484740,VR500621,5,4/23/2018,NA,Open,42,Severe,YH_B4,#04,813
6,3003487432,VR500624,5,4/1/2018,NA,Open,64,Severe,YH_B4,#04,819
7,3003483600,VR500643,9,4/1/2018,NA,Open,64,Severe,YH_B4,#07,809
8,3003483644,VR500659,9,4/1/2018,NA,Open,64,Severe,YH_B4,#09,809
9,3003486232,VR500670,4,5/26/2018,NA,Open,9,Severe,YH_B4,#10,815
10,3003483683,VR500683,8,4/1/2018,NA,Open,64,Severe,YH_B4,#12,809
11,3003486270,VR500686,3,4/1/2018,NA,Open,64,Severe,YH_B4,#12,815
12,3001103428,VR500825,1,4/1/2018,NA,Open,64,Severe,YH_B5,#02,759
13,3001098882,VR500834,1,5/2/2018,NA,Open,33,Severe,YH_B5,#03,753
14,3003506321,VR500847,1,4/26/2018,NA,Open,39,Severe,YH_B5,#04,755
15,3003506940,VR500869,5,4/1/2018,NA,Open,64,Severe,YH_B5,#06,757
16,3003508719,VR500880,18,5/5/2018,NA,Open,30,Critical,YH_B5,#07,761
17,3003505641,VR500885,1,5/26/2018,NA,Open,9,Severe,YH_B5,#08,753
18,3003508756,VR500898,1,5/25/2018,NA,Open,10,Severe,YH_B5,#09,761
19,3003502654,VR500899,9,4/5/2018,NA,Open,60,Severe,YH_B5,#10,745
20,3003508795,VR500914,10,4/22/2018,NA,Open,43,Critical,YH_B5,#11,757
21,3003368424,VR500970,1,5/26/2018,NA,Open,9,Severe,YH_B2,#10,419
22,3000703248,VR501958,4,5/15/2018,NA,Open,20,Severe,YH_B6,#03,310
23,3000705658,VR501960,2,4/15/2018,NA,Open,50,Severe,YH_B6,#03,314
24,3000703260,VR501966,1,5/27/2018,NA,Open,8,Severe,YH_B6,#04,310
25,3000704497,VR501967,2,4/1/2018,NA,Open,64,Severe,YH_B6,#04,312
26,3000703292,VR501974,4,5/17/2018,NA,Open,18,Severe,YH_B6,#05,310
27,3003304978,VR501979,11,5/7/2018,NA,Open,28,Critical,YH_B6,#06,304
28,3003303751,VR501993,1,4/1/2018,NA,Open,64,Severe,YH_B6,#08,300
29,3003307258,VR501999,9,4/8/2018,NA,Open,57,Severe,YH_B6,#08,312
30,3003303762,VR502001,3,4/1/2018,NA,Open,64,Severe,YH_B6,#09,300
31,3003305335,VR502003,1,4/1/2018,NA,Open,64,Severe,YH_B6,#09,304
32,3003306043,VR502004,19,4/12/2018,NA,Open,53,Critical,YH_B6,#09,306
33,3003306635,VR502021,2,4/1/2018,NA,Open,64,Severe,YH_B6,#11,308
34,3003304336,VR502025,2,5/17/2018,NA,Open,18,Severe,YH_B6,#12,300
35,3000725041,VR502154,1,5/24/2018,NA,Open,11,Severe,YH_B7,#04,392
36,3000673213,VR502748,3,4/1/2018,NA,Open,64,Severe,YH_B1,#03,287
37,3003289696,VR502751,1,5/27/2018,NA,Open,8,Severe,YH_B1,#04,285
38,3003286319,VR502777,42,6/1/2018,NA,Open,3,Severe,YH_B1,#11,281
39,3000853511,VR503132,5,4/1/2018,NA,Open,64,Severe,YH_B2,#03,437
40,3000839789,VR503142,4,4/25/2018,NA,Open,40,Severe,YH_B2,#04,417
41,3003365310,VR503170,1,4/19/2018,NA,Open,46,Severe,YH_B2,#06,409
42,3003367728,VR503175,1,5/24/2018,NA,Open,11,Severe,YH_B2,#06,419
