"","service_point_sn","block","floor","unit","meter_sn","MinCons_60","start_date","end_date","status"
"1","3000977039","YH_B3","#02","901","VR500474",11,"2018-05-03",NA,"Open"
"2","3001048273","YH_B4","#02","809","VR500603",3,"2018-04-13",NA,"Open"
"3","3001051666","YH_B4","#02","813","VR500605",3,"2018-04-03",NA,"Open"
"4","3003483046","YH_B4","#04","809","VR500619",92,"2018-04-24",NA,"Open"
"5","3003484740","YH_B4","#04","813","VR500621",5,"2018-04-25",NA,"Open"
"6","3003487432","YH_B4","#04","819","VR500624",5,"2018-04-03",NA,"Open"
"7","3003483600","YH_B4","#07","809","VR500643",9,"2018-04-03",NA,"Open"
"8","3003483644","YH_B4","#09","809","VR500659",9,"2018-04-03",NA,"Open"
"9","3003483683","YH_B4","#12","809","VR500683",8,"2018-04-03",NA,"Open"
"10","3003486270","YH_B4","#12","815","VR500686",3,"2018-04-03",NA,"Open"
"11","3001106983","YH_B5","#01","765","VR500816",3,"2018-04-03",NA,"Open"
"12","3001098844","YH_B5","#02","753","VR500822",1,"2018-05-10",NA,"Open"
"13","3001103428","YH_B5","#02","759","VR500825",1,"2018-04-03",NA,"Open"
"14","3001098882","YH_B5","#03","753","VR500834",1,"2018-05-04",NA,"Open"
"15","3003506321","YH_B5","#04","755","VR500847",1,"2018-04-28",NA,"Open"
"16","3003506940","YH_B5","#06","757","VR500869",5,"2018-04-03",NA,"Open"
"17","3003506959","YH_B5","#07","757","VR500878",1,"2018-04-18",NA,"Open"
"18","3003508719","YH_B5","#07","761","VR500880",18,"2018-05-07",NA,"Open"
"19","3003502654","YH_B5","#10","745","VR500899",9,"2018-04-07",NA,"Open"
"20","3003508795","YH_B5","#11","757","VR500914",10,"2018-04-24",NA,"Open"
"21","3000705658","YH_B6","#03","314","VR501960",2,"2018-04-17",NA,"Open"
"22","3000704497","YH_B6","#04","312","VR501967",2,"2018-04-03",NA,"Open"
"23","3003304978","YH_B6","#06","304","VR501979",11,"2018-05-09",NA,"Open"
"24","3003303751","YH_B6","#08","300","VR501993",1,"2018-04-03",NA,"Open"
"25","3003307258","YH_B6","#08","312","VR501999",9,"2018-04-10",NA,"Open"
"26","3003303762","YH_B6","#09","300","VR502001",3,"2018-04-03",NA,"Open"
"27","3003305335","YH_B6","#09","304","VR502003",1,"2018-04-03",NA,"Open"
"28","3003306043","YH_B6","#09","306","VR502004",19,"2018-04-14",NA,"Open"
"29","3003306635","YH_B6","#11","308","VR502021",2,"2018-04-03",NA,"Open"
"30","3003304336","YH_B6","#12","300","VR502025",1,"2018-04-29",NA,"Open"
"31","3000834326","YH_B2","#03","409","VR502035",1,"2018-05-11",NA,"Open"
"32","3000673213","YH_B1","#03","287","VR502748",3,"2018-04-03",NA,"Open"
"33","3003286319","YH_B1","#11","281","VR502777",4,"2018-04-03",NA,"Open"
"34","3003286947","YH_B1","#21","281","VR502817",3,"2018-05-03",NA,"Open"
"35","3000977267","YH_B3","#03","903","VR502893",1,"2018-05-10",NA,"Open"
"36","3000836671","YH_B2","#02","413","VR503106",2,"2018-05-03",NA,"Open"
"37","3000853511","YH_B2","#03","437","VR503132",5,"2018-04-03",NA,"Open"
"38","3000839789","YH_B2","#04","417","VR503142",4,"2018-04-27",NA,"Open"
"39","3003365310","YH_B2","#06","409","VR503170",1,"2018-04-21",NA,"Open"
"40","3003367728","YH_B2","#06","419","VR503175",2,"2018-04-03",NA,"Open"
