"service_point_sn","meter_sn","block","supply","floor","unit","site","StartDate","EndDate","Duration","online_status","Comments"
"3001091101","VR500830","YH_B5",NA,"#03","745","Yuhua",2018-05-02,2018-10-28,180,"INACTIVE",""
"3003289656","VR502830","YH_B1",NA,"#24","283","Yuhua",2018-05-02,2018-10-28,180,"INACTIVE",""
"3003370747","VR503191","YH_B2",NA,"#07","427","Yuhua",2018-05-02,2018-10-28,180,"INACTIVE",""
"3004521383","WS500142A","PG_B2","Indirect","#11","429","Punggol",2018-05-02,2018-10-28,180,"INACTIVE","neighbour says he uses as storeroom"
"3005448459","WS500374A","PG_B4","Indirect","#14","825","Punggol",2018-05-02,2018-10-28,180,"ACTIVE",""
"3100250242","WS500537A","PG_B3","Indirect","#16","402","Punggol",2018-05-02,2018-10-28,180,"INACTIVE",""
"3000850429","VR503129","YH_B2",NA,"#03","431","Yuhua",2018-05-31,2018-10-28,151,"INACTIVE",""
"3003289134","VR502798","YH_B1",NA,"#16","283","Yuhua",2018-06-03,2018-10-28,148,"INACTIVE",""
"3003484444","VR500644","YH_B4",NA,"#07","811","Yuhua",2018-06-03,2018-10-28,148,"INACTIVE",""
"3003287650","VR502754","YH_B1",NA,"#05","283","Yuhua",2018-06-08,2018-10-28,143,"INACTIVE",""
"3003306613","VR501997","YH_B6",NA,"#08","308","Yuhua",2018-06-08,2018-10-28,143,"INACTIVE",""
"3003290232","VR502763","YH_B1",NA,"#07","285","Yuhua",2018-06-11,2018-10-28,140,"INACTIVE",""
"3003306091","VR501981","YH_B6",NA,"#06","308","Yuhua",2018-06-13,2018-10-28,138,"INACTIVE",""
"3003289156","VR502806","YH_B1",NA,"#18","283","Yuhua",2018-06-15,2018-10-28,136,"INACTIVE",""
"3003290249","VR502767","YH_B1",NA,"#08","285","Yuhua",2018-06-15,2018-10-28,136,"INACTIVE",""
"3003484437","VR500636","YH_B4",NA,"#06","811","Yuhua",2018-06-15,2018-10-28,136,"INACTIVE",""
"3003289601","VR502818","YH_B1",NA,"#21","283","Yuhua",2018-06-17,2018-10-28,134,"INACTIVE",""
"3003290278","VR502771","YH_B1",NA,"#09","285","Yuhua",2018-06-17,2018-10-28,134,"INACTIVE",""
"3003290828","VR502787","YH_B1",NA,"#13","285","Yuhua",2018-06-17,2018-10-28,134,"INACTIVE",""
"3003290878","VR502795","YH_B1",NA,"#15","285","Yuhua",2018-06-17,2018-10-28,134,"INACTIVE",""
"3003292110","VR502835","YH_B1",NA,"#25","285","Yuhua",2018-06-17,2018-10-28,134,"INACTIVE",""
"3003486280","VR500623","YH_B4",NA,"#04","817","Yuhua",2018-06-17,2018-10-28,134,"INACTIVE",""
"3003488064","VR500633","YH_B4",NA,"#05","821","Yuhua",2018-06-17,2018-10-28,134,"INACTIVE",""
"3003489377","VR500658","YH_B4",NA,"#08","823","Yuhua",2018-06-17,2018-10-28,134,"INACTIVE",""
"3003306632","VR502013","YH_B6",NA,"#10","308","Yuhua",2018-06-18,2018-10-28,133,"INACTIVE",""
"3003485784","VR500638","YH_B4",NA,"#06","815","Yuhua",2018-06-18,2018-10-28,133,"INACTIVE",""
"3003488631","VR502411","YH_B4",NA,"#10","821","Yuhua",2018-06-18,2018-10-28,133,"INACTIVE",""
"3003303762","VR502001","YH_B6",NA,"#09","300","Yuhua",2018-08-07,2018-10-28,83,"INACTIVE",""
"3000661348","VR502741","YH_B1",NA,"#02","281","Yuhua",2018-08-08,2018-10-28,82,"INACTIVE",""
"3100249950","WS500183A","PG_B3","Direct","#03","394","Punggol",2018-08-20,2018-10-28,70,"INACTIVE",""
"3100159543","WS500525A","PG_B5","Indirect","#18","322","Punggol",2018-09-17,2018-10-28,42,"INACTIVE",""
"3000847300","VR503147","YH_B2",NA,"#04","427","Yuhua",2018-09-21,2018-10-28,38,"INACTIVE",""
"3003303737","VR501985","YH_B6",NA,"#07","300","Yuhua",2018-09-21,2018-10-28,38,"INACTIVE",""
