"id","code","family_id","results","special_challenge_options","challenge_start_date","challenge_end_date","created_date","updated_date","status"
272,"S04",282,"AVAILABLE",NA,2017-09-05,2017-12-05,2017-09-05 15:00:03,2017-09-05 15:00:03,"-"
302,"S02",123,"AVAILABLE","293",2017-10-02,NA,2017-10-02 09:38:52,2017-10-02 09:38:52,"-"
303,"S02",51,"AVAILABLE","288",2017-10-02,NA,2017-10-02 09:38:52,2017-10-02 09:38:52,"-"
276,"S02",31,"SUCCESS","96",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
277,"S02",1807,"SUCCESS","103",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
278,"S02",49,"SUCCESS","105",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
279,"S02",33,"SUCCESS","127",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
280,"S02",51,"SUCCESS","134",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
281,"S02",51,"SUCCESS","135",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
282,"S02",34,"SUCCESS","139",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
283,"S02",31,"SUCCESS","97",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
284,"S02",82,"SUCCESS","144",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
285,"S02",11,"SUCCESS","146",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
286,"S02",35,"SUCCESS","153",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
287,"S02",1777,"SUCCESS","160",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
288,"S02",1777,"SUCCESS","161",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
289,"S02",539,"SUCCESS","172",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
290,"S02",322,"SUCCESS","235",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
291,"S02",422,"SUCCESS","249",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
292,"S02",422,"SUCCESS","250",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
293,"S02",475,"SUCCESS","265",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
294,"S02",11,"SUCCESS","147",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
295,"S02",1777,"SUCCESS","283",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
296,"S02",31,"SUCCESS","284",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
297,"S02",96,"SUCCESS","282",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
298,"S02",1798,"AVAILABLE","286",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
300,"S02",282,"SUCCESS","280",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
301,"S02",51,"SUCCESS","285",2017-09-19,NA,2017-09-19 15:22:40,2017-09-19 15:22:40,NA
299,"S02",430,"SUCCESS","287",2017-09-19,NA,2017-09-19 15:22:40,2017-09-30 15:00:12,NA
44,"S03",1773,"SUCCESS",NA,2017-05-01,2017-08-01,2017-05-01 15:00:02,2017-09-05 15:00:03,NA
66,"S03",304,"SUCCESS",NA,2017-05-08,2017-08-08,2017-05-08 15:00:03,2017-09-05 15:00:03,NA
