"week_number","block","TotalActualConsumption","TotalForecastedConsumption"
"2016_43","PG_B1",388586,390331
"2016_43","PG_B2",351881,363258
"2016_43","PG_B3",266424,264716
"2016_43","PG_B4",244475,247600
"2016_43","PG_B5",392055,394381
"2016_43","YH_B1",780,954
"2016_44","PG_B1",395770,384999
"2016_44","PG_B2",365836,353336
"2016_44","PG_B3",268984,266816
"2016_44","PG_B4",246664,245966
"2016_44","PG_B5",384556,393467
"2016_44","YH_B1",975,1034
"2016_45","PG_B1",398523,385651
"2016_45","PG_B2",366399,358831
"2016_45","PG_B3",268496,267194
"2016_45","PG_B4",262376,252558
"2016_45","PG_B5",388944,389008
"2016_45","YH_B1",2107,1010
"2016_46","PG_B1",399593,391597
"2016_46","PG_B2",361540,362452
"2016_46","PG_B3",265125,268812
"2016_46","PG_B4",248460,256777
"2016_46","PG_B5",386411,391764
"2016_46","YH_B1",1289,1146
"2016_47","PG_B1",390120,388845
"2016_47","PG_B2",360086,353305
"2016_47","PG_B3",278204,265182
"2016_47","PG_B4",249871,252660
"2016_47","PG_B5",382236,393602
"2016_47","YH_B1",1158,1193
"2016_48","PG_B1",400740,394424
"2016_48","PG_B2",358551,361920
"2016_48","PG_B3",282050,270460
"2016_48","PG_B4",243100,252707
"2016_48","PG_B5",372840,380823
"2016_48","YH_B1",1522,1121
"2016_49","PG_B1",396143,391534
"2016_49","PG_B2",343851,347978
"2016_49","PG_B3",270526,271178
"2016_49","PG_B4",237747,246551
"2016_49","PG_B5",375507,384099
"2016_49","YH_B1",1916,1016
"2016_50","PG_B1",365956,389990
"2016_50","PG_B2",328232,359641
"2016_50","PG_B3",253586,265824
"2016_50","PG_B4",247110,245898
"2016_50","PG_B5",348418,376875
"2016_50","YH_B1",1275,1390
"2016_51","PG_B1",357712,388811
"2016_51","PG_B2",324931,346350
"2016_51","PG_B3",267092,271224
"2016_51","PG_B4",247781,247064
"2016_51","PG_B5",348711,370591
"2016_51","YH_B1",1317,1325
"2016_52","PG_B1",400238,380024
"2016_52","PG_B2",348265,348241
"2016_52","PG_B3",282929,280999
"2016_52","PG_B4",276580,256243
"2016_52","PG_B5",378868,363594
"2016_52","YH_B1",1235,1507
"2017_01","PG_B1",405852,404184
"2017_01","PG_B2",351515,361640
"2017_01","PG_B3",284698,275548
"2017_01","PG_B4",262321,258951
"2017_01","PG_B5",390168,379709
"2017_01","YH_B1",1402,1248
"2017_02","PG_B1",394984,408491
"2017_02","PG_B2",352512,366298
"2017_02","PG_B3",271568,278062
"2017_02","PG_B4",250362,258192
"2017_02","PG_B5",387513,397298
"2017_02","YH_B1",1294,1416
"2017_03","PG_B1",392624,401177
"2017_03","PG_B2",353996,363420
"2017_03","PG_B3",276403,274659
"2017_03","PG_B4",250461,253728
"2017_03","PG_B5",392332,394638
"2017_03","YH_B1",1470,1330
"2017_04","PG_B1",391126,395752
"2017_04","PG_B2",353163,359214
"2017_04","PG_B3",284444,277130
"2017_04","PG_B4",254739,253268
"2017_04","PG_B5",383929,399670
"2017_04","YH_B1",788,1484
"2017_05","PG_B1",384311,401834
"2017_05","PG_B2",349790,359088
"2017_05","PG_B3",268145,284965
"2017_05","PG_B4",240908,249696
"2017_05","PG_B5",385114,387044
"2017_05","YH_B1",358,1152
"2017_06","PG_B1",385721,396710
"2017_06","PG_B2",352170,365475
"2017_06","PG_B3",265888,273792
"2017_06","PG_B4",240033,249544
"2017_06","PG_B5",370096,397947
"2017_06","YH_B1",471,1106
"2017_07","PG_B1",409042,387236
"2017_07","PG_B2",361208,367601
"2017_07","PG_B3",280863,280755
"2017_07","PG_B4",245630,242149
"2017_07","PG_B5",386679,386985
"2017_07","YH_B1",963,1163
"2017_08","PG_B1",405632,398359
"2017_08","PG_B2",368282,365698
"2017_08","PG_B3",281605,276596
"2017_08","PG_B4",236066,244727
"2017_08","PG_B5",384070,382395
"2017_08","YH_B1",1367,1125
"2017_09","PG_B1",400703,404151
"2017_09","PG_B2",359379,365912
"2017_09","PG_B3",279813,277106
"2017_09","PG_B4",252178,243636
"2017_09","PG_B5",383091,383954
"2017_09","YH_B1",1530,1270
"2017_10","PG_B1",392391,400641
"2017_10","PG_B2",362605,357081
"2017_10","PG_B3",279218,279671
"2017_10","PG_B4",233417,243667
"2017_10","PG_B5",378561,377597
"2017_10","YH_B1",1491,1424
"2017_11","PG_B1",384147,399000
"2017_11","PG_B2",347383,358288
"2017_11","PG_B3",273552,278461
"2017_11","PG_B4",241544,241881
"2017_11","PG_B5",378456,382142
"2017_11","YH_B1",1277,1387
"2017_12","PG_B1",414160,393013
"2017_12","PG_B2",366359,367621
"2017_12","PG_B3",273368,277140
"2017_12","PG_B4",240590,245504
"2017_12","PG_B5",389008,383824
"2017_12","YH_B1",1824,1311
"2017_13","PG_B1",410734,408254
"2017_13","PG_B2",361224,378331
"2017_13","PG_B3",279060,275489
"2017_13","PG_B4",231783,247193
"2017_13","PG_B5",384969,383945
"2017_13","YH_B1",1286,1437
"2017_14","PG_B1",413558,422266
"2017_14","PG_B2",366139,388817
"2017_14","PG_B3",274139,276334
"2017_14","PG_B4",244462,244961
"2017_14","PG_B5",382260,385533
"2017_14","YH_B1",1318,1367
"2017_15","PG_B1",418706,418263
"2017_15","PG_B2",381429,386854
"2017_15","PG_B3",274562,271749
"2017_15","PG_B4",253712,237252
"2017_15","PG_B5",368399,391735
"2017_15","YH_B1",1641,1362
"2017_16","PG_B1",435765,422816
"2017_16","PG_B2",366785,390849
"2017_16","PG_B3",269501,282306
"2017_16","PG_B4",252089,249930
"2017_16","PG_B5",374655,381477
"2017_16","YH_B1",1370,1398
"2017_17","PG_B1",399166,432414
"2017_17","PG_B2",357404,386415
"2017_17","PG_B3",273479,275784
"2017_17","PG_B4",226966,251610
"2017_17","PG_B5",348403,377206
"2017_17","YH_B1",1178,1312
