"","id_family","pub_cust_id","created_at","is_active"
"1",2211,"007015805808",2018-07-26 20:28:15,TRUE
"2",92,"008904667337",2017-06-17 17:01:09,TRUE
"3",1966,"008936727588",2018-07-21 18:16:16,TRUE
"4",2210,"007015804712",2018-07-23 15:01:06,TRUE
"5",160,"008901396823",2017-06-12 22:28:42,TRUE
"6",2228,"007015801608",2018-07-26 19:28:55,TRUE
"7",2016,"008925528062",2018-07-31 15:26:02,TRUE
"8",1948,"007013612700",2018-08-01 10:48:03,TRUE
"9",137,"008906505691",2017-06-13 20:53:28,TRUE
"10",2462,"008938166421",2018-07-28 20:41:35,TRUE
"11",75,"008930194868",2017-06-10 10:42:07,TRUE
"12",2263,"008924928024",2018-07-21 13:02:44,TRUE
"13",161,"008922747517",2017-06-23 09:19:42,TRUE
"14",2468,"008938303743",2018-07-23 13:34:43,TRUE
"15",82,"008901625007",2017-06-17 15:18:24,TRUE
"16",88,"008922445740",2017-06-10 19:57:50,TRUE
"17",1935,"008930924967",2018-07-29 22:43:48,TRUE
"18",1944,"008917878780",2018-07-25 07:03:42,TRUE
"19",77,"008903619289",2017-06-10 11:05:27,TRUE
"20",167,"008901393457",2017-06-12 19:03:21,TRUE
"21",2004,"008934230700",2018-08-03 08:00:45,TRUE
"22",288,"008927616584",2017-06-13 11:09:27,TRUE
"23",1980,"008916183570",2018-07-18 23:17:25,TRUE
"24",2256,"007015803007",2018-07-26 20:52:41,TRUE
"25",167,"008901393457",2017-06-15 14:54:41,TRUE
"26",206,"008927298839",2017-06-09 19:28:39,TRUE
"27",1963,"007013611305",2018-07-02 10:01:44,TRUE
"28",2460,"008938291260",2018-07-22 18:23:46,TRUE
"29",2198,"007015804607",2018-07-26 19:34:23,TRUE
"30",1946,"008911443466",2018-07-31 15:46:13,TRUE
"31",2193,"007015810909",2018-07-26 20:06:25,TRUE
"32",2192,"00-701581050",2018-07-20 14:04:50,TRUE
"33",2009,"008928237810",2018-07-24 13:02:59,TRUE
"34",2011,"008937305384",2018-07-18 21:20:32,TRUE
"35",2273,"007015802124",2018-07-29 22:48:07,TRUE
"36",2246,"007015801802",2018-07-05 21:16:51,TRUE
"37",2282,"008930314342",2018-07-19 14:34:27,TRUE
"38",2288,"007015808807",2018-07-10 17:51:08,TRUE
"39",2412,"008936862443",2018-04-28 08:30:47,TRUE
"40",2399,"008931916145",2018-07-17 13:24:56,TRUE
"41",2250,"008920534859",2018-07-10 08:33:28,TRUE
"42",267,"008930725307",2017-06-10 12:14:21,TRUE
"43",464,"008923640273",2018-07-04 07:43:16,TRUE
"44",2231,"008900033401",2018-07-04 17:39:57,TRUE
"45",2191,"007015810100",2018-07-26 19:36:21,TRUE
"46",1978,"007013607502",2018-07-01 10:14:41,TRUE
"47",2258,"008902577199",2018-07-03 12:39:34,TRUE
"48",533,"008927441223",2017-06-15 15:52:58,TRUE
"49",2267,"007015805301",2018-07-10 17:41:35,TRUE
