"","service_point_sn","site","pub_cust_id","start_date","end_date","duration","severity","status.x"
"1",3003508756,"Yuhua","007015809609","2018-09-02",NA,4,"Moderate","Open"
"2",3000977099,"Yuhua","008915850617","2018-08-24",NA,13,"Severe","Open"
"3",3000839789,"Yuhua","008921323211","2018-08-23",NA,14,"Severe","Open"
"4",3001098882,"Yuhua","007015804607","2018-08-29",NA,6,"Critical","Open"
"5",3001108193,"Yuhua","007015810909","2018-07-30",NA,38,"Severe","Open"
"6",3003369047,"Yuhua","007013606301","2018-08-04",NA,3,"Moderate","Open"
"7",3001103428,"Yuhua","007015807819","2018-06-20",NA,78,"Severe","Open"
"8",3003506974,"Yuhua","008920181644","2018-08-15",NA,22,"Severe","Open"
"9",3000979395,"Yuhua","008922342954","2018-08-12",NA,23,"Severe","Open"
"10",3000979395,"Yuhua","008922342954","2018-08-09",NA,28,"Severe","Open"
"11",3000979395,"Yuhua","008922342954","2018-07-30",NA,35,"Severe","Open"
"12",3003502654,"Yuhua","008924928024","2018-09-03",NA,3,"Severe","Open"
"13",3004479193,"Punggol","008934028815","2018-08-26",NA,11,"Severe","Open"
"14",3000854154,"Yuhua","008930678050","2018-07-22",NA,46,"Critical","Open"
"15",3003508795,"Yuhua","008904481820","2018-09-02",NA,4,"Moderate","Open"
"16",3003367728,"Yuhua","007013605003","2018-08-24",NA,13,"Severe","Open"
"17",3004521354,"Punggol","008901630551","2018-06-04",NA,94,"Severe","Open"
"18",3004479721,"Punggol","008901722804","2018-08-31",NA,6,"Critical","Open"
"19",3004479091,"Punggol","008901746704","2016-03-09","2016-04-20",43,"Critical","Close"
"20",3004521048,"Punggol","008901367378","2017-02-12","2017-03-01",18,"Severe","Close"
"21",3004521048,"Punggol","008901367378","2017-10-22","2017-10-25",4,"Moderate","Close"
"22",3004521048,"Punggol","008901367378","2017-11-30","2017-12-04",5,"Severe","Close"
"23",3003508756,"Yuhua","007015809609","2018-07-19","2018-07-27",9,"Severe","Close"
"24",3003508756,"Yuhua","007015809609","2018-06-23","2018-08-13",52,"Severe","Close"
"25",3003508756,"Yuhua","007015809609","2018-06-01","2018-06-04",4,"Moderate","Close"
"26",3004521061,"Punggol","008901377187","2016-04-24","2016-05-13",20,"Severe","Close"
"27",3004521061,"Punggol","008901377187","2016-08-22","2016-09-11",21,"Critical","Close"
"28",3004521061,"Punggol","008901377187","2017-04-23","2017-05-01",9,"Severe","Close"
"29",3003505131,"Yuhua","008914004919","2018-06-24","2018-06-29",6,"Severe","Close"
"30",3004521715,"Punggol","008931512118","2017-03-08","2017-03-14",7,"Critical","Close"
"31",3000839789,"Yuhua","008921323211","2018-06-23","2018-08-08",47,"Severe","Close"
"32",3000839789,"Yuhua","008921323211","2018-08-05","2018-08-08",4,"Moderate","Close"
"33",3003369523,"Yuhua","008904924100","2018-06-17","2018-06-24",8,"Severe","Close"
"34",3003369523,"Yuhua","008904924100","2018-07-30","2018-08-02",4,"Moderate","Close"
"35",3004478742,"Punggol","008901630601","2016-03-10","2016-03-13",4,"Moderate","Close"
"36",3004478742,"Punggol","008901630601","2016-04-01","2016-04-14",14,"Severe","Close"
"37",3004478742,"Punggol","008901630601","2016-04-26","2016-10-06",164,"Severe","Close"
"38",3004478742,"Punggol","008901630601","2017-03-15","2017-03-24",10,"Severe","Close"
"39",3004478742,"Punggol","008901630601","2017-04-19","2017-04-24",6,"Severe","Close"
"40",3004478742,"Punggol","008901630601","2017-07-29","2017-08-04",7,"Severe","Close"
"41",3004478742,"Punggol","008901630601","2017-08-14","2017-08-24",11,"Severe","Close"
"42",3004478742,"Punggol","008901630601","2017-09-03","2017-09-14",12,"Severe","Close"
"43",3004478742,"Punggol","008901630601","2017-09-21","2017-09-28",8,"Severe","Close"
"44",3004478742,"Punggol","008901630601","2017-11-07","2017-11-23",17,"Severe","Close"
"45",3004478742,"Punggol","008901630601","2017-11-26","2017-12-23",28,"Severe","Close"
"46",3004478742,"Punggol","008901630601","2018-01-08","2018-01-15",8,"Severe","Close"
"47",3004478742,"Punggol","008901630601","2018-01-18","2018-01-25",8,"Severe","Close"
"48",3004478742,"Punggol","008901630601","2018-01-28","2018-02-07",11,"Critical","Close"
"49",3004522045,"Punggol","008938027193","2018-07-27","2018-07-30",4,"Moderate","Close"
"50",3004522045,"Punggol","008938027193","2018-08-07","2018-08-10",4,"Moderate","Close"
"51",3004479786,"Punggol","008926955215","2018-08-10","2018-08-13",4,"Moderate","Close"
"52",3004521979,"Punggol","008901410079","2017-02-04","2017-02-27",24,"Severe","Close"
"53",3004521979,"Punggol","008901410079","2017-10-14","2018-01-25",104,"Severe","Close"
"54",3004521979,"Punggol","008901410079","2018-02-05","2018-02-23",19,"Critical","Close"
"55",3004478658,"Punggol","008937856683","2018-07-14","2018-07-26",13,"Critical","Close"
"56",3004478658,"Punggol","008937856683","2018-08-16","2018-08-23",8,"Critical","Close"
"57",3001098882,"Yuhua","007015804607","2018-08-25","2018-09-04",11,"Severe","Close"
"58",3001098882,"Yuhua","007015804607","2018-05-13","2018-05-18",6,"Severe","Close"
"59",3001098882,"Yuhua","007015804607","2018-06-20","2018-08-21",63,"Severe","Close"
"60",3001108193,"Yuhua","007015810909","2018-04-30","2018-05-06",7,"Severe","Close"
"61",3001108193,"Yuhua","007015810909","2018-06-25","2018-06-29",5,"Severe","Close"
"62",3001108193,"Yuhua","007015810909","2018-07-03","2018-07-07",5,"Severe","Close"
"63",3001108193,"Yuhua","007015810909","2018-07-14","2018-07-20",7,"Severe","Close"
"64",3003508719,"Yuhua","007015809404","2018-06-21","2018-06-27",7,"Severe","Close"
"65",3003508719,"Yuhua","007015809404","2018-06-30","2018-07-06",7,"Critical","Close"
"66",3003508719,"Yuhua","007015809404","2018-07-16","2018-07-25",10,"Critical","Close"
"67",3004479927,"Punggol","008901658743","2016-12-31","2017-01-05",6,"Severe","Close"
"68",3004479927,"Punggol","008901658743","2017-02-08","2017-02-14",7,"Severe","Close"
"69",3004479927,"Punggol","008901658743","2017-02-18","2017-02-22",5,"Severe","Close"
"70",3004479927,"Punggol","008901658743","2017-03-04","2017-03-13",10,"Severe","Close"
"71",3004479927,"Punggol","008901658743","2017-04-03","2017-04-06",4,"Moderate","Close"
"72",3004479927,"Punggol","008901658743","2017-06-24","2017-06-29",6,"Severe","Close"
"73",3004522297,"Punggol","008901973118","2016-05-16","2016-06-08",24,"Severe","Close"
"74",3003506965,"Yuhua","008907651460","2018-07-19","2018-08-02",15,"Severe","Close"
"75",3003506965,"Yuhua","008907651460","2018-06-23","2018-06-26",4,"Moderate","Close"
"76",3003506965,"Yuhua","008907651460","2018-07-01","2018-07-13",13,"Severe","Close"
"77",3001095138,"Yuhua","00-701580240","2018-07-10","2018-07-26",17,"Severe","Close"
"78",3001095138,"Yuhua","00-701580240","2018-07-21","2018-07-24",4,"Moderate","Close"
"79",3003505641,"Yuhua","007015805107","2018-04-01","2018-04-08",8,"Severe","Close"
"80",3003505641,"Yuhua","007015805107","2018-07-15","2018-07-24",10,"Severe","Close"
"81",3003505641,"Yuhua","007015805107","2018-07-28","2018-08-21",25,"Severe","Close"
"82",3000726669,"Yuhua","008926062103","2018-05-14","2018-05-19",6,"Severe","Close"
"83",3000855655,"Yuhua","008903744087","2018-06-19","2018-06-22",4,"Moderate","Close"
"84",3005448527,"Punggol","008921079052","2018-08-01","2018-08-07",7,"Severe","Close"
"85",3100250306,"Punggol","008927383847","2017-03-27","2017-03-30",4,"Moderate","Close"
"86",3100250306,"Punggol","008927383847","2018-05-18","2018-05-23",6,"Severe","Close"
"87",3003369047,"Yuhua","007013606301","2018-07-26","2018-07-29",4,"Moderate","Close"
"88",3003369047,"Yuhua","007013606301","2018-06-20","2018-06-25",6,"Severe","Close"
"89",3004521705,"Punggol","008903602012","2016-09-27","2016-09-30",4,"Moderate","Close"
"90",3003506399,"Yuhua","007015806901","2018-06-24","2018-07-11",18,"Critical","Close"
"91",3004521473,"Punggol","008901422959","2016-03-08","2016-05-13",67,"Critical","Close"
"92",3003367219,"Yuhua","008909478383","2018-06-30","2018-09-04",67,"Severe","Close"
"93",3003368424,"Yuhua","007013605429","2018-07-03","2018-07-06",4,"Moderate","Close"
"94",3003368424,"Yuhua","007013605429","2018-07-11","2018-09-03",55,"Severe","Close"
"95",3004521613,"Punggol","008901462443","2016-03-09","2017-06-21",470,"Critical","Close"
"96",3003369069,"Yuhua","008928237810","2018-07-10","2018-07-14",5,"Severe","Close"
"97",3003369069,"Yuhua","008928237810","2018-07-31","2018-08-07",8,"Severe","Close"
"98",3003369069,"Yuhua","008928237810","2018-08-13","2018-08-17",5,"Severe","Close"
"99",3005448483,"Punggol","008923564796","2016-06-10","2016-07-02",23,"Severe","Close"
"100",3001103428,"Yuhua","007015807819","2018-04-19","2018-04-23",5,"Severe","Close"
"101",3001103428,"Yuhua","007015807819","2018-05-07","2018-05-10",4,"Moderate","Close"
"102",3001103428,"Yuhua","007015807819","2018-05-28","2018-06-02",6,"Severe","Close"
"103",3004521783,"Punggol","008901938046","2016-05-05","2016-05-08",4,"Moderate","Close"
"104",3004521783,"Punggol","008901938046","2016-06-02","2016-06-07",6,"Severe","Close"
"105",3004521783,"Punggol","008901938046","2016-06-29","2016-07-11",13,"Severe","Close"
"106",3004521783,"Punggol","008901938046","2016-07-19","2016-07-30",12,"Severe","Close"
"107",3004521783,"Punggol","008901938046","2016-09-10","2016-09-13",4,"Moderate","Close"
"108",3004521783,"Punggol","008901938046","2016-09-28","2016-10-04",7,"Severe","Close"
"109",3004521783,"Punggol","008901938046","2016-10-07","2016-11-19",44,"Severe","Close"
"110",3003506375,"Yuhua","007015806413","2018-06-19","2018-06-29",11,"Severe","Close"
"111",3003506375,"Yuhua","007015806413","2018-07-10","2018-07-13",4,"Moderate","Close"
"112",3100250338,"Punggol","008927354681","2018-04-01","2018-04-08",8,"Severe","Close"
"113",3000977226,"Yuhua","007014800519","2018-07-31","2018-08-16",17,"Severe","Close"
"114",3005448479,"Punggol","008921958669","2016-09-01","2016-09-22",22,"Critical","Close"
"115",3005448479,"Punggol","008921958669","2016-09-30","2016-10-03",4,"Moderate","Close"
"116",3004480243,"Punggol","008927284623","2017-02-28","2017-05-27",89,"Severe","Close"
"117",3004521824,"Punggol","008903345398","2016-05-11","2016-06-01",22,"Severe","Close"
"118",3004521824,"Punggol","008903345398","2016-06-04","2017-01-30",241,"Severe","Close"
"119",3100250082,"Punggol","008927449895","2018-04-14","2018-04-19",6,"Severe","Close"
"120",3100250082,"Punggol","008927449895","2018-04-27","2018-05-14",18,"Severe","Close"
"121",3100250082,"Punggol","008927449895","2018-06-12","2018-07-08",27,"Critical","Close"
"122",3003365872,"Yuhua","008934230700","2018-08-08","2018-08-20",13,"Severe","Close"
"123",3000852270,"Yuhua","008906980563","2018-06-21","2018-06-24",4,"Moderate","Close"
"124",3000853511,"Yuhua","007013611607","2018-06-24","2018-06-28",5,"Severe","Close"
"125",3000979395,"Yuhua","008922342954","2018-06-03","2018-06-07",5,"Severe","Close"
"126",3000979395,"Yuhua","008922342954","2018-06-16","2018-07-15",30,"Severe","Close"
"127",3004521564,"Punggol","008901380504","2016-03-09","2016-03-25",17,"Critical","Close"
"128",3004521564,"Punggol","008901380504","2016-03-28","2016-04-20",24,"Critical","Close"
"129",3004520724,"Punggol","008901389315","2016-03-09","2016-04-27",50,"Critical","Close"
"130",3000855669,"Yuhua","007013612700","2018-08-14","2018-08-17",4,"Moderate","Close"
"131",3000855669,"Yuhua","007013612700","2018-08-28","2018-08-31",4,"Moderate","Close"
"132",3004522256,"Punggol","008903351156","2016-04-09","2016-04-16",8,"Severe","Close"
"133",3000977257,"Yuhua","008935715188","2018-08-12","2018-08-24",13,"Critical","Close"
"134",3003502654,"Yuhua","008924928024","2018-06-22","2018-08-28",68,"Severe","Close"
"135",3000845575,"Yuhua","007013607502","2018-04-01","2018-07-04",95,"Critical","Close"
"136",3004478795,"Punggol","008930598985","2018-06-03","2018-06-06",4,"Moderate","Close"
"137",3004478795,"Punggol","008930598985","2018-06-16","2018-06-30",15,"Severe","Close"
"138",3004479870,"Punggol","008901891088","2017-02-26","2017-03-08",11,"Severe","Close"
"139",3004479870,"Punggol","008901891088","2017-06-25","2017-07-24",30,"Severe","Close"
"140",3004479870,"Punggol","008901891088","2017-07-27","2017-09-04",40,"Severe","Close"
"141",3100249958,"Punggol","008927541840","2016-12-02","2016-12-07",6,"Critical","Close"
"142",3100249914,"Punggol","008927304512","2017-04-12","2017-04-16",5,"Severe","Close"
"143",3100249914,"Punggol","008927304512","2017-04-24","2017-05-04",11,"Severe","Close"
"144",3100249914,"Punggol","008927304512","2017-05-15","2017-05-20",6,"Severe","Close"
"145",3100249914,"Punggol","008927304512","2017-05-23","2017-07-02",41,"Severe","Close"
"146",3004479584,"Punggol","008924629838","2017-12-04","2017-12-07",4,"Moderate","Close"
"147",3004522058,"Punggol","008901388663","2016-07-02","2016-07-08",7,"Severe","Close"
"148",3004522058,"Punggol","008901388663","2018-01-20","2018-01-25",6,"Severe","Close"
"149",3004479020,"Punggol","008901654379","2017-02-03","2017-02-06",4,"Moderate","Close"
"150",3004479020,"Punggol","008901654379","2017-03-14","2017-05-20",68,"Severe","Close"
"151",3004480168,"Punggol","008901664592","2016-05-21","2016-05-24",4,"Moderate","Close"
"152",3004480168,"Punggol","008901664592","2016-05-27","2016-07-02",37,"Severe","Close"
"153",3100249938,"Punggol","008927251606","2016-07-13","2016-07-20",8,"Severe","Close"
"154",3004479342,"Punggol","008901658735","2016-10-16","2016-10-24",9,"Severe","Close"
"155",3004479342,"Punggol","008901658735","2016-11-07","2016-11-10",4,"Moderate","Close"
"156",3004479342,"Punggol","008901658735","2016-11-14","2016-11-19",6,"Severe","Close"
"157",3004479342,"Punggol","008901658735","2016-12-01","2017-02-25",87,"Severe","Close"
"158",3004479342,"Punggol","008901658735","2017-05-07","2017-05-10",4,"Moderate","Close"
"159",3004479342,"Punggol","008901658735","2017-05-13","2017-05-16",4,"Moderate","Close"
"160",3004479342,"Punggol","008901658735","2017-06-14","2017-06-18",5,"Severe","Close"
"161",3004479342,"Punggol","008901658735","2017-06-21","2017-06-29",9,"Severe","Close"
"162",3004479342,"Punggol","008901658735","2017-09-04","2017-09-11",8,"Severe","Close"
"163",3004479342,"Punggol","008901658735","2017-09-17","2017-10-17",31,"Severe","Close"
"164",3004479342,"Punggol","008901658735","2017-10-25","2017-11-26",33,"Severe","Close"
"165",3004479606,"Punggol","008902285363","2018-05-06","2018-05-14",9,"Severe","Close"
"166",3000724467,"Yuhua","008925133459","2018-06-06","2018-08-09",65,"Critical","Close"
"167",3000724467,"Yuhua","008925133459","2018-08-23","2018-08-28",6,"Critical","Close"
"168",3100159755,"Punggol","008924206264","2018-07-18","2018-07-22",5,"Severe","Close"
"169",3100159767,"Punggol","008925920368","2018-04-11","2018-04-14",4,"Moderate","Close"
"170",3100159955,"Punggol","008924447736","2016-04-26","2016-05-10",15,"Severe","Close"
"171",3100159955,"Punggol","008924447736","2017-12-04","2017-12-07",4,"Moderate","Close"
"172",3100159955,"Punggol","008924447736","2017-12-21","2017-12-24",4,"Moderate","Close"
"173",3100159823,"Punggol","008930712305","2017-05-13","2017-05-24",12,"Severe","Close"
"174",3100159759,"Punggol","008923827185","2016-03-14","2016-04-22",40,"Severe","Close"
"175",3004521172,"Punggol","008902246449","2016-03-15","2016-04-21",38,"Severe","Close"
"176",3004478755,"Punggol","008935782048","2017-09-24","2017-09-27",4,"Moderate","Close"
"177",3004521205,"Punggol","008934667364","2018-05-11","2018-06-08",29,"Severe","Close"
"178",3100159643,"Punggol","008923640273","2016-12-05","2016-12-08",4,"Moderate","Close"
"179",3100159643,"Punggol","008923640273","2017-01-01","2017-01-08",8,"Severe","Close"
"180",3100159643,"Punggol","008923640273","2018-03-29","2018-04-02",5,"Severe","Close"
"181",3100159643,"Punggol","008923640273","2018-05-06","2018-06-22",48,"Severe","Close"
"182",3100159643,"Punggol","008923640273","2018-04-11","2018-05-03",23,"Severe","Close"
"183",3004479266,"Punggol","008902315269","2016-03-14","2016-05-02",50,"Critical","Close"
"184",3004478970,"Punggol","008902657116","2016-04-07","2016-04-10",4,"Moderate","Close"
"185",3004478970,"Punggol","008902657116","2016-05-13","2016-05-20",8,"Severe","Close"
"186",3004479690,"Punggol","008903380056","2016-12-12","2016-12-17",6,"Severe","Close"
"187",3004479690,"Punggol","008903380056","2017-02-11","2017-02-14",4,"Moderate","Close"
"188",3001106983,"Yuhua","007015810429","2018-05-09","2018-05-15",7,"Severe","Close"
"189",3100249998,"Punggol","008927644974","2018-07-20","2018-07-26",7,"Severe","Close"
"190",3001098844,"Yuhua","00-701580450","2018-07-10","2018-07-13",4,"Moderate","Close"
"191",3001097053,"Yuhua","008917166921","2018-07-03","2018-07-22",20,"Severe","Close"
"192",3004479571,"Punggol","008916975116","2018-08-06","2018-08-16",11,"Severe","Close"
"193",3004478696,"Punggol","008902859662","2016-05-08","2016-05-11",4,"Severe","Close"
"194",3004521285,"Punggol","008901543234","2016-10-15","2016-10-18",4,"Moderate","Close"
"195",3004521285,"Punggol","008901543234","2016-12-12","2017-01-26",46,"Severe","Close"
"196",3004479207,"Punggol","008913899608","2016-03-21","2016-03-25",5,"Critical","Close"
"197",3004479207,"Punggol","008913899608","2016-03-29","2016-04-17",20,"Critical","Close"
"198",3004479207,"Punggol","008913899608","2016-05-08","2016-05-13",6,"Critical","Close"
"199",3000854154,"Yuhua","008930678050","2018-06-30","2018-07-12",13,"Critical","Close"
"200",3003508795,"Yuhua","008904481820","2018-06-25","2018-07-02",8,"Severe","Close"
"201",3003508795,"Yuhua","008904481820","2018-08-03","2018-08-30",28,"Severe","Close"
"202",3003371973,"Yuhua","008924952149","2018-07-26","2018-08-31",37,"Severe","Close"
"203",3003371973,"Yuhua","008924952149","2018-06-11","2018-06-16",6,"Severe","Close"
"204",3003371973,"Yuhua","008924952149","2018-06-20","2018-07-20",31,"Severe","Close"
"205",3004479481,"Punggol","008901630585","2016-03-08","2016-04-21",45,"Critical","Close"
"206",3004479816,"Punggol","008901625007","2017-08-02","2017-08-06",5,"Severe","Close"
"207",3100250142,"Punggol","008927304447","2016-08-23","2016-09-01",10,"Severe","Close"
"208",3100250118,"Punggol","008927327687","2017-08-15","2017-09-02",19,"Severe","Close"
"209",3000854106,"Yuhua","007013611909","2018-07-17","2018-07-26",10,"Severe","Close"
"210",3004478784,"Punggol","008901656853","2016-03-08","2016-04-22",46,"Critical","Close"
"211",3004478784,"Punggol","008901656853","2017-07-07","2017-07-10",4,"Moderate","Close"
"212",3004478784,"Punggol","008901656853","2017-11-13","2017-11-22",10,"Severe","Close"
"213",3004478784,"Punggol","008901656853","2017-11-25","2017-12-05",11,"Severe","Close"
"214",3003365310,"Yuhua","007013600508","2018-06-30","2018-07-05",6,"Severe","Close"
"215",3003365310,"Yuhua","007013600508","2018-08-26","2018-09-01",7,"Severe","Close"
"216",3003367728,"Yuhua","007013605003","2018-07-04","2018-07-11",8,"Severe","Close"
"217",3003367728,"Yuhua","007013605003","2018-07-18","2018-07-24",7,"Severe","Close"
"218",3003367728,"Yuhua","007013605003","2018-04-30","2018-05-09",10,"Severe","Close"
"219",3003367728,"Yuhua","007013605003","2018-07-29","2018-08-05",8,"Severe","Close"
"220",3003367728,"Yuhua","007013605003","2018-08-08","2018-08-15",8,"Severe","Close"
"221",3004479661,"Punggol","008913460617","2016-03-08","2016-05-01",55,"Critical","Close"
"222",3004479661,"Punggol","008913460617","2017-01-16","2017-02-27",43,"Severe","Close"
"223",3004479661,"Punggol","008913460617","2017-06-29","2017-07-12",14,"Severe","Close"
"224",3004479661,"Punggol","008913460617","2018-01-10","2018-01-21",12,"Severe","Close"
"225",3004479661,"Punggol","008913460617","2018-01-29","2018-02-25",28,"Severe","Close"
"226",3004479661,"Punggol","008913460617","2018-06-14","2018-06-29",16,"Severe","Close"
"227",3004480078,"Punggol","008901634124","2017-12-29","2018-01-04",7,"Severe","Close"
"228",3004520911,"Punggol","008901385255","2017-12-19","2017-12-31",13,"Critical","Close"
"229",3004520911,"Punggol","008901385255","2018-01-06","2018-02-19",45,"Critical","Close"
"230",3004521189,"Punggol","008901381890","2016-03-15","2016-03-28",14,"Severe","Close"
"231",3004521189,"Punggol","008901381890","2016-06-10","2016-06-15",6,"Severe","Close"
"232",3004521189,"Punggol","008901381890","2016-06-18","2016-06-26",9,"Severe","Close"
"233",3004521189,"Punggol","008901381890","2016-07-21","2016-08-12",23,"Severe","Close"
"234",3004521189,"Punggol","008901381890","2016-08-15","2016-09-21",38,"Severe","Close"
"235",3004521189,"Punggol","008901381890","2016-10-30","2017-02-27",121,"Severe","Close"
"236",3100249978,"Punggol","008927932122","2016-05-05","2016-05-20",16,"Severe","Close"
"237",3100249978,"Punggol","008927932122","2016-05-28","2016-06-07",11,"Severe","Close"
