"","service_point_sn","LeakVolume"
"1","3000673213",8424
"2","3000700257",23976
"3","3000702031",5952
"4","3000703248",25056
"5","3000703260",432
"6","3000703292",1728
"7","3000704470",384
"8","3000704497",5616
"9","3000705658",3168
"10","3000724467",33048
"11","3000725041",504
"12","3000726669",144
"13","3000839789",4896
"14","3000845575",31920
"15","3000852270",96
"16","3000853511",360
"17","3000854106",240
"18","3000854154",36336
"19","3000855655",384
"20","3000855669",672
"21","3000856805",96
"22","3000979395",2400
"23","3001048273",6720
"24","3001049844",1464
"25","3001051666",8424
"26","3001053298",1608
"27","3001055600",144
"28","3001090551",240
"29","3001095138",816
"30","3001097053",1920
"31","3001098844",96
"32","3001098882",1032
"33","3001103428",1368
"34","3001106983",504
"35","3001108193",720
"36","3003286067",3072
"37","3003286308",2016
"38","3003286319",9024
"39","3003286941",240
"40","3003286947",2520
"41","3003286969",2880
"42","3003286998",2184
"43","3003288200",48384
"44","3003288264",12480
"45","3003288280",22800
"46","3003289147",336
"47","3003289183",2016
"48","3003289696",2472
"49","3003291483",5304
"50","3003292116",4752
"51","3003292709",11952
"52","3003292771",6912
"53","3003293297",14088
"54","3003303751",2688
"55","3003303762",7272
"56","3003304315",96
"57","3003304336",2304
"58","3003304361",6840
"59","3003304382",1344
"60","3003304395",8976
"61","3003304978",8784
"62","3003305335",2328
"63","3003305397",2208
"64","3003306015",480
"65","3003306043",30096
"66","3003306635",5616
"67","3003307258",12744
"68","3003365310",1296
"69","3003367219",648
"70","3003367728",864
"71","3003368424",480
"72","3003369047",912
"73","3003369069",144
"74","3003369523",648
"75","3003371973",2520
"76","3003483046",52992
"77","3003483600",25272
"78","3003483619",9384
"79","3003483644",13392
"80","3003483683",13080
"81","3003484423",1440
"82","3003484493",336
"83","3003484718",120
"84","3003484740",11400
"85","3003484760",17136
"86","3003484773",1152
"87","3003484779",14688
"88","3003485775",5568
"89","3003486232",6528
"90","3003486270",8280
"91","3003487410",1752
"92","3003487432",8640
"93","3003487450",9576
"94","3003488045",1200
"95","3003488051",456
"96","3003488683",2760
"97","3003502654",7560
"98","3003503266",792
"99","3003505131",432
"100","3003505641",792
"101","3003506321",720
"102","3003506375",792
"103","3003506399",19008
"104","3003506940",2976
"105","3003506965",600
"106","3003508124",72
"107","3003508719",7632
"108","3003508756",3648
"109","3003508795",1152
