"","id","service_point_sn","meter_sn","meter_type","site","start_date","end_date","duration","min5flow_ave","severity","status","notification_status","potential_savings"
"1",1,"3000077665B","EH184059","BYPASS","Tuas",2017-08-06,2017-08-12,7,16,"Critical","Close","new",359
"2",2,"3000119712B","EP180480","BYPASS","Tuas",2017-05-05,2017-05-12,8,12,"Critical","Close","new",269
"3",3,"3000119712B","EP180480","BYPASS","Tuas",2017-11-28,2017-12-27,30,12,"Critical","Close","new",269
"4",5,"3000121015B","AP280989","BYPASS","Tuas",2016-02-03,2016-03-22,49,12,"Critical","Close","new",269
"5",6,"3000121015B","AP280989","BYPASS","Tuas",2016-03-26,2016-06-22,89,36,"Critical","Close","new",807
"6",7,"3000121015B","AP280989","BYPASS","Tuas",2016-06-26,2016-06-29,4,28,"Severe","Close","new",628
"7",8,"3000121015B","AP280989","BYPASS","Tuas",2016-07-13,2017-01-07,179,16,"Critical","Close","new",359
"8",9,"3000138898B","EP180635","BYPASS","Tuas",2016-02-04,2016-02-22,19,24,"Critical","Close","new",538
"9",10,"3000138898B","EP180635","BYPASS","Tuas",2016-03-24,2016-04-20,28,36,"Critical","Close","new",807
"10",11,"3000138898B","EP180635","BYPASS","Tuas",2016-04-26,2016-08-21,118,56,"Critical","Close","new",1256
"11",12,"3000138898B","EP180635","BYPASS","Tuas",2016-08-24,2016-08-31,8,20,"Critical","Close","new",449
"12",13,"3000138898B","EP180635","BYPASS","Tuas",2016-09-05,2016-10-30,56,20,"Critical","Close","new",449
"13",14,"3000138898B","EP180635","BYPASS","Tuas",2016-11-15,2017-01-15,62,32,"Critical","Close","new",718
"14",15,"3000138898B","EP180635","BYPASS","Tuas",2017-01-29,2017-02-06,9,28,"Critical","Close","new",628
"15",16,"3000138898B","EP180635","BYPASS","Tuas",2017-02-13,2017-02-27,15,32,"Critical","Close","new",718
"16",17,"3000138898B","EP180635","BYPASS","Tuas",2017-03-02,2017-03-10,9,36,"Critical","Close","new",807
"17",18,"3000138898B","EP180635","BYPASS","Tuas",2017-03-13,2017-05-13,62,36,"Critical","Close","new",807
"18",19,"3000138898B","EP180635","BYPASS","Tuas",2017-06-02,2017-06-06,5,32,"Critical","Close","new",718
"19",20,"3000138898B","EP180635","BYPASS","Tuas",2017-07-26,2017-09-30,67,16,"Critical","Close","new",359
"20",21,"3000138898B","EP180635","BYPASS","Tuas",2017-10-06,2017-11-20,46,20,"Critical","Close","new",449
"21",22,"3000138898B","EP180635","BYPASS","Tuas",2017-11-24,2018-01-15,53,28,"Critical","Close","new",628
"22",25,"3000141206B","AP280286","BYPASS","Tuas",2016-10-23,2016-11-01,10,20,"Critical","Close","new",449
"23",26,"3000141206B","AP280286","BYPASS","Tuas",2017-02-25,2017-03-18,22,12,"Critical","Close","new",269
"24",27,"3000141206B","AP280286","BYPASS","Tuas",2017-03-21,2017-03-31,11,12,"Critical","Close","new",269
"25",28,"3000141206B","AP280286","BYPASS","Tuas",2017-04-03,2017-08-04,124,24,"Critical","Close","new",538
"26",29,"3000144350B","EP180406","BYPASS","Tuas",2016-10-04,2016-12-04,62,12,"Critical","Close","new",269
"27",30,"3000144350B","EP180406","BYPASS","Tuas",2016-12-16,2017-01-09,25,12,"Critical","Close","new",269
"28",31,"3000144350B","EP180406","BYPASS","Tuas",2017-01-18,2017-02-12,26,12,"Critical","Close","new",269
"29",32,"3000144350B","EP180406","BYPASS","Tuas",2017-02-25,2017-03-25,29,24,"Critical","Close","new",538
"30",33,"3000144350B","EP180406","BYPASS","Tuas",2017-03-28,2017-04-20,24,24,"Critical","Close","new",538
"31",34,"3000144350B","EP180406","BYPASS","Tuas",2017-04-23,2017-05-01,9,20,"Critical","Close","new",449
"32",35,"3000144350B","EP180406","BYPASS","Tuas",2017-05-11,2017-06-16,37,12,"Critical","Close","new",269
"33",36,"3000144350B","EP180406","BYPASS","Tuas",2017-06-21,2017-08-11,52,12,"Critical","Close","new",269
"34",37,"3000144350B","EP180406","BYPASS","Tuas",2017-08-16,2017-09-21,37,24,"Critical","Close","new",538
"35",38,"3000144350B","EP180406","BYPASS","Tuas",2017-09-26,2017-12-02,68,72,"Critical","Close","new",1615
"36",39,"3000144350B","EP180406","BYPASS","Tuas",2017-12-24,2017-12-27,4,72,"Severe","Close","new",1615
"37",40,"3000144350B","EP180406","BYPASS","Tuas",2017-12-31,2018-01-08,9,80,"Critical","Close","new",1794
"38",41,"3000144350B","EP180406","BYPASS","Tuas",2018-01-23,2018-01-26,4,116,"Severe","Close","new",2601
"39",42,"3000259441B","AP280811","BYPASS","Tuas",2016-02-03,2016-07-26,175,60,"Critical","Close","new",1346
"40",43,"3000259441B","AP280811","BYPASS","Tuas",2016-08-11,2017-08-09,364,16,"Critical","Close","new",359
"41",44,"3000259441B","AP280811","BYPASS","Tuas",2017-08-14,2018-02-16,187,36,"Critical","Close","new",807
"42",46,"3000390027B","EP180605B","BYPASS","Tuas",2016-06-05,2016-06-28,24,48,"Critical","Close","new",1076
"43",47,"3000390027B","EP180605B","BYPASS","Tuas",2016-07-17,2016-08-11,26,24,"Critical","Close","new",538
"44",48,"3000390027B","EP180605B","BYPASS","Tuas",2017-03-01,2017-04-18,49,12,"Critical","Close","new",269
"45",49,"3000390837B","AJ186390","BYPASS","Tuas",2016-05-25,2016-05-28,4,16,"Severe","Close","new",359
"46",50,"3000390837B","AJ186390","BYPASS","Tuas",2016-07-01,2016-07-13,13,12,"Critical","Close","new",269
"47",51,"3000390837B","AJ186390","BYPASS","Tuas",2016-08-22,2016-08-25,4,12,"Severe","Close","new",269
"48",52,"3000390837B","AJ186390","BYPASS","Tuas",2016-11-23,2016-11-30,8,48,"Critical","Close","new",1076
"49",53,"3000390837B","AJ186390","BYPASS","Tuas",2016-12-30,2017-01-08,10,12,"Critical","Close","new",269
"50",54,"3000390837B","AJ186390","BYPASS","Tuas",2017-03-01,2017-03-07,7,12,"Critical","Close","new",269
"51",55,"3000390837B","AJ186390","BYPASS","Tuas",2017-03-14,2017-03-23,10,16,"Critical","Close","new",359
"52",56,"3000390837B","AJ186390","BYPASS","Tuas",2017-06-06,2017-06-14,9,12,"Critical","Close","new",269
"53",57,"3000390837B","AJ186390","BYPASS","Tuas",2017-08-08,2017-08-16,9,12,"Critical","Close","new",269
"54",58,"3000390837B","AJ186390","BYPASS","Tuas",2017-10-05,2017-11-10,37,12,"Critical","Close","new",269
"55",59,"3000390837B","AJ186390","BYPASS","Tuas",2017-12-18,2017-12-22,5,16,"Critical","Close","new",359
"56",60,"3000390837B","AJ186390","BYPASS","Tuas",2018-01-06,2018-01-14,9,12,"Critical","Close","new",269
"57",61,"3000390837B","AJ186390","BYPASS","Tuas",2018-01-31,2018-02-04,5,28,"Critical","Close","new",628
"58",538,"3000854154","DN270867","SUB","Yuhua",2018-06-30,2018-07-12,13,74,"Critical","Close","sent_sent",1659
"59",65,"3000390874B","AK186280","BYPASS","Tuas",2016-02-02,2016-07-18,168,136,"Critical","Close","new",3050
"60",66,"3000390874B","AK186280","BYPASS","Tuas",2016-10-19,2016-12-10,53,36,"Critical","Close","new",807
"61",67,"3000390874B","AK186280","BYPASS","Tuas",2017-02-03,2017-02-14,12,108,"Critical","Close","new",2422
"62",68,"3000390874B","AK186280","BYPASS","Tuas",2017-04-07,2017-04-11,5,36,"Critical","Close","new",807
"63",69,"3000390874B","AK186280","BYPASS","Tuas",2017-05-04,2017-05-15,12,24,"Critical","Close","new",538
"64",70,"3000390874B","AK186280","BYPASS","Tuas",2017-06-25,2017-07-03,9,208,"Critical","Close","new",4665
"65",4,"3000119712B","EP180480","BYPASS","Tuas",2017-12-31,2018-04-22,113,216,"Critical","Close","sent_sent",4844
"66",45,"3000259441B","AP280811","BYPASS","Tuas",2018-02-25,2018-06-25,121,36,"Critical","Close","sent_sent",807
"67",62,"3000390837B","AJ186390","BYPASS","Tuas",2018-03-12,2018-03-17,6,28,"Critical","Close","sent_sent",628
"68",64,"3000390837B","AJ186390","BYPASS","Tuas",2018-04-15,2018-04-30,16,28,"Critical","Close","sent_sent",628
"69",71,"3000390874B","AK186280","BYPASS","Tuas",2017-07-26,2017-07-29,4,36,"Severe","Close","new",807
"70",72,"3000390874B","AK186280","BYPASS","Tuas",2017-08-03,2017-08-15,13,12,"Critical","Close","new",269
"71",73,"3000390874B","AK186280","BYPASS","Tuas",2017-11-02,2017-11-13,12,108,"Critical","Close","new",2422
"72",74,"3000390874B","AK186280","BYPASS","Tuas",2017-11-17,2017-11-20,4,36,"Severe","Close","new",807
"73",75,"3000390874B","AK186280","BYPASS","Tuas",2017-11-25,2017-12-04,10,12,"Critical","Close","new",269
"74",77,"3000390874M","AK690280","MAIN","Tuas",2016-04-28,2016-05-10,13,680,"Critical","Close","new",15249
"75",78,"3000391332B","AP280351C","BYPASS","Tuas",2017-04-14,2017-04-17,4,640,"Severe","Close","new",14352
"76",79,"3000391332B","AP280351C","BYPASS","Tuas",2017-04-29,2017-05-02,4,12,"Severe","Close","new",269
"77",80,"3000391332B","AP280351C","BYPASS","Tuas",2017-05-19,2017-05-22,4,16,"Severe","Close","new",359
"78",82,"3000391367B","AK186543","BYPASS","Tuas",2016-12-24,2016-12-27,4,344,"Severe","Close","new",7714
"79",83,"3000392058B","AP280770","BYPASS","Tuas",2016-05-08,2016-05-11,4,88,"Severe","Close","new",1973
"80",84,"3000400157B","AP281070","BYPASS","Tuas",2016-02-06,2017-05-05,455,188,"Critical","Close","new",4216
"81",86,"3000402320B","AN280368","BYPASS","Tuas",2016-02-07,2016-06-04,119,28,"Critical","Close","new",628
"82",87,"3000402320B","AN280368","BYPASS","Tuas",2016-06-24,2016-07-06,13,180,"Critical","Close","new",4037
"83",88,"3000402320B","AN280368","BYPASS","Tuas",2016-07-09,2016-07-12,4,48,"Severe","Close","new",1076
"84",89,"3000402320B","AN280368","BYPASS","Tuas",2016-07-29,2017-02-17,204,24,"Critical","Close","new",538
"85",92,"3000403433B","EP180979B","BYPASS","Tuas",2016-09-08,2016-10-07,30,176,"Critical","Close","new",3947
"86",93,"3000403433B","EP180979B","BYPASS","Tuas",2017-01-14,2017-11-14,305,124,"Critical","Close","new",2781
"87",94,"3000403433B","EP180979B","BYPASS","Tuas",2017-11-20,2018-02-11,84,68,"Critical","Close","new",1525
"88",96,"3001782237B","AP280943","BYPASS","Tuas",2016-02-08,2016-03-31,53,284,"Critical","Close","new",6369
"89",97,"3001782237B","AP280943","BYPASS","Tuas",2016-04-08,2016-04-12,5,256,"Critical","Close","new",5741
"90",98,"3001782237B","AP280943","BYPASS","Tuas",2016-04-24,2016-04-29,6,268,"Critical","Close","new",6010
"91",99,"3001782237B","AP280943","BYPASS","Tuas",2016-05-07,2016-05-21,15,256,"Critical","Close","new",5741
"92",100,"3001782237B","AP280943","BYPASS","Tuas",2016-05-30,2016-06-03,5,212,"Critical","Close","new",4754
"93",101,"3001782237B","AP280943","BYPASS","Tuas",2016-06-09,2016-06-12,4,104,"Severe","Close","new",2332
"94",102,"3001782237B","AP280943","BYPASS","Tuas",2016-06-19,2016-06-29,11,152,"Critical","Close","new",3409
"95",103,"3001782237B","AP280943","BYPASS","Tuas",2016-07-02,2016-07-14,13,164,"Critical","Close","new",3678
"96",104,"3001782237B","AP280943","BYPASS","Tuas",2016-07-20,2016-07-26,7,104,"Critical","Close","new",2332
"97",105,"3001782237B","AP280943","BYPASS","Tuas",2016-08-09,2016-09-15,38,116,"Critical","Close","new",2601
"98",106,"3001782237B","AP280943","BYPASS","Tuas",2016-09-30,2016-10-04,5,188,"Critical","Close","new",4216
"99",107,"3001782237B","AP280943","BYPASS","Tuas",2016-10-07,2016-11-02,27,92,"Critical","Close","new",2063
"100",108,"3001782237B","AP280943","BYPASS","Tuas",2016-11-15,2017-09-25,315,268,"Critical","Close","new",6010
"101",110,"3001875380B","AK186539","BYPASS","Tuas",2016-02-03,2017-04-09,432,108,"Critical","Close","new",2422
"102",111,"3001875380B","AK186539","BYPASS","Tuas",2017-04-13,2017-04-17,5,16,"Critical","Close","new",359
"103",112,"3001875380B","AK186539","BYPASS","Tuas",2017-04-23,2017-04-27,5,12,"Critical","Close","new",269
"104",113,"3001875380B","AK186539","BYPASS","Tuas",2017-04-30,2017-05-07,8,16,"Critical","Close","new",359
"105",114,"3001875380B","AK186539","BYPASS","Tuas",2017-05-25,2017-05-28,4,12,"Severe","Close","new",269
"106",115,"3001875380B","AK186539","BYPASS","Tuas",2017-05-31,2018-01-05,220,64,"Critical","Close","new",1435
"107",116,"3001875380B","AK186539","BYPASS","Tuas",2018-01-12,2018-02-06,26,20,"Critical","Close","new",449
"108",119,"3001875380M","AK690539","MAIN","Tuas",2016-02-09,2016-02-12,4,1400,"Severe","Close","new",31396
"109",120,"3004478638","WS500001A","SUB","Punggol",2017-10-24,2017-11-17,25,22.33,"Critical","Close","new",501
"110",121,"3004478696","WS500019A","SUB","Punggol",2016-05-08,2016-05-11,4,88,"Severe","Close","new",1973
"111",122,"3004478742","WS500031A","SUB","Punggol",2016-03-10,2016-03-13,4,2,"Moderate","Close","new",45
"112",123,"3004478742","WS500031A","SUB","Punggol",2016-04-01,2016-04-14,14,2.33,"Severe","Close","new",52
"113",124,"3004478742","WS500031A","SUB","Punggol",2016-04-26,2016-10-06,164,9,"Severe","Close","new",202
"114",125,"3004478742","WS500031A","SUB","Punggol",2017-03-15,2017-03-24,10,2.33,"Severe","Close","new",52
